Legend of the used statistics
*****************************

Statistic             Legend
--------------------------------------------------------------
alive.rpl           : Nb alive replicates
n.adlt.fst_p03-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 3 and 20
n.adlt.fst_p03-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 3 and 21
n.adlt.fst_p03-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 3 and 22
n.adlt.fst_p03-23   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 3 and 23
n.adlt.fst_p03-24   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 3 and 24
n.adlt.fst_p04-05   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 5
n.adlt.fst_p04-06   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 6
n.adlt.fst_p04-07   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 7
n.adlt.fst_p04-08   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 8
n.adlt.fst_p04-09   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 9
n.adlt.fst_p04-10   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 10
n.adlt.fst_p04-11   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 11
n.adlt.fst_p04-12   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 12
n.adlt.fst_p04-13   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 13
n.adlt.fst_p04-14   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 14
n.adlt.fst_p04-15   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 15
n.adlt.fst_p04-16   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 16
n.adlt.fst_p04-17   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 17
n.adlt.fst_p04-18   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 18
n.adlt.fst_p04-19   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 19
n.adlt.fst_p04-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 20
n.adlt.fst_p04-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 21
n.adlt.fst_p04-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 22
n.adlt.fst_p04-23   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 23
n.adlt.fst_p04-24   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 4 and 24
n.adlt.fst_p05-06   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 6
n.adlt.fst_p05-07   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 7
n.adlt.fst_p05-08   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 8
n.adlt.fst_p05-09   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 9
n.adlt.fst_p05-10   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 10
n.adlt.fst_p05-11   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 11
n.adlt.fst_p05-12   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 12
n.adlt.fst_p05-13   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 13
n.adlt.fst_p05-14   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 14
n.adlt.fst_p05-15   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 15
n.adlt.fst_p05-16   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 16
n.adlt.fst_p05-17   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 17
n.adlt.fst_p05-18   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 18
n.adlt.fst_p05-19   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 19
n.adlt.fst_p05-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 20
n.adlt.fst_p05-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 21
n.adlt.fst_p05-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 22
n.adlt.fst_p05-23   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 23
n.adlt.fst_p05-24   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 5 and 24
n.adlt.fst_p06-07   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 6 and 7
n.adlt.fst_p06-08   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 6 and 8
n.adlt.fst_p06-09   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 6 and 9
