generation  	alive.rpl   	adlt.nbInd  	emigrants   	fem.meanFec 	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6
85          	1           	1940        	4.2         	1.989       	484         	478         	488         	477         	13          	0           
86          	1           	1938        	1.8         	2.125       	476         	483         	475         	483         	21          	0           
87          	1           	1968        	1.8         	2.035       	479         	487         	482         	488         	32          	0           
88          	1           	1989        	2           	2.006       	489         	488         	487         	478         	47          	0           
89          	1           	2014        	1.2         	2.052       	485         	490         	487         	485         	67          	0           
90          	1           	2041        	2.6         	2.043       	482         	491         	484         	488         	96          	0           
91          	1           	2056        	2.4         	2.039       	484         	481         	488         	472         	131         	0           
92          	1           	2108        	1.6         	2.108       	478         	485         	488         	483         	174         	0           
93          	1           	2168        	1.833       	2.078       	481         	491         	488         	488         	219         	1           
94          	1           	2218        	2           	2.065       	487         	482         	489         	489         	270         	1           
95          	1           	2253        	2           	2.035       	475         	483         	491         	484         	319         	1           
96          	1           	2290        	1.333       	2.012       	477         	478         	483         	489         	362         	1           
97          	1           	2342        	2.167       	2.052       	486         	486         	483         	489         	396         	2           
98          	1           	2374        	2.333       	2.042       	487         	494         	473         	489         	428         	3           
99          	1           	2399        	2.667       	2.001       	482         	492         	481         	490         	449         	5           
100         	1           	2404        	2.5         	2.023       	482         	473         	487         	490         	463         	9           
101         	1           	2432        	2.833       	2.01        	483         	479         	489         	493         	474         	14          
102         	1           	2452        	3.167       	2.052       	486         	485         	484         	495         	479         	23          
103         	1           	2458        	1.833       	2.031       	485         	484         	484         	495         	476         	34          
104         	1           	2475        	3           	2.075       	476         	486         	489         	494         	481         	49          
105         	1           	2515        	3.667       	2.035       	482         	489         	488         	498         	487         	71          
106         	1           	2541        	0.8333      	2.017       	484         	490         	492         	483         	494         	98          
107         	1           	2574        	2           	2.016       	486         	494         	484         	485         	489         	136         
108         	1           	2598        	2           	2.059       	477         	479         	486         	492         	483         	181         
109         	1           	2668        	1.5         	2.07        	482         	486         	489         	494         	488         	229         
110         	1           	2714        	1.5         	2.076       	485         	475         	493         	495         	484         	282         
111         	1           	2764        	3.333       	2.072       	489         	482         	479         	498         	488         	328         
112         	1           	2790        	1.5         	2.057       	477         	487         	485         	494         	476         	371         
113         	1           	2831        	1.667       	2.022       	485         	483         	479         	494         	485         	405         
114         	1           	2816        	1           	1.947       	467         	470         	486         	484         	476         	433         
115         	1           	2873        	1.833       	1.986       	477         	482         	487         	492         	483         	452         
116         	1           	2900        	2.167       	2.005       	483         	488         	491         	491         	482         	465         
117         	1           	2887        	2.667       	2.098       	482         	493         	492         	466         	493         	461         
118         	1           	2888        	2           	2.016       	475         	486         	494         	478         	489         	466         
119         	1           	2899        	2.5         	2.021       	481         	492         	485         	473         	492         	476         
120         	1           	2888        	3           	2.024       	484         	477         	489         	476         	481         	481         
121         	1           	2902        	2.5         	1.985       	485         	478         	490         	482         	483         	484         
122         	1           	2902        	2.333       	1.993       	490         	476         	489         	480         	488         	479         
123         	1           	2919        	3.167       	2.001       	485         	484         	491         	486         	491         	482         
124         	1           	2928        	3.333       	2.03        	482         	492         	491         	489         	492         	482         
125         	1           	2896        	1.833       	2.079       	480         	467         	490         	489         	496         	474         
126         	1           	2889        	2.5         	2.028       	483         	477         	492         	476         	482         	479         
127         	1           	2915        	2           	2.021       	483         	484         	489         	484         	488         	487         
128         	1           	2925        	2.667       	2.016       	488         	481         	488         	489         	487         	492         
129         	1           	2879        	2.333       	1.983       	461         	482         	489         	498         	470         	479         
130         	1           	2878        	2.333       	2.103       	470         	479         	479         	499         	464         	487         
131         	1           	2862        	2.833       	2.066       	459         	483         	477         	486         	471         	486         
132         	1           	2858        	2.167       	2.028       	470         	490         	461         	481         	467         	489         
133         	1           	2900        	2           	2.048       	479         	491         	476         	487         	475         	492         
134         	1           	2907        	3           	2.012       	483         	476         	487         	490         	480         	491         
