replicate   	generation  	adlt.nbInd  	emigrants   	fem.meanFec 	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6
1           	93          	2759        	2.5         	2.006       	488         	485         	489         	487         	488         	322         
1           	94          	2771        	2           	2.018       	480         	469         	477         	488         	491         	366         
1           	95          	2816        	2.667       	2.044       	484         	484         	482         	477         	489         	400         
1           	96          	2842        	1.833       	2.045       	485         	475         	485         	477         	491         	429         
1           	97          	2865        	2.667       	2.032       	485         	477         	488         	475         	491         	449         
1           	98          	2896        	2           	2.026       	489         	482         	491         	476         	491         	467         
1           	99          	2903        	1.5         	2.029       	494         	481         	487         	481         	483         	477         
1           	100         	2896        	2.833       	2.025       	490         	488         	489         	472         	476         	481         
1           	101         	2919        	2.833       	2.03        	487         	491         	494         	479         	484         	484         
1           	102         	2928        	1.833       	2.022       	489         	492         	485         	490         	482         	490         
1           	103         	2903        	2.667       	1.984       	490         	474         	479         	485         	487         	488         
1           	104         	2905        	2.833       	1.984       	493         	474         	486         	483         	489         	480         
1           	105         	2883        	3           	2.007       	496         	481         	478         	476         	490         	462         
1           	106         	2897        	2.333       	2.038       	489         	489         	486         	467         	495         	471         
1           	107         	2915        	1.5         	2.017       	492         	490         	488         	476         	494         	475         
1           	108         	2917        	3.167       	2.042       	474         	493         	493         	482         	492         	483         
1           	109         	2920        	1.5         	2.014       	475         	495         	485         	483         	495         	487         
1           	110         	2915        	2.333       	2.036       	474         	493         	487         	485         	485         	491         
1           	111         	2922        	3.167       	2.016       	479         	494         	485         	488         	484         	492         
1           	112         	2918        	2.833       	2.007       	485         	492         	487         	477         	487         	490         
1           	113         	2935        	2           	2           	488         	495         	484         	484         	493         	491         
1           	114         	2910        	2.333       	1.983       	468         	487         	483         	490         	488         	494         
1           	115         	2885        	1.833       	2.013       	470         	485         	474         	489         	481         	486         
1           	116         	2878        	2.167       	2.041       	479         	480         	471         	490         	485         	473         
1           	117         	2874        	2.333       	2.006       	483         	479         	475         	492         	481         	464         
1           	118         	2862        	2.667       	2.046       	473         	467         	482         	479         	489         	472         
1           	119         	2869        	3.333       	2.011       	475         	476         	483         	484         	476         	475         
1           	120         	2892        	2.5         	2.023       	477         	483         	488         	484         	482         	478         
1           	121         	2911        	1.167       	1.997       	485         	487         	490         	487         	490         	472         
1           	122         	2908        	2.833       	2.016       	473         	487         	491         	492         	492         	473         
1           	123         	2903        	3           	2.031       	482         	485         	482         	483         	494         	477         
1           	124         	2930        	2.667       	2.01        	489         	487         	489         	487         	495         	483         
1           	125         	2909        	2.833       	2.02        	488         	490         	488         	478         	489         	476         
1           	126         	2918        	2.167       	2.014       	481         	493         	489         	483         	490         	482         
1           	127         	2894        	1.5         	2.055       	477         	475         	483         	487         	493         	479         
1           	128         	2923        	2.5         	2.01        	489         	475         	492         	485         	497         	485         
1           	129         	2925        	2.333       	1.99        	487         	480         	481         	489         	497         	491         
1           	130         	2916        	2.667       	2.03        	490         	481         	479         	493         	499         	474         
1           	131         	2928        	2           	1.999       	487         	489         	486         	491         	493         	482         
1           	132         	2920        	2           	2.007       	483         	486         	482         	493         	491         	485         
1           	133         	2929        	1.833       	2.023       	482         	488         	488         	494         	493         	484         
1           	134         	2931        	3.333       	2.027       	488         	489         	494         	490         	484         	486         
1           	135         	2932        	3.167       	2.027       	487         	493         	494         	492         	481         	485         
1           	136         	2909        	3.333       	2.029       	478         	492         	495         	476         	482         	486         
1           	137         	2911        	2.667       	2.037       	483         	488         	495         	477         	490         	478         
1           	138         	2896        	3.333       	2.017       	487         	480         	480         	474         	492         	483         
1           	139         	2925        	2.833       	2.018       	490         	482         	489         	489         	487         	488         
1           	140         	2920        	2.667       	2.054       	492         	491         	490         	484         	472         	491         
1           	141         	2910        	1.333       	2.023       	492         	484         	485         	480         	476         	493         
1           	142         	2913        	3.667       	2           	490         	490         	477         	483         	480         	493         
1           	143         	2896        	1.5         	2.032       	479         	492         	484         	466         	484         	491         
1           	144         	2928        	1.833       	2.01        	488         	491         	489         	477         	488         	495         
1           	145         	2901        	1.5         	2.021       	486         	492         	479         	485         	470         	489         
1           	146         	2898        	2.5         	2.048       	491         	477         	480         	482         	478         	490         
1           	147         	2883        	2.5         	2.031       	487         	487         	464         	487         	472         	486         
1           	148         	2882        	1.667       	2.073       	483         	484         	471         	482         	473         	489         
1           	149         	2880        	2           	2.009       	483         	485         	474         	481         	481         	476         
1           	150         	2899        	2           	1.982       	486         	488         	475         	488         	479         	483         
1           	151         	2884        	1.333       	1.963       	481         	474         	480         	488         	475         	486         
1           	152         	2891        	2           	2.008       	485         	479         	479         	487         	479         	482         
1           	153         	2915        	1.833       	1.998       	487         	483         	487         	486         	488         	484         
1           	154         	2902        	2.167       	2.009       	489         	475         	487         	484         	480         	487         
1           	155         	2917        	2.333       	2.004       	492         	482         	482         	490         	487         	484         
1           	156         	2907        	2.333       	2.028       	488         	476         	484         	486         	486         	487         
1           	157         	2916        	2.667       	2.025       	482         	483         	488         	489         	487         	487         
1           	158         	2936        	2.5         	2.021       	486         	490         	487         	495         	487         	491         
1           	159         	2942        	3           	1.993       	492         	482         	488         	499         	491         	490         
1           	160         	2937        	2.5         	2.012       	495         	488         	482         	493         	495         	484         
1           	161         	2931        	2.667       	2.053       	493         	472         	491         	495         	497         	483         
1           	162         	2884        	1.833       	2.021       	477         	480         	479         	493         	486         	469         
1           	163         	2887        	2.333       	2.038       	484         	485         	477         	488         	480         	473         
1           	164         	2903        	2.833       	2.02        	490         	482         	484         	492         	476         	479         
1           	165         	2878        	4.167       	2.033       	484         	465         	474         	492         	485         	478         
1           	166         	2892        	1.5         	2.012       	481         	473         	481         	483         	488         	486         
1           	167         	2894        	3           	1.985       	475         	477         	491         	481         	483         	487         
1           	168         	2892        	3.333       	2.027       	483         	476         	484         	480         	479         	490         
1           	169         	2896        	1.833       	2.02        	487         	477         	488         	488         	478         	478         
1           	170         	2917        	2.333       	2.057       	488         	479         	491         	491         	486         	482         
1           	171         	2918        	2.167       	1.992       	482         	488         	486         	482         	491         	489         
1           	172         	2908        	2.667       	1.994       	484         	482         	485         	483         	498         	476         
1           	173         	2917        	2.667       	2.009       	486         	485         	489         	479         	497         	481         
1           	174         	2925        	2           	2.006       	489         	491         	487         	477         	494         	487         
1           	175         	2904        	2.333       	2.021       	480         	489         	491         	481         	491         	472         
1           	176         	2911        	1           	2.037       	486         	492         	489         	474         	489         	481         
1           	177         	2923        	2.5         	1.974       	489         	495         	494         	482         	490         	473         
1           	178         	2938        	2.833       	2.003       	491         	496         	489         	486         	494         	482         
1           	179         	2939        	2.5         	2.039       	491         	491         	494         	485         	499         	479         
1           	180         	2937        	1.5         	1.985       	487         	491         	490         	487         	496         	486         
1           	181         	2936        	2.667       	2.032       	491         	492         	492         	484         	490         	487         
1           	182         	2917        	3.667       	2.044       	488         	495         	496         	474         	477         	487         
1           	183         	2933        	3           	2.01        	491         	499         	493         	485         	475         	490         
1           	184         	2914        	2.833       	2.018       	493         	481         	489         	486         	481         	484         
1           	185         	2917        	1.833       	2.056       	486         	486         	479         	492         	486         	488         
1           	186         	2922        	1.833       	1.987       	489         	490         	486         	494         	478         	485         
1           	187         	2927        	1.833       	1.997       	489         	492         	490         	490         	482         	484         
1           	188         	2928        	3.667       	1.988       	492         	493         	495         	492         	488         	468         
1           	189         	2897        	3.5         	2.005       	492         	481         	487         	484         	480         	473         
1           	190         	2917        	1.833       	2.015       	493         	488         	482         	489         	484         	481         
1           	191         	2908        	1.667       	1.997       	490         	478         	487         	490         	477         	486         
1           	192         	2882        	2.333       	1.996       	487         	472         	493         	481         	482         	467         
1           	193         	2896        	1.833       	2.028       	488         	477         	486         	490         	482         	473         
1           	194         	2876        	1.667       	2.041       	488         	481         	475         	486         	466         	480         
1           	195         	2892        	2.167       	2.005       	491         	484         	485         	466         	481         	485         
1           	196         	2899        	2.833       	2.045       	487         	483         	485         	479         	482         	483         
1           	197         	2905        	2.833       	2.008       	480         	490         	488         	479         	485         	483         
1           	198         	2916        	3.167       	2.008       	482         	492         	487         	479         	490         	486         
1           	199         	2933        	3.167       	2.014       	484         	497         	487         	487         	487         	491         
1           	200         	2924        	2.833       	1.965       	485         	494         	493         	487         	484         	481         
