replicate   	generation  	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
2           	4700        	19          	0.5937      	0.02562     	0.04332     
2           	4800        	19          	0.5954      	0.02407     	0.04057     
2           	4900        	16          	0.6121      	0.002117    	0.06961     
2           	5000        	19          	0.6236      	-0.02066    	0.06098     
3           	1           	150         	0.9866      	0.03391     	7.906       
3           	100         	61          	0.9635      	-0.04119    	1.522       
3           	200         	44          	0.9446      	-0.03231    	0.7693      
3           	300         	36          	0.9301      	-0.09015    	0.5328      
3           	400         	31          	0.9124      	-0.05094    	0.3185      
3           	500         	29          	0.894       	-0.02236    	0.205       
3           	600         	24          	0.8764      	-0.02192    	0.1792      
3           	700         	25          	0.8778      	-0.01103    	0.2087      
3           	800         	27          	0.8661      	-0.08905    	0.23        
3           	900         	22          	0.8432      	-0.1068     	0.2102      
3           	1000        	20          	0.8257      	-0.05361    	0.1873      
3           	1100        	25          	0.8171      	-0.1189     	0.1725      
3           	1200        	22          	0.7868      	-0.082      	0.1708      
3           	1300        	24          	0.7457      	-0.008825   	0.1661      
3           	1400        	22          	0.7464      	0.01228     	0.1489      
3           	1500        	23          	0.7655      	0.01316     	0.147       
3           	1600        	21          	0.7474      	0.003288    	0.124       
3           	1700        	24          	0.6995      	-0.007153   	0.09761     
3           	1800        	23          	0.6938      	0.03246     	0.0934      
3           	1900        	26          	0.6672      	0.09839     	0.08823     
3           	2000        	23          	0.6144      	0.06554     	0.1214      
3           	2100        	24          	0.5427      	0.07628     	0.05952     
3           	2200        	19          	0.5507      	0.09674     	0.05273     
3           	2300        	16          	0.5102      	0.1001      	0.07076     
3           	2400        	18          	0.4315      	0.07983     	0.0489      
3           	2500        	22          	0.453       	0.09031     	0.05126     
3           	2600        	21          	0.4322      	0.07838     	0.05608     
3           	2700        	20          	0.4062      	0.07747     	0.04137     
3           	2800        	17          	0.4102      	0.06974     	0.02853     
3           	2900        	20          	0.4531      	0.1011      	0.06553     
3           	3000        	21          	0.4633      	0.07943     	0.04966     
3           	3100        	20          	0.4205      	0.07895     	0.05016     
3           	3200        	19          	0.4059      	0.06079     	0.04439     
3           	3300        	15          	0.3619      	0.05232     	0.0392      
3           	3400        	18          	0.3726      	0.05589     	0.0516      
3           	3500        	17          	0.45        	0.08826     	0.06022     
3           	3600        	18          	0.4779      	0.1137      	0.07046     
3           	3700        	20          	0.4751      	0.1115      	0.06231     
3           	3800        	18          	0.5177      	0.09724     	0.05793     
3           	3900        	20          	0.554       	0.1076      	0.09996     
3           	4000        	14          	0.5434      	0.1114      	0.04266     
3           	4100        	19          	0.5545      	0.1293      	0.0564      
3           	4200        	14          	0.5201      	0.1188      	0.05892     
3           	4300        	20          	0.4782      	0.08988     	0.05609     
3           	4400        	24          	0.4804      	0.09838     	0.0755      
3           	4500        	18          	0.4882      	0.07773     	0.03875     
3           	4600        	20          	0.4382      	0.05066     	0.05633     
3           	4700        	15          	0.4465      	0.05765     	0.06063     
3           	4800        	15          	0.4273      	0.09749     	0.09154     
3           	4900        	13          	0.4368      	0.06472     	0.04651     
3           	5000        	21          	0.4824      	0.1021      	0.07738     
4           	1           	147         	0.9867      	0.03055     	8.014       
4           	100         	60          	0.9676      	-0.09569    	1.725       
4           	200         	44          	0.9552      	0.06576     	0.9561      
4           	300         	39          	0.94        	-0.0111     	0.6604      
4           	400         	32          	0.9276      	-0.05795    	0.5624      
4           	500         	33          	0.9176      	-0.04881    	0.4476      
4           	600         	33          	0.8966      	-0.04066    	0.3733      
4           	700         	35          	0.8809      	-0.06547    	0.3504      
4           	800         	25          	0.8876      	-0.08223    	0.2819      
4           	900         	28          	0.8619      	-0.1467     	0.2666      
4           	1000        	22          	0.8616      	-0.1063     	0.2925      
4           	1100        	30          	0.8744      	-0.03752    	0.3251      
4           	1200        	23          	0.8515      	-0.01671    	0.2768      
4           	1300        	24          	0.8443      	0.07166     	0.3153      
4           	1400        	26          	0.857       	0.04439     	0.3368      
4           	1500        	27          	0.8523      	0.01113     	0.2373      
4           	1600        	25          	0.8745      	0.002022    	0.2419      
4           	1700        	22          	0.8441      	0.05508     	0.2072      
4           	1800        	22          	0.8351      	-0.04489    	0.2138      
4           	1900        	24          	0.8426      	0.01824     	0.2214      
4           	2000        	29          	0.8537      	0.01313     	0.26        
4           	2100        	27          	0.8668      	0.05196     	0.2344      
4           	2200        	28          	0.8467      	0.06534     	0.2035      
4           	2300        	25          	0.8457      	0.01958     	0.1646      
4           	2400        	19          	0.8218      	0.0313      	0.1376      
4           	2500        	19          	0.8082      	0.01322     	0.1296      
4           	2600        	20          	0.8013      	0.01937     	0.1292      
4           	2700        	21          	0.7876      	0.01549     	0.118       
4           	2800        	20          	0.7916      	0.03225     	0.1214      
4           	2900        	19          	0.7914      	0.04701     	0.1017      
4           	3000        	18          	0.793       	0.06325     	0.0916      
4           	3100        	16          	0.7815      	0.04262     	0.09748     
4           	3200        	22          	0.7756      	0.0563      	0.1006      
4           	3300        	27          	0.7661      	0.06695     	0.1313      
4           	3400        	16          	0.779       	0.0363      	0.09387     
4           	3500        	20          	0.7803      	0.005225    	0.1036      
4           	3600        	15          	0.7756      	0.06523     	0.08827     
4           	3700        	17          	0.7649      	0.09726     	0.08376     
4           	3800        	20          	0.7683      	0.1058      	0.09036     
4           	3900        	20          	0.7868      	0.1024      	0.09198     
4           	4000        	22          	0.7901      	0.1246      	0.1097      
4           	4100        	24          	0.7709      	0.1658      	0.139       
