replicate   	generation  	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
3           	1           	149         	0.9867      	-0.0173     	8.07        
3           	100         	94          	0.9812      	0.1703      	7.124       
3           	200         	79          	0.9762      	0.2977      	7.017       
3           	300         	65          	0.9735      	0.5957      	7.533       
3           	400         	61          	0.9651      	0.1861      	9.211       
3           	500         	50          	0.9647      	0.07593     	10.69       
3           	600         	46          	0.9592      	-0.226      	9.632       
3           	700         	48          	0.9565      	-0.2213     	10          
3           	800         	49          	0.955       	-0.4738     	8.937       
3           	900         	50          	0.9565      	-0.2075     	9.453       
3           	1000        	43          	0.9527      	-0.1884     	10.18       
3           	1100        	45          	0.9547      	0.04173     	9.523       
3           	1200        	37          	0.951       	-0.4276     	10.91       
3           	1300        	40          	0.9494      	-0.4995     	11.53       
3           	1400        	43          	0.9443      	-1.166      	13.96       
3           	1500        	37          	0.9378      	-1.127      	13.64       
3           	1600        	35          	0.9384      	-1.684      	13.08       
3           	1700        	34          	0.9335      	-1.851      	13.52       
3           	1800        	34          	0.9179      	-1.977      	16.28       
3           	1900        	35          	0.9082      	-2.392      	16.18       
3           	2000        	37          	0.913       	-2.383      	16.63       
3           	2100        	36          	0.9072      	-2.523      	17.6        
3           	2200        	37          	0.9081      	-2.244      	18.34       
3           	2300        	41          	0.9115      	-2.271      	17.69       
3           	2400        	37          	0.9114      	-2.012      	17.1        
3           	2500        	38          	0.916       	-1.314      	16.63       
3           	2600        	41          	0.9167      	-1.413      	17.49       
3           	2700        	35          	0.9113      	-0.876      	16.46       
3           	2800        	31          	0.916       	-0.1128     	14.46       
3           	2900        	32          	0.9153      	0.1234      	14.15       
3           	3000        	37          	0.9131      	0.4759      	12.79       
3           	3100        	34          	0.912       	0.2398      	13.1        
3           	3200        	33          	0.9113      	-0.342      	13.58       
3           	3300        	42          	0.9251      	-0.06581    	12.34       
3           	3400        	33          	0.9092      	-0.2452     	14.35       
3           	3500        	30          	0.904       	-0.5571     	15.42       
3           	3600        	36          	0.8946      	-1.05       	16.95       
3           	3700        	31          	0.8923      	-0.7488     	17.96       
3           	3800        	32          	0.8948      	-0.9378     	18.63       
3           	3900        	33          	0.8808      	-0.8332     	20.5        
3           	4000        	28          	0.88        	-0.8464     	20.33       
3           	4100        	24          	0.8529      	-1.235      	23.06       
3           	4200        	23          	0.8365      	-1.607      	24.83       
3           	4300        	26          	0.8291      	-1.691      	23.58       
3           	4400        	29          	0.8492      	-1.493      	21.22       
3           	4500        	32          	0.8534      	-1.462      	20.77       
3           	4600        	29          	0.8512      	-1.987      	19.39       
3           	4700        	31          	0.8478      	-1.744      	18.45       
3           	4800        	29          	0.8366      	-1.791      	18.71       
3           	4900        	32          	0.8502      	-1.747      	18.99       
3           	5000        	26          	0.8469      	-2.151      	19.27       
4           	1           	154         	0.9868      	-0.0511     	8.12        
4           	100         	91          	0.982       	0.03068     	8.273       
4           	200         	80          	0.9772      	0.2177      	8.463       
4           	300         	71          	0.9767      	0.07866     	8.623       
4           	400         	65          	0.9696      	0.153       	7.978       
4           	500         	58          	0.9634      	0.5195      	8.064       
4           	600         	59          	0.959       	0.366       	7.407       
4           	700         	56          	0.9558      	0.3935      	8.572       
4           	800         	54          	0.9423      	0.8638      	7.409       
4           	900         	43          	0.9385      	0.8319      	6.736       
4           	1000        	46          	0.9347      	0.9817      	6.548       
4           	1100        	42          	0.927       	1.065       	6.415       
4           	1200        	40          	0.922       	1.36        	6.403       
4           	1300        	37          	0.9194      	1.057       	7.247       
4           	1400        	37          	0.9243      	1.003       	6.95        
4           	1500        	33          	0.9295      	0.9296      	7.23        
4           	1600        	35          	0.9222      	1.425       	6.897       
4           	1700        	34          	0.9228      	1.113       	8.469       
4           	1800        	34          	0.9023      	0.9202      	8.654       
4           	1900        	33          	0.8996      	1.02        	8.222       
4           	2000        	32          	0.8959      	0.8316      	7.632       
4           	2100        	31          	0.8728      	1.13        	7.452       
4           	2200        	30          	0.8434      	1.079       	7.525       
4           	2300        	33          	0.8571      	0.5394      	7.729       
4           	2400        	26          	0.8551      	0.6609      	7.591       
4           	2500        	30          	0.872       	0.5867      	7.495       
4           	2600        	33          	0.886       	0.1988      	7.755       
4           	2700        	33          	0.8484      	0.209       	7.048       
4           	2800        	30          	0.8627      	0.1907      	7.816       
4           	2900        	34          	0.8651      	0.001786    	8.078       
4           	3000        	26          	0.8489      	0.1706      	7.551       
4           	3100        	26          	0.8593      	-0.5053     	9.4         
4           	3200        	29          	0.866       	-0.3605     	8.149       
4           	3300        	28          	0.8733      	-0.367      	8.74        
4           	3400        	32          	0.8927      	-0.2243     	9.149       
4           	3500        	29          	0.8821      	-0.2124     	7.374       
4           	3600        	31          	0.8899      	-0.075      	7.507       
4           	3700        	26          	0.8946      	0.3044      	7.517       
4           	3800        	30          	0.9007      	-0.4291     	8.664       
4           	3900        	36          	0.8865      	-0.4033     	8.736       
4           	4000        	29          	0.8738      	-0.6846     	10.27       
4           	4100        	28          	0.8807      	-0.9828     	10.5        
4           	4200        	31          	0.8779      	-0.6101     	10.65       
4           	4300        	30          	0.896       	-0.7014     	10.72       
4           	4400        	33          	0.892       	-0.5936     	10.46       
4           	4500        	31          	0.8972      	-0.07312    	11.2        
4           	4600        	30          	0.9113      	-0.07888    	10.32       
4           	4700        	30          	0.901       	0.3828      	10.03       
4           	4800        	29          	0.9062      	0.3203      	8.897       
4           	4900        	36          	0.9067      	-0.1238     	10.54       
