generation  	adlt.nbInd  	emigrants   	fem.meanFec 	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6	alive.rpl   
85          	2263        	2.4         	2.088       	489         	485         	473         	472         	344         	0           	1           
86          	2323        	1.333       	2.02        	490         	484         	483         	481         	384         	1           	1           
87          	2364        	2.333       	2.032       	490         	486         	488         	485         	412         	3           	1           
88          	2373        	1.333       	1.969       	474         	490         	486         	483         	438         	2           	1           
89          	2398        	2.6         	2.052       	478         	490         	488         	485         	457         	0           	1           
90          	2425        	3.2         	1.993       	483         	494         	486         	492         	470         	0           	1           
91          	2429        	1.8         	2.054       	488         	490         	489         	491         	471         	0           	1           
92          	2434        	1.833       	2.033       	477         	492         	492         	492         	479         	2           	1           
93          	2442        	1.167       	2.059       	483         	485         	496         	489         	486         	3           	1           
94          	2417        	2.5         	2.062       	485         	468         	489         	485         	489         	1           	1           
95          	2407        	2           	1.994       	472         	481         	476         	487         	491         	0           	1           
96          	2425        	2.5         	2.015       	481         	485         	483         	486         	488         	2           	1           
97          	2437        	3.5         	2.032       	480         	484         	483         	496         	491         	3           	1           
98          	2406        	0.8333      	1.993       	479         	483         	474         	479         	486         	5           	1           
99          	2402        	2.667       	2.081       	481         	463         	478         	481         	492         	7           	1           
100         	2433        	2           	2.031       	483         	479         	484         	488         	488         	11          	1           
101         	2439        	1.667       	2.052       	483         	489         	486         	481         	484         	16          	1           
102         	2456        	2           	2.014       	486         	493         	490         	472         	491         	24          	1           
103         	2458        	2.333       	2.048       	484         	492         	478         	484         	485         	35          	1           
104         	2477        	1.333       	2.05        	485         	494         	479         	489         	478         	52          	1           
105         	2499        	1.667       	2.08        	485         	496         	486         	487         	471         	74          	1           
106         	2538        	1.667       	2.034       	483         	494         	488         	491         	476         	106         	1           
107         	2592        	2.167       	2.054       	488         	492         	490         	493         	484         	145         	1           
108         	2611        	1.333       	2.05        	479         	474         	492         	489         	485         	192         	1           
109         	2673        	2.5         	2.005       	482         	483         	492         	483         	491         	242         	1           
110         	2735        	2           	2.03        	475         	491         	498         	485         	495         	291         	1           
111         	2785        	2.5         	2.007       	484         	492         	496         	493         	485         	335         	1           
112         	2810        	3           	1.991       	470         	493         	487         	494         	491         	375         	1           
113         	2817        	2.833       	2.001       	478         	483         	478         	486         	488         	404         	1           
114         	2859        	4           	2.015       	478         	491         	482         	487         	493         	428         	1           
115         	2866        	2.833       	2.026       	480         	489         	481         	477         	489         	450         	1           
116         	2878        	3           	2.029       	486         	485         	481         	483         	479         	464         	1           
117         	2903        	2.5         	2.035       	480         	490         	486         	485         	488         	474         	1           
118         	2916        	3.167       	2.048       	481         	497         	488         	486         	490         	474         	1           
119         	2932        	3           	2.011       	485         	497         	491         	488         	491         	480         	1           
120         	2897        	1.833       	2           	475         	477         	478         	491         	492         	484         	1           
121         	2922        	2.5         	1.991       	483         	483         	483         	493         	494         	486         	1           
122         	2930        	2.333       	2.013       	487         	492         	475         	490         	497         	489         	1           
123         	2927        	2           	1.987       	492         	493         	467         	490         	496         	489         	1           
124         	2922        	3.5         	2.026       	491         	492         	484         	488         	479         	488         	1           
125         	2919        	1.667       	2.026       	479         	494         	480         	489         	486         	491         	1           
126         	2886        	3.167       	2.045       	479         	497         	453         	482         	481         	494         	1           
127         	2873        	1.833       	2.044       	483         	483         	469         	487         	478         	473         	1           
128         	2893        	1.833       	2.072       	489         	482         	478         	493         	483         	468         	1           
129         	2906        	2.167       	2.028       	491         	488         	472         	488         	492         	475         	1           
130         	2912        	2           	2.021       	490         	479         	484         	492         	492         	475         	1           
131         	2908        	2.5         	1.995       	468         	483         	490         	492         	494         	481         	1           
132         	2915        	1.667       	2.034       	481         	479         	495         	495         	480         	485         	1           
133         	2925        	2.833       	2.032       	486         	482         	489         	497         	487         	484         	1           
134         	2914        	1.5         	1.981       	492         	485         	489         	467         	492         	489         	1           
135         	2907        	1.833       	2.056       	478         	486         	487         	476         	489         	491         	1           
136         	2870        	2.167       	2.073       	486         	486         	480         	458         	484         	476         	1           
137         	2874        	2           	2.047       	474         	485         	483         	463         	485         	484         	1           
138         	2882        	2.667       	2.009       	477         	479         	476         	475         	492         	483         	1           
139         	2862        	1.333       	1.994       	486         	461         	467         	482         	495         	471         	1           
140         	2885        	3.333       	2.063       	488         	472         	476         	486         	485         	478         	1           
141         	2900        	1.833       	1.993       	485         	483         	481         	493         	481         	477         	1           
142         	2898        	2.667       	2.005       	490         	478         	487         	481         	479         	483         	1           
143         	2900        	2           	2.017       	487         	477         	480         	486         	484         	486         	1           
144         	2904        	2.667       	1.978       	492         	477         	481         	491         	483         	480         	1           
145         	2907        	3.5         	2.052       	482         	480         	482         	493         	486         	484         	1           
146         	2909        	2.667       	2.05        	484         	485         	485         	493         	490         	472         	1           
147         	2888        	1.667       	1.976       	474         	477         	487         	483         	485         	482         	1           
148         	2877        	3.167       	1.998       	463         	483         	486         	490         	475         	480         	1           
149         	2889        	3.5         	1.988       	470         	493         	476         	498         	469         	483         	1           
150         	2898        	2.5         	2.051       	480         	494         	482         	497         	463         	482         	1           
151         	2918        	2.667       	1.989       	484         	499         	486         	492         	475         	482         	1           
152         	2926        	3.333       	2.02        	488         	487         	490         	497         	480         	484         	1           
153         	2883        	3           	2.061       	489         	493         	481         	478         	477         	465         	1           
154         	2913        	2.167       	2.001       	488         	495         	487         	486         	484         	473         	1           
155         	2907        	3.333       	2.016       	474         	495         	488         	487         	486         	477         	1           
156         	2906        	2           	2           	479         	494         	491         	478         	490         	474         	1           
157         	2922        	3           	2.023       	478         	493         	492         	487         	495         	477         	1           
158         	2881        	2.167       	2.027       	470         	476         	491         	477         	487         	480         	1           
159         	2890        	2.167       	2.061       	466         	486         	487         	482         	491         	478         	1           
160         	2896        	2.5         	2.048       	473         	489         	484         	489         	478         	483         	1           
161         	2894        	2.5         	2.057       	476         	493         	486         	484         	486         	469         	1           
162         	2924        	2.5         	2.036       	483         	492         	486         	497         	487         	479         	1           
163         	2899        	4.333       	2.068       	487         	489         	474         	487         	488         	474         	1           
164         	2893        	2.5         	1.997       	486         	488         	479         	474         	487         	479         	1           
165         	2885        	2.5         	1.992       	471         	484         	485         	484         	478         	483         	1           
166         	2891        	2.833       	1.988       	474         	489         	488         	483         	469         	488         	1           
167         	2902        	3.833       	1.993       	482         	493         	477         	489         	472         	489         	1           
168         	2925        	2           	2.023       	486         	495         	484         	484         	483         	493         	1           
169         	2900        	2.333       	2.057       	489         	496         	488         	470         	465         	492         	1           
170         	2905        	2.5         	2.009       	491         	483         	491         	479         	475         	486         	1           
171         	2865        	1.333       	2.081       	488         	468         	488         	489         	479         	453         	1           
