generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	1           	5.5         	0.5058      	1           	9.764e-06   
2           	1           	5.9         	0.5056      	0.9978      	0.0007923   
3           	1           	6.7         	0.5045      	0.9946      	0.001216    
4           	1           	6.9         	0.5037      	0.992       	0.001642    
5           	1           	7.1         	0.503       	0.99        	0.00249     
6           	1           	7.3         	0.5014      	0.9857      	0.002999    
7           	1           	7.55        	0.5003      	0.9831      	0.003455    
8           	1           	7.6         	0.5004      	0.9828      	0.003829    
9           	1           	7.45        	0.5006      	0.9823      	0.004046    
10          	1           	7.45        	0.4993      	0.9806      	0.00395     
11          	1           	7.5         	0.4986      	0.9772      	0.00535     
12          	1           	7.75        	0.4982      	0.9762      	0.005481    
13          	1           	7.55        	0.4972      	0.9738      	0.005507    
14          	1           	7.75        	0.4945      	0.9693      	0.005404    
15          	1           	8.1         	0.4929      	0.9664      	0.005418    
16          	1           	8           	0.4922      	0.9647      	0.005843    
17          	1           	8.05        	0.4921      	0.9645      	0.00604     
18          	1           	8.25        	0.4894      	0.9588      	0.006411    
19          	1           	8           	0.4882      	0.9555      	0.007075    
20          	1           	8.15        	0.4869      	0.9521      	0.007812    
21          	1           	8.3         	0.4858      	0.9494      	0.007692    
22          	1           	8.35        	0.484       	0.9453      	0.007883    
23          	1           	8.35        	0.4831      	0.944       	0.00773     
24          	1           	8.45        	0.4816      	0.9414      	0.007554    
25          	1           	8.45        	0.4817      	0.9412      	0.007749    
26          	1           	8.4         	0.4817      	0.9424      	0.00742     
27          	1           	8.35        	0.482       	0.9418      	0.008631    
28          	1           	8.4         	0.4812      	0.939       	0.009586    
29          	1           	8.4         	0.4811      	0.9385      	0.01001     
30          	1           	8.35        	0.4791      	0.9339      	0.01029     
31          	1           	8.7         	0.4768      	0.9281      	0.01099     
32          	1           	8.7         	0.4765      	0.9269      	0.01176     
33          	1           	8.8         	0.4739      	0.9215      	0.01233     
34          	1           	8.85        	0.4735      	0.9202      	0.01236     
35          	1           	8.85        	0.4728      	0.9182      	0.01386     
36          	1           	8.75        	0.474       	0.9195      	0.01508     
37          	1           	8.7         	0.4716      	0.9136      	0.01608     
38          	1           	8.8         	0.4731      	0.9167      	0.01552     
39          	1           	8.7         	0.4729      	0.9158      	0.01643     
40          	1           	8.75        	0.4748      	0.9184      	0.01723     
41          	1           	8.95        	0.4741      	0.9165      	0.0181      
42          	1           	8.8         	0.4763      	0.9209      	0.01839     
43          	1           	8.75        	0.4737      	0.9143      	0.0192      
44          	1           	8.85        	0.4717      	0.9091      	0.0202      
45          	1           	8.75        	0.4717      	0.9082      	0.02025     
46          	1           	8.75        	0.473       	0.9097      	0.02155     
47          	1           	8.75        	0.4704      	0.9034      	0.02253     
48          	1           	8.75        	0.4693      	0.9006      	0.02297     
49          	1           	8.75        	0.4695      	0.9015      	0.02293     
50          	1           	8.95        	0.4679      	0.8973      	0.02399     
51          	1           	8.85        	0.4687      	0.8972      	0.02512     
52          	1           	8.75        	0.4674      	0.8951      	0.02489     
53          	1           	8.55        	0.469       	0.8961      	0.02628     
54          	1           	8.6         	0.4675      	0.8936      	0.02549     
55          	1           	8.6         	0.4679      	0.894       	0.02568     
56          	1           	8.65        	0.467       	0.8931      	0.02539     
57          	1           	8.85        	0.4659      	0.8901      	0.02699     
58          	1           	8.8         	0.4672      	0.8927      	0.02703     
59          	1           	8.75        	0.4666      	0.8918      	0.02661     
60          	1           	8.7         	0.467       	0.8925      	0.02702     
61          	1           	8.75        	0.4657      	0.8897      	0.02677     
62          	1           	8.7         	0.4641      	0.8868      	0.02624     
63          	1           	8.8         	0.4617      	0.8821      	0.02641     
64          	1           	8.95        	0.4611      	0.8786      	0.02818     
65          	1           	9           	0.4602      	0.8766      	0.02824     
66          	1           	9           	0.4592      	0.8742      	0.02828     
67          	1           	9.1         	0.4552      	0.8659      	0.02944     
68          	1           	8.95        	0.4542      	0.8627      	0.03127     
69          	1           	9           	0.4528      	0.8605      	0.03126     
70          	1           	9.05        	0.4488      	0.8533      	0.03072     
71          	1           	9.2         	0.4478      	0.8514      	0.03065     
72          	1           	9           	0.4492      	0.8546      	0.02983     
73          	1           	8.95        	0.4498      	0.8557      	0.03003     
74          	1           	9.05        	0.4468      	0.8492      	0.03052     
75          	1           	8.9         	0.4458      	0.8477      	0.02957     
76          	1           	9           	0.4437      	0.8445      	0.02896     
77          	1           	9.05        	0.4452      	0.8492      	0.02689     
78          	1           	9           	0.4482      	0.8542      	0.02771     
79          	1           	8.95        	0.4484      	0.8544      	0.02768     
80          	1           	8.95        	0.448       	0.8543      	0.02755     
81          	1           	8.95        	0.4482      	0.854       	0.02855     
82          	1           	8.8         	0.4501      	0.8559      	0.03013     
83          	1           	8.8         	0.4485      	0.8517      	0.03104     
84          	1           	8.65        	0.4499      	0.8537      	0.03218     
85          	1           	8.6         	0.4466      	0.8473      	0.03246     
86          	1           	8.65        	0.4471      	0.8487      	0.03225     
87          	1           	8.55        	0.4438      	0.8414      	0.03326     
88          	1           	8.6         	0.4443      	0.8437      	0.03188     
89          	1           	8.65        	0.4425      	0.8398      	0.03181     
90          	1           	8.75        	0.4428      	0.8405      	0.03179     
91          	1           	9           	0.4426      	0.8389      	0.03285     
92          	1           	8.95        	0.4422      	0.8378      	0.03302     
93          	1           	9           	0.4411      	0.8333      	0.03488     
94          	1           	8.95        	0.4424      	0.8359      	0.03517     
95          	1           	9           	0.4461      	0.8415      	0.03735     
96          	1           	8.95        	0.4496      	0.848       	0.03748     
97          	1           	8.8         	0.4482      	0.8457      	0.03653     
98          	1           	8.7         	0.4445      	0.8376      	0.03686     
99          	1           	8.65        	0.4413      	0.8307      	0.03712     
100         	1           	8.7         	0.4449      	0.8365      	0.03818     
101         	1           	8.95        	0.4425      	0.8319      	0.03763     
102         	1           	8.95        	0.4395      	0.8263      	0.03753     
103         	1           	8.9         	0.4379      	0.8231      	0.03773     
104         	1           	9.1         	0.4336      	0.8136      	0.03833     
105         	1           	9.05        	0.4334      	0.8124      	0.03896     
106         	1           	8.95        	0.4343      	0.8115      	0.04154     
107         	1           	9.15        	0.4305      	0.8054      	0.04046     
108         	1           	9.1         	0.433       	0.8094      	0.04103     
109         	1           	9           	0.4309      	0.8039      	0.04289     
110         	1           	8.7         	0.433       	0.8087      	0.04253     
111         	1           	8.7         	0.4322      	0.8074      	0.0424      
112         	1           	8.6         	0.4319      	0.8068      	0.04294     
113         	1           	8.8         	0.4317      	0.8065      	0.04344     
114         	1           	8.75        	0.434       	0.8117      	0.04289     
115         	1           	8.7         	0.4311      	0.8054      	0.04368     
116         	1           	8.7         	0.4324      	0.8067      	0.04469     
117         	1           	8.7         	0.4329      	0.805       	0.04702     
118         	1           	8.85        	0.432       	0.8023      	0.04779     
119         	1           	8.8         	0.4321      	0.8032      	0.04718     
120         	1           	8.85        	0.4319      	0.8008      	0.04966     
121         	1           	8.85        	0.4339      	0.8027      	0.05201     
122         	1           	8.8         	0.4333      	0.8006      	0.05278     
123         	1           	8.75        	0.4315      	0.7964      	0.05385     
124         	1           	8.7         	0.4285      	0.79        	0.05472     
125         	1           	8.85        	0.4295      	0.7915      	0.05528     
126         	1           	9           	0.4275      	0.7886      	0.05483     
127         	1           	9.05        	0.4274      	0.7884      	0.05442     
128         	1           	8.95        	0.4227      	0.7795      	0.0542      
129         	1           	9           	0.4212      	0.7759      	0.05466     
130         	1           	8.85        	0.4193      	0.7727      	0.05387     
131         	1           	8.65        	0.419       	0.7731      	0.0527      
132         	1           	8.7         	0.4208      	0.7768      	0.05223     
133         	1           	8.5         	0.4192      	0.7729      	0.05369     
