replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	1           	5.5         	0.5059      	1           	8.828e-05   
1           	2           	7.9         	0.4989      	0.9856      	0.0005624   
1           	3           	8.6         	0.4943      	0.9763      	0.0007107   
1           	4           	9.25        	0.4884      	0.9644      	0.001197    
1           	5           	9.7         	0.4834      	0.9542      	0.001591    
1           	6           	9.5         	0.4762      	0.9396      	0.001939    
1           	7           	9.85        	0.4712      	0.9293      	0.002163    
1           	8           	9.75        	0.4688      	0.9241      	0.002633    
1           	9           	9.9         	0.4644      	0.9146      	0.003066    
1           	10          	9.65        	0.4589      	0.9036      	0.003297    
1           	11          	9.6         	0.4566      	0.8986      	0.004009    
1           	12          	9.7         	0.4504      	0.8861      	0.004398    
1           	13          	9.95        	0.4445      	0.8732      	0.005304    
1           	14          	9.9         	0.4414      	0.867       	0.005578    
1           	15          	9.8         	0.4381      	0.86        	0.006078    
1           	16          	9.95        	0.4336      	0.8506      	0.006564    
1           	17          	9.95        	0.4294      	0.8418      	0.006856    
1           	18          	9.95        	0.4283      	0.8391      	0.007262    
1           	19          	9.95        	0.4231      	0.828       	0.008192    
1           	20          	10          	0.4181      	0.8176      	0.008592    
1           	21          	9.95        	0.4142      	0.8095      	0.008882    
1           	22          	9.95        	0.408       	0.7967      	0.009133    
1           	23          	9.95        	0.4032      	0.7873      	0.00896     
1           	24          	9.9         	0.3987      	0.7787      	0.009434    
1           	25          	9.9         	0.3978      	0.7769      	0.009232    
1           	26          	9.9         	0.3926      	0.7662      	0.009702    
1           	27          	9.95        	0.3868      	0.7544      	0.01049     
1           	28          	10          	0.383       	0.7451      	0.01177     
1           	29          	10          	0.3811      	0.7412      	0.01123     
1           	30          	9.95        	0.3774      	0.734       	0.01106     
1           	31          	9.95        	0.3739      	0.7273      	0.01057     
1           	32          	10          	0.3706      	0.7195      	0.01157     
1           	33          	10          	0.3658      	0.7108      	0.01083     
1           	34          	10          	0.3652      	0.7096      	0.01107     
1           	35          	10          	0.3614      	0.702       	0.01093     
1           	36          	10          	0.3586      	0.6966      	0.01078     
1           	37          	10          	0.3568      	0.6924      	0.01113     
1           	38          	10          	0.3553      	0.6883      	0.0122      
1           	39          	10          	0.3533      	0.6852      	0.0116      
1           	40          	10          	0.3495      	0.6782      	0.01163     
