generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
114         	1           	10          	0.1719      	0.319       	0.02181     
115         	1           	10          	0.17        	0.3148      	0.02207     
116         	1           	10          	0.1709      	0.3158      	0.02296     
117         	1           	10          	0.17        	0.3139      	0.02283     
118         	1           	10          	0.1686      	0.3116      	0.02259     
119         	1           	10          	0.1663      	0.3076      	0.02211     
120         	1           	10          	0.163       	0.3003      	0.02273     
121         	1           	10          	0.161       	0.2963      	0.02275     
122         	1           	10          	0.1618      	0.298       	0.02247     
123         	1           	10          	0.1594      	0.2926      	0.02327     
124         	1           	10          	0.1563      	0.2863      	0.02331     
125         	1           	9.95        	0.1548      	0.2838      	0.02311     
126         	1           	9.95        	0.1546      	0.282       	0.0248      
127         	1           	9.95        	0.1532      	0.2787      	0.02508     
128         	1           	10          	0.1525      	0.2767      	0.0258      
129         	1           	10          	0.1521      	0.2758      	0.0259      
130         	1           	10          	0.1515      	0.2735      	0.02725     
131         	1           	10          	0.1505      	0.2722      	0.02646     
132         	1           	10          	0.1489      	0.2688      	0.02668     
133         	1           	10          	0.1454      	0.2629      	0.02555     
134         	1           	10          	0.1452      	0.2616      	0.02668     
135         	1           	10          	0.1465      	0.2642      	0.02682     
136         	1           	10          	0.1479      	0.2654      	0.02821     
137         	1           	10          	0.1484      	0.2662      	0.02813     
138         	1           	10          	0.1493      	0.2674      	0.02865     
139         	1           	10          	0.1495      	0.267       	0.02953     
140         	1           	10          	0.1538      	0.2755      	0.02944     
141         	1           	10          	0.1524      	0.272       	0.03005     
142         	1           	10          	0.1526      	0.2724      	0.03031     
143         	1           	10          	0.1497      	0.2667      	0.03015     
144         	1           	10          	0.1522      	0.2734      	0.02848     
145         	1           	10          	0.1537      	0.2764      	0.02826     
146         	1           	10          	0.1512      	0.2727      	0.02691     
147         	1           	10          	0.1499      	0.2714      	0.02555     
148         	1           	10          	0.1471      	0.2658      	0.02568     
149         	1           	10          	0.1413      	0.2541      	0.02591     
150         	1           	10          	0.1415      	0.2549      	0.02562     
151         	1           	10          	0.1431      	0.2555      	0.02819     
152         	1           	10          	0.139       	0.2475      	0.02792     
153         	1           	10          	0.1392      	0.2481      	0.02797     
154         	1           	10          	0.1371      	0.2443      	0.02775     
155         	1           	10          	0.1374      	0.2453      	0.02708     
156         	1           	10          	0.1362      	0.2436      	0.02663     
157         	1           	10          	0.1364      	0.243       	0.02774     
158         	1           	10          	0.1357      	0.2412      	0.02822     
159         	1           	10          	0.1333      	0.2347      	0.03014     
160         	1           	10          	0.1313      	0.2297      	0.03103     
161         	1           	10          	0.1312      	0.2305      	0.02998     
162         	1           	10          	0.1335      	0.2349      	0.03022     
163         	1           	10          	0.1331      	0.233       	0.03135     
164         	1           	10          	0.132       	0.2307      	0.03132     
165         	1           	10          	0.1317      	0.2313      	0.03014     
166         	1           	10          	0.1299      	0.2278      	0.03009     
167         	1           	10          	0.1271      	0.2231      	0.02909     
168         	1           	10          	0.1264      	0.2217      	0.02903     
169         	1           	10          	0.1228      	0.2152      	0.02845     
170         	1           	10          	0.1214      	0.2125      	0.02862     
171         	1           	10          	0.1165      	0.2023      	0.02916     
172         	1           	10          	0.1138      	0.1977      	0.02839     
173         	1           	10          	0.1138      	0.1966      	0.02954     
174         	1           	10          	0.1111      	0.1905      	0.0303      
175         	1           	10          	0.1118      	0.1926      	0.02964     
176         	1           	9.95        	0.1131      	0.1946      	0.03033     
177         	1           	9.95        	0.1094      	0.1874      	0.03032     
178         	1           	10          	0.1077      	0.1847      	0.02959     
179         	1           	10          	0.1076      	0.1829      	0.03123     
180         	1           	10          	0.1046      	0.1776      	0.0306      
181         	1           	10          	0.1041      	0.1774      	0.02965     
182         	1           	10          	0.1046      	0.178       	0.03005     
183         	1           	10          	0.1032      	0.174       	0.03135     
184         	1           	10          	0.1031      	0.1738      	0.03148     
185         	1           	10          	0.104       	0.1753      	0.03161     
186         	1           	10          	0.1033      	0.1738      	0.03172     
187         	1           	10          	0.1041      	0.1766      	0.03049     
188         	1           	10          	0.1023      	0.1739      	0.0298      
189         	1           	10          	0.1045      	0.1773      	0.0307      
190         	1           	10          	0.102       	0.1721      	0.03098     
191         	1           	10          	0.104       	0.1756      	0.03144     
192         	1           	10          	0.1023      	0.1729      	0.03084     
193         	1           	10          	0.0991      	0.1663      	0.03097     
194         	1           	10          	0.09698     	0.1623      	0.03087     
195         	1           	10          	0.09697     	0.1609      	0.03225     
196         	1           	10          	0.09683     	0.1608      	0.03204     
197         	1           	10          	0.09978     	0.1662      	0.03245     
