generation  	alive.rpl   	adlt.nbPops 	adlt.nbInd  	emigrants   	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6
54          	18          	1.361       	3.045e+05   	0.4881      	5.537e+04   	3.231e+04   	3.898e+04   	2.512e+04   	8944        	1.632e+04   
55          	18          	1.469       	3.085e+05   	0.6114      	5.446e+04   	3.212e+04   	3.82e+04    	2.328e+04   	1.24e+04    	1.789e+04   
56          	18          	0.9506      	3.15e+05    	0.4119      	5.703e+04   	3.218e+04   	3.756e+04   	2.176e+04   	1.595e+04   	2.048e+04   
57          	18          	1.139       	3.246e+05   	0.5343      	5.744e+04   	3.198e+04   	3.563e+04   	2.039e+04   	1.949e+04   	2.348e+04   
58          	18          	1           	3.196e+05   	0.3744      	5.771e+04   	3.109e+04   	4.089e+04   	1.881e+04   	2.3e+04     	2.615e+04   
59          	18          	0.6173      	2.707e+05   	0.4126      	5.813e+04   	3.031e+04   	4.428e+04   	1.702e+04   	2.607e+04   	2.824e+04   
60          	18          	0.9506      	2.251e+05   	0.4833      	5.753e+04   	2.933e+04   	4.617e+04   	3.336e+04   	2.861e+04   	2.988e+04   
61          	18          	1.222       	2.114e+05   	0.3751      	5.796e+04   	3.626e+04   	4.492e+04   	3.263e+04   	3.019e+04   	3.088e+04   
62          	18          	0.6944      	2.078e+05   	0.197       	5.763e+04   	3.52e+04    	4.251e+04   	3.182e+04   	3.084e+04   	3.107e+04   
63          	18          	0.7654      	1.757e+05   	0.2493      	5.729e+04   	4.071e+04   	4.032e+04   	3.088e+04   	3.142e+04   	3.117e+04   
64          	18          	0.8765      	1.817e+05   	0.4257      	5.709e+04   	3.963e+04   	3.773e+04   	3.715e+04   	3.123e+04   	3.096e+04   
65          	18          	0.4321      	1.739e+05   	0.649       	5.743e+04   	3.869e+04   	3.576e+04   	3.651e+04   	3.061e+04   	3.121e+04   
66          	18          	0.6944      	1.732e+05   	0.2829      	5.783e+04   	3.757e+04   	3.326e+04   	3.569e+04   	2.918e+04   	3.207e+04   
67          	18          	0.6543      	1.606e+05   	0.4115      	5.78e+04    	4.334e+04   	3e+04       	3.98e+04    	3.363e+04   	3.225e+04   
68          	18          	0.7654      	1.642e+05   	0.2381      	5.816e+04   	4.182e+04   	2.664e+04   	3.794e+04   	3.255e+04   	3.357e+04   
69          	18          	0.8889      	1.965e+05   	0.68        	5.53e+04    	4.06e+04    	2.332e+04   	3.523e+04   	3.039e+04   	3.424e+04   
70          	18          	0.8395      	2.022e+05   	0.2475      	5.549e+04   	3.837e+04   	2.014e+04   	3.171e+04   	2.809e+04   	3.52e+04    
71          	18          	0.9167      	2.091e+05   	0.3602      	5.566e+04   	3.609e+04   	1.717e+04   	2.896e+04   	3.314e+04   	3.567e+04   
72          	18          	0.7284      	2.354e+05   	0.1801      	5.547e+04   	3.344e+04   	1.498e+04   	2.592e+04   	3.818e+04   	3.533e+04   
73          	18          	0.6173      	2.342e+05   	0.2616      	5.515e+04   	3.155e+04   	1.35e+04    	2.307e+04   	3.683e+04   	3.526e+04   
74          	18          	0.4691      	2.352e+05   	0.4043      	5.523e+04   	2.98e+04    	1.274e+04   	2.025e+04   	3.587e+04   	3.454e+04   
75          	18          	0.4691      	2.342e+05   	0.3824      	5.501e+04   	2.824e+04   	1.248e+04   	1.779e+04   	3.449e+04   	3.319e+04   
76          	18          	0.6173      	2.213e+05   	0.3564      	5.484e+04   	2.69e+04    	2.291e+04   	1.546e+04   	4.049e+04   	3.202e+04   
77          	18          	0.4722      	2.428e+05   	0.2304      	5.538e+04   	2.517e+04   	2.299e+04   	2.283e+04   	3.884e+04   	2.979e+04   
78          	18          	0.6944      	2.38e+05    	0.4766      	5.525e+04   	2.429e+04   	2.267e+04   	2.148e+04   	4.471e+04   	2.871e+04   
79          	18          	0.4228      	2.022e+05   	0.3797      	5.469e+04   	3.237e+04   	2.261e+04   	2.027e+04   	4.386e+04   	2.672e+04   
80          	18          	0.7284      	1.952e+05   	0.3366      	5.434e+04   	3.198e+04   	2.21e+04    	1.867e+04   	4.412e+04   	2.486e+04   
81          	18          	0.534       	1.677e+05   	0.3066      	5.481e+04   	3.146e+04   	2.146e+04   	1.735e+04   	4.844e+04   	2.258e+04   
82          	18          	0.6667      	1.653e+05   	0.278       	5.468e+04   	3.128e+04   	2.078e+04   	1.604e+04   	4.668e+04   	2.051e+04   
83          	18          	0.6667      	1.61e+05    	0.3718      	5.348e+04   	3.097e+04   	1.981e+04   	1.476e+04   	4.44e+04    	1.84e+04    
84          	18          	0.7284      	1.351e+05   	0.5035      	5.407e+04   	3.863e+04   	1.853e+04   	2.395e+04   	4.122e+04   	1.614e+04   
85          	18          	0.7284      	1.48e+05    	1.108       	5.447e+04   	4.43e+04    	2.709e+04   	2.35e+04    	3.712e+04   	1.45e+04    
86          	18          	0.8673      	1.493e+05   	0.3186      	5.398e+04   	4.316e+04   	2.547e+04   	2.326e+04   	3.253e+04   	1.354e+04   
87          	18          	0.4599      	1.397e+05   	0.3688      	5.32e+04    	4.226e+04   	2.442e+04   	2.282e+04   	2.83e+04    	2.305e+04   
