replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	117         	10          	0.002189    	0.001859    	0.002528    
1           	118         	10          	0.001648    	0.001495    	0.001805    
1           	119         	10          	0.001615    	0.001654    	0.001576    
1           	120         	10          	0.001696    	0.00167     	0.001722    
1           	121         	10          	0.001541    	0.001239    	0.001849    
1           	122         	10          	0.001621    	0.001288    	0.001962    
1           	123         	10          	0.001829    	0.001424    	0.002243    
1           	124         	10          	0.001691    	0.001537    	0.001848    
1           	125         	10          	0.001598    	0.001526    	0.001673    
1           	126         	10          	0.001382    	0.001539    	0.001222    
1           	127         	10          	0.001262    	0.001201    	0.001324    
1           	128         	10          	0.001352    	0.001167    	0.001539    
1           	129         	10          	0.001477    	0.001232    	0.001727    
1           	130         	10          	0.001652    	0.001067    	0.002246    
1           	131         	10          	0.001861    	0.001356    	0.002374    
1           	132         	10          	0.002       	0.001237    	0.002777    
1           	133         	10          	0.00187     	0.00152     	0.002225    
1           	134         	10          	0.001889    	0.001752    	0.002028    
1           	135         	10          	0.001935    	0.001666    	0.002209    
1           	136         	10          	0.001782    	0.001483    	0.002086    
1           	137         	10          	0.002108    	0.001867    	0.002354    
1           	138         	10          	0.002249    	0.002087    	0.002414    
1           	139         	10          	0.0019      	0.001886    	0.001915    
1           	140         	10          	0.001785    	0.001539    	0.002036    
1           	141         	10          	0.001415    	0.001098    	0.001738    
1           	142         	10          	0.001629    	0.001423    	0.001839    
1           	143         	10          	0.001546    	0.001208    	0.00189     
1           	144         	10          	0.001339    	0.001134    	0.001548    
1           	145         	10          	0.001557    	0.001428    	0.001687    
1           	146         	10          	0.001551    	0.001569    	0.001533    
1           	147         	10          	0.001519    	0.001445    	0.001594    
1           	148         	10          	0.001602    	0.001585    	0.00162     
1           	149         	10          	0.001803    	0.001938    	0.001666    
1           	150         	10          	0.001801    	0.002014    	0.001585    
1           	151         	10          	0.001666    	0.001668    	0.001664    
1           	152         	10          	0.001801    	0.001999    	0.001599    
1           	153         	10          	0.001692    	0.00177     	0.001613    
1           	154         	10          	0.001726    	0.001798    	0.001654    
1           	155         	10          	0.001864    	0.001948    	0.001779    
1           	156         	10          	0.001589    	0.00162     	0.001558    
1           	157         	10          	0.001542    	0.00141     	0.001677    
1           	158         	10          	0.001444    	0.001398    	0.001491    
1           	159         	10          	0.001359    	0.001407    	0.001312    
1           	160         	10          	0.001455    	0.001529    	0.001379    
1           	161         	10          	0.001456    	0.00123     	0.001686    
1           	162         	10          	0.001736    	0.001523    	0.001951    
1           	163         	10          	0.001784    	0.001711    	0.001858    
1           	164         	10          	0.001836    	0.001679    	0.001996    
1           	165         	10          	0.001976    	0.00182     	0.002133    
1           	166         	10          	0.001982    	0.002252    	0.001707    
1           	167         	10          	0.002062    	0.002462    	0.001657    
1           	168         	10          	0.001895    	0.002519    	0.001261    
1           	169         	10          	0.00194     	0.00263     	0.001241    
1           	170         	10          	0.002129    	0.0028      	0.001448    
1           	171         	10          	0.001965    	0.002343    	0.001581    
1           	172         	10          	0.001984    	0.002183    	0.001783    
1           	173         	10          	0.001758    	0.001764    	0.001752    
1           	174         	10          	0.001933    	0.00184     	0.002026    
1           	175         	10          	0.001854    	0.001868    	0.00184     
1           	176         	10          	0.001759    	0.002017    	0.001496    
1           	177         	10          	0.002018    	0.002375    	0.001657    
1           	178         	10          	0.001792    	0.002053    	0.001528    
1           	179         	10          	0.001906    	0.002376    	0.00143     
1           	180         	10          	0.001743    	0.002147    	0.001334    
1           	181         	10          	0.001658    	0.001803    	0.00151     
1           	182         	10          	0.001741    	0.00213     	0.001347    
1           	183         	10          	0.002053    	0.002473    	0.001627    
1           	184         	10          	0.001978    	0.002283    	0.001667    
1           	185         	10          	0.002021    	0.002304    	0.001733    
1           	186         	10          	0.002034    	0.002241    	0.001823    
1           	187         	10          	0.00202     	0.002423    	0.001611    
1           	188         	10          	0.001638    	0.001668    	0.001607    
1           	189         	10          	0.001414    	0.001411    	0.001418    
1           	190         	10          	0.001502    	0.001688    	0.001313    
1           	191         	10          	0.001266    	0.001567    	0.0009594   
1           	192         	10          	0.001283    	0.001404    	0.00116     
1           	193         	10          	0.001554    	0.002026    	0.001074    
1           	194         	10          	0.001415    	0.001563    	0.001264    
1           	195         	10          	0.001432    	0.001279    	0.001588    
1           	196         	10          	0.001418    	0.001219    	0.001621    
1           	197         	10          	0.001494    	0.001164    	0.00183     
1           	198         	10          	0.001392    	0.001154    	0.001634    
1           	199         	10          	0.00183     	0.001426    	0.00224     
1           	200         	10          	0.002214    	0.001948    	0.002484    
1           	201         	10          	0.002335    	0.002122    	0.002552    
1           	202         	10          	0.002275    	0.002431    	0.002115    
1           	203         	10          	0.002157    	0.002516    	0.001792    
1           	204         	10          	0.001878    	0.002347    	0.001402    
1           	205         	10          	0.001988    	0.002329    	0.001643    
1           	206         	10          	0.002226    	0.002591    	0.001857    
1           	207         	10          	0.002247    	0.00253     	0.00196     
1           	208         	10          	0.002191    	0.002663    	0.001712    
1           	209         	10          	0.00203     	0.002182    	0.001876    
1           	210         	10          	0.002077    	0.002089    	0.002065    
1           	211         	10          	0.001938    	0.001998    	0.001876    
1           	212         	10          	0.002014    	0.001822    	0.002209    
1           	213         	10          	0.002013    	0.001764    	0.002266    
1           	214         	10          	0.001796    	0.001837    	0.001754    
1           	215         	10          	0.001793    	0.001538    	0.002051    
1           	216         	10          	0.001665    	0.001332    	0.002002    
1           	217         	10          	0.001516    	0.001426    	0.001607    
1           	218         	10          	0.001368    	0.001271    	0.001465    
1           	219         	10          	0.001365    	0.001164    	0.00157     
1           	220         	10          	0.001542    	0.001164    	0.001925    
1           	221         	10          	0.001842    	0.001575    	0.002113    
1           	222         	10          	0.00218     	0.002286    	0.002072    
1           	223         	10          	0.001968    	0.002054    	0.001882    
1           	224         	10          	0.0016      	0.001657    	0.001541    
1           	225         	10          	0.00145     	0.001483    	0.001415    
1           	226         	10          	0.001423    	0.001598    	0.001245    
1           	227         	10          	0.001428    	0.00146     	0.001395    
1           	228         	10          	0.001397    	0.001456    	0.001337    
1           	229         	10          	0.001336    	0.001333    	0.001339    
1           	230         	10          	0.001527    	0.001435    	0.001621    
1           	231         	10          	0.001408    	0.001156    	0.001666    
1           	232         	10          	0.001458    	0.00142     	0.001496    
1           	233         	10          	0.00162     	0.001513    	0.001729    
1           	234         	10          	0.001697    	0.00127     	0.002133    
1           	235         	10          	0.001519    	0.001462    	0.001578    
1           	236         	10          	0.001695    	0.001665    	0.001726    
1           	237         	10          	0.001723    	0.001466    	0.001984    
1           	238         	10          	0.001878    	0.001744    	0.002015    
1           	239         	10          	0.002057    	0.001995    	0.002121    
1           	240         	10          	0.001731    	0.001802    	0.001658    
1           	241         	10          	0.001805    	0.00199     	0.001617    
1           	242         	10          	0.001743    	0.001847    	0.001637    
1           	243         	10          	0.001525    	0.001701    	0.001347    
1           	244         	10          	0.001347    	0.001721    	0.000966    
1           	245         	10          	0.001245    	0.001605    	0.0008778   
1           	246         	10          	0.001398    	0.001927    	0.0008588   
1           	247         	10          	0.00164     	0.002169    	0.001102    
1           	248         	10          	0.001645    	0.002103    	0.001179    
1           	249         	10          	0.001536    	0.00176     	0.001308    
1           	250         	10          	0.001881    	0.002051    	0.001708    
1           	251         	10          	0.001565    	0.001524    	0.001607    
1           	252         	10          	0.001426    	0.00153     	0.001321    
1           	253         	10          	0.001487    	0.001558    	0.001415    
1           	254         	10          	0.001455    	0.001562    	0.001346    
1           	255         	10          	0.001413    	0.001442    	0.001384    
1           	256         	10          	0.001375    	0.0009442   	0.001813    
1           	257         	10          	0.00108     	0.0007944   	0.001371    
1           	258         	10          	0.001406    	0.001209    	0.001606    
1           	259         	10          	0.001489    	0.001259    	0.001723    
1           	260         	10          	0.001401    	0.00107     	0.001737    
1           	261         	10          	0.001473    	0.001413    	0.001534    
1           	262         	10          	0.001753    	0.001813    	0.001691    
1           	263         	10          	0.001479    	0.001244    	0.001718    
1           	264         	10          	0.001419    	0.001052    	0.001793    
1           	265         	10          	0.001425    	0.0009928   	0.001863    
1           	266         	10          	0.001606    	0.001257    	0.00196     
1           	267         	10          	0.001557    	0.001174    	0.001944    
1           	268         	10          	0.001502    	0.001291    	0.001715    
1           	269         	10          	0.001491    	0.001175    	0.00181     
1           	270         	10          	0.001691    	0.001295    	0.002094    
1           	271         	10          	0.001477    	0.001108    	0.001852    
1           	272         	10          	0.001456    	0.001201    	0.001714    
1           	273         	10          	0.001412    	0.001371    	0.001453    
1           	274         	10          	0.001275    	0.001107    	0.001445    
1           	275         	10          	0.001217    	0.001078    	0.001358    
1           	276         	10          	0.001323    	0.001478    	0.001167    
1           	277         	10          	0.001605    	0.001454    	0.001759    
1           	278         	10          	0.001783    	0.001649    	0.001919    
1           	279         	10          	0.001885    	0.001778    	0.001994    
1           	280         	10          	0.001939    	0.001938    	0.00194     
1           	281         	10          	0.002051    	0.002118    	0.001982    
1           	282         	10          	0.001929    	0.001904    	0.001954    
1           	283         	10          	0.001742    	0.001608    	0.001877    
1           	284         	10          	0.00149     	0.001364    	0.001618    
1           	285         	10          	0.001346    	0.001271    	0.001421    
1           	286         	10          	0.001401    	0.001528    	0.001273    
1           	287         	10          	0.00125     	0.001286    	0.001215    
1           	288         	10          	0.001479    	0.001597    	0.00136     
1           	289         	10          	0.001656    	0.001932    	0.001376    
1           	290         	10          	0.002064    	0.002147    	0.001979    
1           	291         	10          	0.001643    	0.001511    	0.001777    
1           	292         	10          	0.00146     	0.00132     	0.001604    
1           	293         	10          	0.001505    	0.00161     	0.001398    
1           	294         	10          	0.001472    	0.001549    	0.001393    
1           	295         	10          	0.001754    	0.00171     	0.001798    
1           	296         	10          	0.001671    	0.001566    	0.001778    
1           	297         	10          	0.001303    	0.001141    	0.001467    
1           	298         	10          	0.001456    	0.001439    	0.001473    
1           	299         	10          	0.001497    	0.001568    	0.001424    
1           	300         	10          	0.001876    	0.001779    	0.001975    
1           	301         	10          	0.001777    	0.001865    	0.001687    
1           	302         	10          	0.001952    	0.002126    	0.001774    
1           	303         	10          	0.00206     	0.002083    	0.002037    
1           	304         	10          	0.002099    	0.001907    	0.002294    
1           	305         	10          	0.00195     	0.001991    	0.001907    
1           	306         	10          	0.001648    	0.001608    	0.001688    
1           	307         	10          	0.001711    	0.001591    	0.001832    
1           	308         	10          	0.001375    	0.001524    	0.001223    
1           	309         	10          	0.00137     	0.001479    	0.001259    
1           	310         	10          	0.001386    	0.001488    	0.001282    
1           	311         	10          	0.001252    	0.00152     	0.00098     
1           	312         	10          	0.001311    	0.001381    	0.001241    
1           	313         	10          	0.001099    	0.001248    	0.0009476   
1           	314         	10          	0.001455    	0.001289    	0.001625    
1           	315         	10          	0.001519    	0.001345    	0.001697    
1           	316         	10          	0.00154     	0.001448    	0.001635    
1           	317         	10          	0.001665    	0.001788    	0.001538    
1           	318         	10          	0.001501    	0.001551    	0.00145     
1           	319         	10          	0.001588    	0.001709    	0.001464    
1           	320         	10          	0.001613    	0.001661    	0.001564    
