generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	1           	5.5         	0.5057      	1           	6.406e-06   
2           	1           	10          	0.398       	0.7867      	0.0005352   
3           	1           	10          	0.3219      	0.6356      	0.001241    
4           	1           	10          	0.2494      	0.4922      	0.001333    
5           	1           	10          	0.1991      	0.393       	0.001196    
6           	1           	10          	0.1589      	0.3133      	0.001517    
7           	1           	10          	0.1249      	0.2461      	0.001432    
8           	1           	10          	0.09951     	0.196       	0.001224    
9           	1           	10          	0.07766     	0.1527      	0.001208    
10          	1           	10          	0.06275     	0.123       	0.001371    
11          	1           	10          	0.05015     	0.09786     	0.001551    
12          	1           	10          	0.04078     	0.07903     	0.001805    
13          	1           	10          	0.03348     	0.06456     	0.001806    
14          	1           	10          	0.02703     	0.05161     	0.00199     
15          	1           	10          	0.02133     	0.04021     	0.002075    
16          	1           	10          	0.01764     	0.03295     	0.002026    
17          	1           	10          	0.01648     	0.03059     	0.002096    
18          	1           	10          	0.01356     	0.02508     	0.001803    
19          	1           	10          	0.01246     	0.02238     	0.002346    
20          	1           	10          	0.01047     	0.01795     	0.002843    
21          	1           	10          	0.008167    	0.01414     	0.002073    
22          	1           	10          	0.007263    	0.01243     	0.001984    
23          	1           	10          	0.006748    	0.01134     	0.002061    
24          	1           	10          	0.006041    	0.01008     	0.001909    
25          	1           	10          	0.005148    	0.008464    	0.00176     
26          	1           	10          	0.004446    	0.007005    	0.00183     
27          	1           	10          	0.004247    	0.006591    	0.001849    
28          	1           	10          	0.003361    	0.004915    	0.001772    
29          	1           	10          	0.00275     	0.003941    	0.00153     
30          	1           	10          	0.002512    	0.003471    	0.00153     
31          	1           	10          	0.002385    	0.00345     	0.001296    
32          	1           	10          	0.001865    	0.0026      	0.001112    
33          	1           	10          	0.001817    	0.002321    	0.001301    
34          	1           	10          	0.001756    	0.002319    	0.001179    
35          	1           	10          	0.001763    	0.002293    	0.001221    
36          	1           	10          	0.00162     	0.00214     	0.001087    
37          	1           	10          	0.001577    	0.002073    	0.001069    
38          	1           	10          	0.00171     	0.002389    	0.001017    
39          	1           	10          	0.002001    	0.002713    	0.001272    
40          	1           	10          	0.00165     	0.001977    	0.001316    
41          	1           	10          	0.001372    	0.001551    	0.001189    
42          	1           	10          	0.001311    	0.00149     	0.001128    
43          	1           	10          	0.001191    	0.001405    	0.0009719   
44          	1           	10          	0.001151    	0.001372    	0.0009243   
45          	1           	10          	0.001278    	0.001458    	0.001095    
46          	1           	10          	0.001592    	0.001879    	0.001299    
47          	1           	10          	0.001846    	0.001882    	0.00181     
48          	1           	10          	0.001842    	0.001965    	0.001718    
49          	1           	10          	0.001678    	0.001693    	0.001663    
50          	1           	10          	0.00173     	0.001778    	0.001682    
51          	1           	10          	0.001593    	0.001539    	0.001649    
52          	1           	10          	0.001549    	0.001692    	0.001402    
53          	1           	10          	0.001735    	0.001761    	0.001708    
54          	1           	10          	0.001554    	0.00166     	0.001446    
55          	1           	10          	0.00156     	0.001664    	0.001453    
56          	1           	10          	0.001567    	0.001859    	0.001267    
57          	1           	10          	0.001573    	0.002047    	0.001087    
58          	1           	10          	0.001411    	0.001695    	0.001119    
59          	1           	10          	0.001334    	0.001382    	0.001285    
60          	1           	10          	0.00175     	0.00165     	0.001854    
61          	1           	10          	0.001781    	0.001712    	0.001851    
62          	1           	10          	0.00203     	0.002015    	0.002045    
