generation  	alive.rpl   	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
152         	1           	11          	0.2002      	0.2009      
153         	1           	11          	0.2023      	0.2028      
154         	1           	11          	0.2048      	0.2028      
155         	1           	11          	0.2019      	0.1997      
156         	1           	11          	0.2041      	0.2027      
157         	1           	11          	0.2004      	0.2006      
158         	1           	11          	0.1956      	0.1981      
159         	1           	11          	0.2046      	0.2045      
160         	1           	11          	0.2092      	0.2119      
161         	1           	11          	0.2217      	0.2225      
162         	1           	11          	0.229       	0.2289      
163         	1           	11          	0.2307      	0.2301      
164         	1           	11          	0.2364      	0.2359      
165         	1           	11          	0.2317      	0.2317      
166         	1           	11          	0.2341      	0.2316      
167         	1           	11          	0.2331      	0.2328      
168         	1           	11          	0.2292      	0.2267      
169         	1           	11          	0.2282      	0.2264      
170         	1           	11          	0.2216      	0.2222      
171         	1           	11          	0.225       	0.225       
172         	1           	11          	0.2327      	0.2327      
173         	1           	11          	0.2355      	0.2358      
174         	1           	11          	0.2362      	0.236       
175         	1           	11          	0.243       	0.2428      
176         	1           	11          	0.2392      	0.2391      
177         	1           	11          	0.2358      	0.237       
178         	1           	11          	0.2359      	0.2364      
179         	1           	11          	0.2473      	0.2481      
180         	1           	11          	0.2496      	0.2504      
181         	1           	11          	0.2536      	0.2512      
182         	1           	11          	0.263       	0.2609      
183         	1           	11          	0.2663      	0.2669      
184         	1           	11          	0.2676      	0.2684      
185         	1           	11          	0.2709      	0.2687      
186         	1           	11          	0.2676      	0.2694      
187         	1           	11          	0.2734      	0.2731      
188         	1           	11          	0.2748      	0.2741      
189         	1           	11          	0.2845      	0.283       
190         	1           	11          	0.2899      	0.2878      
191         	1           	11          	0.2937      	0.2929      
192         	1           	11          	0.2902      	0.2923      
193         	1           	11          	0.2946      	0.2952      
194         	1           	11          	0.2973      	0.2978      
195         	1           	11          	0.2936      	0.2934      
196         	1           	11          	0.3009      	0.3005      
197         	1           	11          	0.2975      	0.301       
198         	1           	11          	0.3037      	0.3026      
199         	1           	11          	0.3075      	0.3067      
200         	1           	11          	0.308       	0.3081      
201         	1           	11          	0.3099      	0.3112      
202         	1           	11          	0.315       	0.3155      
203         	1           	11          	0.3161      	0.3167      
204         	1           	11          	0.3149      	0.3153      
205         	1           	11          	0.3137      	0.3143      
206         	1           	11          	0.3132      	0.3135      
207         	1           	11          	0.32        	0.3188      
208         	1           	11          	0.3163      	0.3137      
209         	1           	11          	0.3138      	0.3123      
210         	1           	11          	0.311       	0.311       
211         	1           	11          	0.312       	0.3142      
212         	1           	11          	0.3246      	0.3219      
213         	1           	11          	0.3316      	0.3293      
214         	1           	11          	0.3301      	0.3322      
215         	1           	11          	0.333       	0.3325      
216         	1           	11          	0.3388      	0.3404      
217         	1           	11          	0.3468      	0.3452      
218         	1           	11          	0.3461      	0.3455      
219         	1           	11          	0.3473      	0.3484      
220         	1           	11          	0.348       	0.3452      
221         	1           	11          	0.3458      	0.3453      
222         	1           	11          	0.3526      	0.3513      
223         	1           	11          	0.3435      	0.3453      
224         	1           	11          	0.3477      	0.3462      
225         	1           	11          	0.3601      	0.357       
226         	1           	11          	0.366       	0.3629      
227         	1           	11          	0.3694      	0.3655      
228         	1           	11          	0.3604      	0.3617      
229         	1           	11          	0.3657      	0.3647      
230         	1           	11          	0.3647      	0.3652      
231         	1           	11          	0.3673      	0.3686      
232         	1           	11          	0.3722      	0.3722      
233         	1           	11          	0.3775      	0.377       
234         	1           	11          	0.3893      	0.3864      
235         	1           	11          	0.3862      	0.3848      
236         	1           	11          	0.3849      	0.3891      
237         	1           	11          	0.3916      	0.3912      
238         	1           	11          	0.402       	0.3997      
239         	1           	11          	0.3993      	0.3987      
240         	1           	11          	0.4023      	0.4023      
241         	1           	11          	0.4044      	0.4027      
242         	1           	11          	0.4082      	0.4072      
243         	1           	11          	0.4008      	0.401       
244         	1           	11          	0.4003      	0.3992      
245         	1           	11          	0.3989      	0.3983      
246         	1           	11          	0.3983      	0.3982      
247         	1           	11          	0.3943      	0.3956      
248         	1           	11          	0.3906      	0.3904      
249         	1           	11          	0.3949      	0.3962      
250         	1           	11          	0.3944      	0.3946      
251         	1           	11          	0.4013      	0.3996      
252         	1           	11          	0.3977      	0.3977      
253         	1           	11          	0.3951      	0.397       
254         	1           	11          	0.391       	0.3921      
255         	1           	11          	0.3935      	0.3905      
