generation  	alive.rpl   	q.adlt.nbAll	q.adlt.ho   	q.meanG     
1           	1           	152         	0.986       	0.00188     
2           	1           	145         	0.9859      	0.02374     
3           	1           	139         	0.984       	-0.0213     
4           	1           	136         	0.9877      	-0.04191    
5           	1           	136         	0.9862      	-0.07965    
6           	1           	135         	0.9844      	-0.1014     
7           	1           	131         	0.9855      	-0.1072     
8           	1           	129         	0.9852      	-0.1317     
9           	1           	127         	0.9855      	-0.1471     
10          	1           	127         	0.9862      	-0.1551     
