generation  	alive.rpl   	q.adlt.nbAll	q.adlt.ho   	q.meanG     
1           	1           	152         	0.989       	-0.07559    
2           	1           	107         	0.9817      	-0.05841    
3           	1           	89          	0.9787      	-0.004356   
4           	1           	74          	0.969       	-0.01067    
5           	1           	61          	0.9654      	0.004403    
6           	1           	54          	0.9586      	-0.009572   
7           	1           	49          	0.952       	-0.01015    
8           	1           	41          	0.9496      	-0.01708    
9           	1           	37          	0.9452      	-0.01673    
10          	1           	34          	0.9348      	-0.01397    
