replicate   	generation  	q.adlt.nbAll	q.adlt.ho   	q.meanG     
1           	1           	152         	0.989       	-0.07559    
1           	2           	107         	0.9817      	-0.05841    
1           	3           	89          	0.9787      	-0.004356   
1           	4           	74          	0.969       	-0.01067    
1           	5           	61          	0.9654      	0.004403    
1           	6           	54          	0.9586      	-0.009572   
1           	7           	49          	0.952       	-0.01015    
1           	8           	41          	0.9496      	-0.01708    
1           	9           	37          	0.9452      	-0.01673    
1           	10          	34          	0.9348      	-0.01397    
