replicate   	generation  	q.adlt.nbAll	q.adlt.ho   	q.meanG     
1           	1           	154         	0.9862      	-0.005065   
1           	2           	140         	0.9841      	-0.009609   
1           	3           	132         	0.986       	-0.05662    
1           	4           	122         	0.9848      	-0.02977    
1           	5           	114         	0.9828      	0.01061     
1           	6           	110         	0.9816      	-0.005811   
1           	7           	106         	0.9811      	-0.03437    
1           	8           	103         	0.9804      	-0.02457    
1           	9           	100         	0.9807      	-0.03179    
1           	10          	93          	0.9799      	-0.05888    
