generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
110         	1           	8.55        	0.4106      	0.7732      	0.04232     
111         	1           	8.6         	0.4111      	0.7742      	0.04207     
112         	1           	8.75        	0.4081      	0.767       	0.04339     
113         	1           	8.65        	0.4082      	0.7661      	0.04428     
114         	1           	8.8         	0.409       	0.7679      	0.04354     
115         	1           	8.95        	0.4102      	0.7697      	0.04437     
116         	1           	8.85        	0.4112      	0.7708      	0.04511     
117         	1           	8.85        	0.408       	0.7648      	0.04481     
118         	1           	8.75        	0.4055      	0.7593      	0.04525     
119         	1           	8.8         	0.4045      	0.7569      	0.04558     
120         	1           	8.95        	0.4031      	0.7534      	0.04635     
121         	1           	8.9         	0.4035      	0.7525      	0.04807     
122         	1           	8.9         	0.4058      	0.7552      	0.04998     
123         	1           	8.8         	0.4096      	0.7618      	0.05074     
124         	1           	8.85        	0.4073      	0.7582      	0.04978     
125         	1           	8.75        	0.4094      	0.7595      	0.05215     
126         	1           	8.95        	0.4085      	0.7568      	0.05314     
127         	1           	8.85        	0.408       	0.7565      	0.05272     
128         	1           	8.85        	0.4061      	0.7531      	0.05232     
129         	1           	8.85        	0.404       	0.7486      	0.05276     
130         	1           	8.95        	0.4052      	0.7513      	0.05223     
131         	1           	8.9         	0.4034      	0.7483      	0.05127     
132         	1           	8.85        	0.4011      	0.742       	0.05309     
133         	1           	8.9         	0.4022      	0.7444      	0.05309     
134         	1           	9           	0.4008      	0.7434      	0.05152     
135         	1           	8.95        	0.4007      	0.7411      	0.05364     
136         	1           	8.8         	0.3996      	0.7395      	0.0528      
137         	1           	8.75        	0.4008      	0.7415      	0.0533      
138         	1           	8.85        	0.4057      	0.7507      	0.05413     
139         	1           	8.65        	0.4075      	0.7521      	0.0562      
140         	1           	8.65        	0.4068      	0.7477      	0.05934     
141         	1           	8.7         	0.4088      	0.7521      	0.05902     
142         	1           	8.7         	0.4099      	0.7543      	0.05857     
143         	1           	8.7         	0.4122      	0.7582      	0.05971     
144         	1           	8.65        	0.4123      	0.7578      	0.06044     
145         	1           	8.7         	0.4094      	0.7523      	0.05964     
146         	1           	8.75        	0.4075      	0.7467      	0.06192     
147         	1           	8.9         	0.4038      	0.7391      	0.06213     
148         	1           	8.75        	0.4059      	0.7426      	0.06236     
149         	1           	8.85        	0.4086      	0.7463      	0.06384     
150         	1           	8.7         	0.4109      	0.7489      	0.06597     
151         	1           	8.75        	0.4124      	0.7526      	0.06516     
152         	1           	8.8         	0.4141      	0.7541      	0.06712     
153         	1           	8.95        	0.4132      	0.7522      	0.06708     
154         	1           	9           	0.4146      	0.7521      	0.06997     
155         	1           	8.95        	0.4109      	0.7436      	0.07113     
156         	1           	8.75        	0.4087      	0.7412      	0.06876     
157         	1           	8.75        	0.4056      	0.7338      	0.07        
158         	1           	8.55        	0.4046      	0.7309      	0.07069     
159         	1           	8.6         	0.4041      	0.7311      	0.06958     
160         	1           	8.75        	0.4022      	0.7285      	0.0687      
161         	1           	8.85        	0.4026      	0.7308      	0.06754     
162         	1           	8.85        	0.4053      	0.7335      	0.06982     
163         	1           	9           	0.4039      	0.7334      	0.06758     
164         	1           	8.95        	0.3975      	0.72        	0.06858     
165         	1           	8.85        	0.3975      	0.7197      	0.0689      
166         	1           	8.85        	0.3978      	0.7217      	0.06765     
167         	1           	8.8         	0.4         	0.7268      	0.06696     
168         	1           	8.9         	0.4005      	0.7252      	0.06954     
169         	1           	9           	0.4019      	0.7249      	0.0727      
170         	1           	9.1         	0.4037      	0.7278      	0.0731      
171         	1           	9.05        	0.4024      	0.7254      	0.07269     
172         	1           	9.1         	0.4001      	0.7204      	0.07298     
173         	1           	8.95        	0.397       	0.7171      	0.07052     
174         	1           	9           	0.3949      	0.7155      	0.06782     
175         	1           	9.1         	0.3956      	0.7144      	0.06972     
176         	1           	9.05        	0.3957      	0.7138      	0.07045     
177         	1           	9.25        	0.3921      	0.7077      	0.06945     
178         	1           	9.2         	0.3888      	0.7         	0.07067     
179         	1           	9.1         	0.3888      	0.7012      	0.06928     
180         	1           	9.25        	0.3903      	0.7046      	0.06833     
181         	1           	9.25        	0.3904      	0.7065      	0.06636     
182         	1           	9.2         	0.3906      	0.7066      	0.06705     
183         	1           	9.25        	0.3925      	0.7111      	0.0659      
184         	1           	9.1         	0.3901      	0.7063      	0.06609     
185         	1           	9.1         	0.3891      	0.7038      	0.06643     
186         	1           	9.05        	0.3895      	0.7033      	0.06721     
187         	1           	9.15        	0.3888      	0.7014      	0.06771     
188         	1           	8.85        	0.3889      	0.7022      	0.06668     
189         	1           	8.9         	0.3862      	0.6969      	0.06681     
190         	1           	8.9         	0.3855      	0.6933      	0.06914     
191         	1           	8.85        	0.3861      	0.6942      	0.06929     
192         	1           	8.9         	0.3855      	0.6953      	0.06733     
193         	1           	8.7         	0.3846      	0.6939      	0.06677     
194         	1           	8.8         	0.3851      	0.6955      	0.06651     
195         	1           	8.9         	0.3815      	0.6887      	0.0662      
196         	1           	8.8         	0.38        	0.685       	0.06657     
197         	1           	8.9         	0.3809      	0.6882      	0.06515     
198         	1           	8.95        	0.3797      	0.6845      	0.06587     
199         	1           	8.7         	0.3751      	0.6749      	0.06658     
200         	1           	8.8         	0.3769      	0.6753      	0.06971     
201         	1           	8.9         	0.374       	0.6694      	0.07042     
202         	1           	9.1         	0.3725      	0.6662      	0.07048     
203         	1           	9           	0.3749      	0.6702      	0.07127     
204         	1           	8.85        	0.3762      	0.6706      	0.07319     
205         	1           	8.85        	0.3737      	0.6674      	0.07157     
206         	1           	8.8         	0.3705      	0.6614      	0.07159     
207         	1           	8.8         	0.3708      	0.6622      	0.07144     
208         	1           	8.85        	0.3711      	0.6631      	0.07103     
209         	1           	9           	0.3687      	0.6578      	0.07113     
210         	1           	8.85        	0.3716      	0.6641      	0.07033     
211         	1           	8.95        	0.3684      	0.6572      	0.07079     
212         	1           	8.8         	0.3653      	0.6505      	0.07159     
213         	1           	9           	0.3653      	0.6506      	0.07185     
214         	1           	9.2         	0.3674      	0.6559      	0.07044     
215         	1           	9.1         	0.3657      	0.6524      	0.07064     
216         	1           	9.15        	0.3662      	0.6525      	0.07113     
217         	1           	9.05        	0.369       	0.6579      	0.07065     
218         	1           	9           	0.3688      	0.6571      	0.07102     
219         	1           	9.05        	0.3663      	0.6524      	0.07092     
220         	1           	9.2         	0.365       	0.6479      	0.07271     
221         	1           	9.25        	0.3632      	0.6435      	0.07355     
222         	1           	9.3         	0.3627      	0.6421      	0.07411     
223         	1           	9.15        	0.3605      	0.6388      	0.0731      
224         	1           	9.1         	0.3583      	0.6354      	0.07224     
225         	1           	9.1         	0.357       	0.6326      	0.0727      
226         	1           	9.2         	0.3579      	0.6353      	0.07186     
227         	1           	9.15        	0.3605      	0.6389      	0.07355     
228         	1           	9.2         	0.3628      	0.642       	0.07514     
229         	1           	9           	0.3593      	0.635       	0.07526     
230         	1           	9.15        	0.3552      	0.6269      	0.07561     
231         	1           	9.15        	0.3551      	0.6255      	0.07681     
232         	1           	9.2         	0.3536      	0.6242      	0.0755      
233         	1           	9.2         	0.3533      	0.6248      	0.07415     
234         	1           	9.05        	0.3519      	0.6211      	0.0749      
235         	1           	9           	0.3521      	0.6219      	0.07404     
236         	1           	8.95        	0.3491      	0.6167      	0.07312     
237         	1           	9.05        	0.3474      	0.6119      	0.075       
238         	1           	9.15        	0.3464      	0.6076      	0.07724     
239         	1           	9.2         	0.3471      	0.6062      	0.07985     
240         	1           	9.1         	0.3463      	0.606       	0.07885     
241         	1           	9           	0.3441      	0.6016      	0.07923     
242         	1           	8.85        	0.3464      	0.6052      	0.08011     
243         	1           	8.85        	0.3483      	0.6083      	0.08097     
244         	1           	8.95        	0.3484      	0.6079      	0.08157     
245         	1           	9           	0.3507      	0.6107      	0.08321     
246         	1           	9.1         	0.3534      	0.6178      	0.08164     
247         	1           	9.15        	0.3539      	0.6191      	0.08158     
248         	1           	9.1         	0.3547      	0.6196      	0.08226     
249         	1           	8.9         	0.3568      	0.623       	0.08284     
250         	1           	9           	0.3543      	0.6144      	0.08655     
251         	1           	9.1         	0.3535      	0.6139      	0.08508     
252         	1           	9.2         	0.3533      	0.613       	0.08531     
253         	1           	9.2         	0.3549      	0.6123      	0.08931     
254         	1           	9.25        	0.3526      	0.6074      	0.08978     
255         	1           	9.5         	0.3499      	0.6017      	0.09044     
256         	1           	9.35        	0.3501      	0.605       	0.08722     
257         	1           	9.35        	0.3491      	0.6028      	0.08743     
258         	1           	9.35        	0.352       	0.6082      	0.08772     
259         	1           	9.15        	0.3548      	0.612       	0.0894      
260         	1           	9.1         	0.3547      	0.6127      	0.08805     
261         	1           	9.25        	0.3505      	0.6048      	0.08755     
262         	1           	9.15        	0.3541      	0.6112      	0.08815     
263         	1           	9.1         	0.3557      	0.6144      	0.0885      
264         	1           	9.05        	0.3586      	0.6182      	0.09005     
265         	1           	9.15        	0.3548      	0.6097      	0.09058     
266         	1           	9           	0.3568      	0.6137      	0.09065     
267         	1           	8.85        	0.3552      	0.6121      	0.089       
268         	1           	8.95        	0.3513      	0.606       	0.08754     
269         	1           	8.95        	0.3535      	0.6081      	0.08986     
270         	1           	9.05        	0.3565      	0.6153      	0.08833     
271         	1           	9.2         	0.3518      	0.606       	0.08854     
272         	1           	9.15        	0.3551      	0.6121      	0.08847     
273         	1           	8.95        	0.3544      	0.6105      	0.08846     
274         	1           	9.05        	0.3548      	0.6096      	0.09021     
275         	1           	9           	0.3508      	0.6001      	0.09153     
276         	1           	9.05        	0.3536      	0.6013      	0.0961      
277         	1           	9.05        	0.3552      	0.603       	0.09687     
278         	1           	9.05        	0.3536      	0.6003      	0.09679     
279         	1           	9.1         	0.3592      	0.6075      	0.1002      
280         	1           	9.05        	0.3607      	0.6082      	0.1019      
281         	1           	9.2         	0.361       	0.6095      	0.1008      
282         	1           	9           	0.363       	0.616       	0.09843     
283         	1           	8.85        	0.3658      	0.6192      	0.1011      
284         	1           	8.95        	0.3653      	0.618       	0.1009      
285         	1           	8.9         	0.3628      	0.6148      	0.09974     
286         	1           	8.85        	0.3654      	0.6188      	0.1012      
287         	1           	8.95        	0.3664      	0.6221      	0.09987     
288         	1           	8.9         	0.3709      	0.6287      	0.1021      
289         	1           	8.85        	0.3673      	0.6216      	0.1019      
290         	1           	8.65        	0.3689      	0.6212      	0.1053      
291         	1           	8.55        	0.3703      	0.6252      	0.1041      
292         	1           	8.7         	0.3682      	0.6225      	0.1032      
