replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	110         	9.1         	0.4227      	0.7978      	0.03752     
1           	111         	8.95        	0.4255      	0.8019      	0.03898     
1           	112         	9.05        	0.4261      	0.8023      	0.03948     
1           	113         	9           	0.4268      	0.8024      	0.04078     
1           	114         	9.05        	0.4314      	0.8098      	0.04312     
1           	115         	9.05        	0.433       	0.8117      	0.04452     
1           	116         	9.05        	0.429       	0.8057      	0.04281     
1           	117         	9           	0.428       	0.8042      	0.04246     
1           	118         	8.95        	0.4278      	0.8027      	0.04396     
1           	119         	9.2         	0.4296      	0.8045      	0.04582     
1           	120         	9           	0.4305      	0.8052      	0.04731     
1           	121         	9           	0.4301      	0.803       	0.04863     
1           	122         	9.1         	0.4261      	0.7941      	0.04971     
1           	123         	9           	0.425       	0.7931      	0.04866     
1           	124         	9.1         	0.4288      	0.7994      	0.05011     
1           	125         	9.15        	0.4294      	0.8004      	0.05009     
1           	126         	9.25        	0.4302      	0.8021      	0.04996     
1           	127         	9.3         	0.4282      	0.7972      	0.05038     
1           	128         	9.2         	0.4282      	0.7974      	0.0497      
1           	129         	9.1         	0.4299      	0.8006      	0.04986     
1           	130         	9.05        	0.4309      	0.803       	0.04971     
1           	131         	9.1         	0.4289      	0.7984      	0.05064     
1           	132         	9.15        	0.4289      	0.7973      	0.05153     
1           	133         	9.2         	0.4306      	0.7995      	0.05267     
1           	134         	8.9         	0.4316      	0.8007      	0.05333     
1           	135         	8.95        	0.4293      	0.7957      	0.05379     
1           	136         	9           	0.4301      	0.796       	0.05496     
1           	137         	9           	0.4323      	0.8014      	0.05385     
1           	138         	8.85        	0.4275      	0.7928      	0.0531      
1           	139         	8.85        	0.428       	0.7919      	0.05514     
1           	140         	9.05        	0.4247      	0.7863      	0.05418     
1           	141         	9.1         	0.4234      	0.7844      	0.05345     
1           	142         	9.1         	0.4194      	0.7757      	0.05441     
1           	143         	8.95        	0.4165      	0.7712      	0.05285     
