replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	1           	5.5         	0.5055      	1           	2.415e-05   
1           	2           	10          	0.4536      	0.8969      	0.0004997   
1           	3           	10          	0.4048      	0.8002      	0.0009227   
1           	4           	10          	0.3641      	0.7202      	0.0007035   
1           	5           	10          	0.33        	0.6523      	0.001037    
1           	6           	10          	0.2906      	0.5742      	0.001074    
1           	7           	10          	0.2582      	0.5101      	0.0009812   
1           	8           	10          	0.2295      	0.4526      	0.001949    
1           	9           	10          	0.204       	0.4016      	0.002301    
1           	10          	10          	0.1766      	0.3465      	0.002794    
1           	11          	10          	0.1561      	0.3062      	0.00263     
1           	12          	10          	0.1412      	0.2761      	0.003244    
1           	13          	10          	0.1294      	0.2528      	0.003083    
1           	14          	10          	0.1146      	0.2235      	0.003218    
1           	15          	10          	0.1016      	0.1976      	0.003521    
1           	16          	10          	0.08963     	0.1743      	0.003105    
1           	17          	10          	0.08131     	0.1575      	0.00351     
1           	18          	10          	0.07327     	0.1418      	0.003325    
1           	19          	10          	0.06488     	0.1251      	0.003353    
1           	20          	10          	0.05967     	0.1149      	0.003327    
1           	21          	10          	0.0564      	0.108       	0.003691    
1           	22          	10          	0.04995     	0.09503     	0.003908    
1           	23          	10          	0.04722     	0.0899      	0.003647    
1           	24          	10          	0.0434      	0.08205     	0.003965    
1           	25          	10          	0.03738     	0.07048     	0.00363     
1           	26          	10          	0.03249     	0.06119     	0.003246    
1           	27          	10          	0.02954     	0.05519     	0.003401    
1           	28          	10          	0.02714     	0.0501      	0.003714    
1           	29          	10          	0.02523     	0.04561     	0.004428    
1           	30          	10          	0.02318     	0.04137     	0.004617    
1           	31          	10          	0.02201     	0.03944     	0.004232    
1           	32          	10          	0.01963     	0.03438     	0.004589    
1           	33          	10          	0.01788     	0.03089     	0.004615    
1           	34          	10          	0.01585     	0.02701     	0.004494    
1           	35          	10          	0.01438     	0.02403     	0.004557    
1           	36          	10          	0.01369     	0.02286     	0.004353    
1           	37          	10          	0.01215     	0.01995     	0.004193    
1           	38          	10          	0.01197     	0.01877     	0.005037    
1           	39          	10          	0.01135     	0.01716     	0.005425    
1           	40          	10          	0.01077     	0.01624     	0.005198    
1           	41          	10          	0.009455    	0.01317     	0.00567     
1           	42          	10          	0.008567    	0.01216     	0.004902    
1           	43          	10          	0.007656    	0.01057     	0.004683    
1           	44          	10          	0.007341    	0.009511    	0.005126    
1           	45          	10          	0.006198    	0.007398    	0.004975    
1           	46          	10          	0.006239    	0.0075      	0.004953    
1           	47          	10          	0.005752    	0.007001    	0.004479    
1           	48          	10          	0.005851    	0.007069    	0.00461     
1           	49          	10          	0.006012    	0.007237    	0.004761    
1           	50          	10          	0.005873    	0.007061    	0.004664    
1           	51          	10          	0.005429    	0.006266    	0.004576    
1           	52          	10          	0.005177    	0.005575    	0.004772    
1           	53          	10          	0.005137    	0.005678    	0.004585    
1           	54          	10          	0.005215    	0.005769    	0.004651    
1           	55          	10          	0.004467    	0.004675    	0.004255    
1           	56          	10          	0.004258    	0.004245    	0.004271    
1           	57          	10          	0.004181    	0.004364    	0.003995    
1           	58          	10          	0.004061    	0.004378    	0.003738    
1           	59          	10          	0.00405     	0.004712    	0.003374    
1           	60          	10          	0.003798    	0.004382    	0.003201    
1           	61          	10          	0.003689    	0.00403     	0.003341    
1           	62          	10          	0.003568    	0.003805    	0.003325    
1           	63          	10          	0.003718    	0.003688    	0.003748    
1           	64          	10          	0.003702    	0.003541    	0.003867    
1           	65          	10          	0.003658    	0.004136    	0.00317     
1           	66          	10          	0.003545    	0.00363     	0.003459    
1           	67          	10          	0.003493    	0.003741    	0.003242    
1           	68          	10          	0.003399    	0.003645    	0.003148    
1           	69          	10          	0.003531    	0.004233    	0.002817    
1           	70          	10          	0.003307    	0.004124    	0.002474    
1           	71          	10          	0.003398    	0.0043      	0.002477    
1           	72          	10          	0.003485    	0.0046      	0.002347    
1           	73          	10          	0.003309    	0.00436     	0.002237    
1           	74          	10          	0.003259    	0.004061    	0.00244     
1           	75          	10          	0.003199    	0.004031    	0.002351    
1           	76          	10          	0.003278    	0.003881    	0.002665    
1           	77          	10          	0.003506    	0.004103    	0.002898    
1           	78          	10          	0.003243    	0.003807    	0.002668    
1           	79          	10          	0.003354    	0.003863    	0.002836    
1           	80          	10          	0.003335    	0.003271    	0.0034      
1           	81          	10          	0.003478    	0.0035      	0.003456    
1           	82          	10          	0.003772    	0.004104    	0.003434    
1           	83          	10          	0.003614    	0.003753    	0.003473    
1           	84          	10          	0.003551    	0.003524    	0.00358     
1           	85          	10          	0.003428    	0.003404    	0.003453    
1           	86          	10          	0.003267    	0.003305    	0.003228    
1           	87          	10          	0.003471    	0.003358    	0.003586    
1           	88          	10          	0.003433    	0.003162    	0.003709    
1           	89          	10          	0.00344     	0.003198    	0.003686    
1           	90          	10          	0.003662    	0.003214    	0.004119    
1           	91          	10          	0.003794    	0.003604    	0.003987    
1           	92          	10          	0.003992    	0.003943    	0.004042    
1           	93          	10          	0.004212    	0.004268    	0.004154    
1           	94          	10          	0.004263    	0.004642    	0.003876    
1           	95          	10          	0.004431    	0.00472     	0.004136    
1           	96          	10          	0.004623    	0.004812    	0.00443     
1           	97          	10          	0.004456    	0.004749    	0.004156    
1           	98          	10          	0.004609    	0.004146    	0.005083    
1           	99          	10          	0.00446     	0.004341    	0.004582    
1           	100         	10          	0.004156    	0.004179    	0.004132    
1           	101         	10          	0.004096    	0.003943    	0.004253    
1           	102         	10          	0.003821    	0.003646    	0.004       
1           	103         	10          	0.003524    	0.003066    	0.003992    
1           	104         	10          	0.003805    	0.003269    	0.004355    
1           	105         	10          	0.0036      	0.002691    	0.004532    
1           	106         	10          	0.003458    	0.002688    	0.004248    
1           	107         	10          	0.00377     	0.002756    	0.004809    
1           	108         	10          	0.003772    	0.003286    	0.004271    
1           	109         	10          	0.003862    	0.003465    	0.004269    
1           	110         	10          	0.003717    	0.003325    	0.004119    
1           	111         	10          	0.003794    	0.00371     	0.003881    
1           	112         	10          	0.003834    	0.003927    	0.003739    
1           	113         	10          	0.003426    	0.003459    	0.003392    
1           	114         	10          	0.003388    	0.003176    	0.003607    
1           	115         	10          	0.003441    	0.003349    	0.003535    
1           	116         	10          	0.003243    	0.003154    	0.003334    
1           	117         	10          	0.003434    	0.003423    	0.003447    
