generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	1           	5.5         	0.5058      	1           	4.297e-05   
2           	1           	7.1         	0.5013      	0.9916      	0.0006436   
3           	1           	8.3         	0.4941      	0.9772      	0.0009049   
4           	1           	8.9         	0.4888      	0.9661      	0.001502    
5           	1           	9.4         	0.4836      	0.9554      	0.001969    
6           	1           	9.55        	0.479       	0.9461      	0.002137    
7           	1           	9.45        	0.4738      	0.9356      	0.002322    
8           	1           	9.55        	0.467       	0.9211      	0.003145    
9           	1           	9.8         	0.4662      	0.919       	0.003876    
10          	1           	9.9         	0.4605      	0.9065      	0.004883    
11          	1           	9.85        	0.4564      	0.8981      	0.004982    
12          	1           	9.75        	0.4539      	0.8918      	0.005768    
13          	1           	9.85        	0.4494      	0.882       	0.006645    
14          	1           	9.85        	0.4457      	0.8737      	0.007384    
15          	1           	9.9         	0.4399      	0.8617      	0.008213    
16          	1           	9.9         	0.4355      	0.8519      	0.008622    
17          	1           	9.9         	0.4314      	0.8442      	0.008564    
18          	1           	9.95        	0.428       	0.8366      	0.00964     
19          	1           	9.95        	0.4233      	0.8262      	0.01013     
20          	1           	10          	0.4152      	0.8103      	0.01045     
21          	1           	10          	0.411       	0.801       	0.0114      
22          	1           	10          	0.4092      	0.7974      	0.01183     
23          	1           	10          	0.4055      	0.7894      	0.01246     
24          	1           	9.9         	0.4024      	0.7829      	0.01284     
25          	1           	9.95        	0.3978      	0.7731      	0.01364     
26          	1           	9.95        	0.3943      	0.7662      	0.01384     
27          	1           	9.9         	0.3894      	0.7544      	0.01583     
28          	1           	9.95        	0.3853      	0.7456      	0.01577     
29          	1           	9.95        	0.3786      	0.733       	0.01548     
30          	1           	9.95        	0.3731      	0.7206      	0.0174      
31          	1           	9.95        	0.3697      	0.7132      	0.01817     
32          	1           	10          	0.3618      	0.6986      	0.01736     
33          	1           	10          	0.3581      	0.6918      	0.01706     
34          	1           	10          	0.3577      	0.6905      	0.01788     
35          	1           	10          	0.3534      	0.6824      	0.0172      
36          	1           	10          	0.3494      	0.6736      	0.01787     
37          	1           	10          	0.3451      	0.6639      	0.01917     
38          	1           	9.95        	0.3438      	0.6602      	0.02036     
39          	1           	10          	0.3423      	0.6576      	0.02006     
40          	1           	10          	0.3404      	0.6537      	0.02032     
41          	1           	10          	0.3358      	0.6453      	0.01973     
42          	1           	10          	0.3363      	0.6463      	0.01945     
43          	1           	10          	0.3324      	0.6382      	0.0198      
44          	1           	10          	0.3294      	0.6332      	0.0185      
45          	1           	10          	0.3292      	0.6328      	0.01863     
46          	1           	9.95        	0.3297      	0.6333      	0.01918     
47          	1           	10          	0.3237      	0.6204      	0.02006     
48          	1           	10          	0.3258      	0.6246      	0.02024     
49          	1           	10          	0.3261      	0.6238      	0.02157     
50          	1           	10          	0.322       	0.6173      	0.02016     
51          	1           	9.95        	0.3192      	0.6115      	0.02052     
52          	1           	10          	0.315       	0.6033      	0.02042     
53          	1           	9.95        	0.3117      	0.5964      	0.02058     
