replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	1           	5.5         	0.5058      	1           	4.297e-05   
1           	2           	7.1         	0.5013      	0.9916      	0.0006436   
1           	3           	8.3         	0.4941      	0.9772      	0.0009049   
1           	4           	8.9         	0.4888      	0.9661      	0.001502    
1           	5           	9.4         	0.4836      	0.9554      	0.001969    
1           	6           	9.55        	0.479       	0.9461      	0.002137    
1           	7           	9.45        	0.4738      	0.9356      	0.002322    
1           	8           	9.55        	0.467       	0.9211      	0.003145    
1           	9           	9.8         	0.4662      	0.919       	0.003876    
1           	10          	9.9         	0.4605      	0.9065      	0.004883    
1           	11          	9.85        	0.4564      	0.8981      	0.004982    
1           	12          	9.75        	0.4539      	0.8918      	0.005768    
1           	13          	9.85        	0.4494      	0.882       	0.006645    
1           	14          	9.85        	0.4457      	0.8737      	0.007384    
1           	15          	9.9         	0.4399      	0.8617      	0.008213    
1           	16          	9.9         	0.4355      	0.8519      	0.008622    
1           	17          	9.9         	0.4314      	0.8442      	0.008564    
1           	18          	9.95        	0.428       	0.8366      	0.00964     
1           	19          	9.95        	0.4233      	0.8262      	0.01013     
1           	20          	10          	0.4152      	0.8103      	0.01045     
1           	21          	10          	0.411       	0.801       	0.0114      
1           	22          	10          	0.4092      	0.7974      	0.01183     
1           	23          	10          	0.4055      	0.7894      	0.01246     
1           	24          	9.9         	0.4024      	0.7829      	0.01284     
1           	25          	9.95        	0.3978      	0.7731      	0.01364     
1           	26          	9.95        	0.3943      	0.7662      	0.01384     
1           	27          	9.9         	0.3894      	0.7544      	0.01583     
1           	28          	9.95        	0.3853      	0.7456      	0.01577     
1           	29          	9.95        	0.3786      	0.733       	0.01548     
1           	30          	9.95        	0.3731      	0.7206      	0.0174      
1           	31          	9.95        	0.3697      	0.7132      	0.01817     
1           	32          	10          	0.3618      	0.6986      	0.01736     
1           	33          	10          	0.3581      	0.6918      	0.01706     
1           	34          	10          	0.3577      	0.6905      	0.01788     
1           	35          	10          	0.3534      	0.6824      	0.0172      
1           	36          	10          	0.3494      	0.6736      	0.01787     
1           	37          	10          	0.3451      	0.6639      	0.01917     
1           	38          	9.95        	0.3438      	0.6602      	0.02036     
1           	39          	10          	0.3423      	0.6576      	0.02006     
1           	40          	10          	0.3404      	0.6537      	0.02032     
1           	41          	10          	0.3358      	0.6453      	0.01973     
1           	42          	10          	0.3363      	0.6463      	0.01945     
1           	43          	10          	0.3324      	0.6382      	0.0198      
1           	44          	10          	0.3294      	0.6332      	0.0185      
1           	45          	10          	0.3292      	0.6328      	0.01863     
1           	46          	9.95        	0.3297      	0.6333      	0.01918     
1           	47          	10          	0.3237      	0.6204      	0.02006     
1           	48          	10          	0.3258      	0.6246      	0.02024     
1           	49          	10          	0.3261      	0.6238      	0.02157     
1           	50          	10          	0.322       	0.6173      	0.02016     
1           	51          	9.95        	0.3192      	0.6115      	0.02052     
1           	52          	10          	0.315       	0.6033      	0.02042     
1           	53          	9.95        	0.3117      	0.5964      	0.02058     
1           	54          	10          	0.3082      	0.589       	0.0209      
1           	55          	10          	0.3066      	0.5846      	0.02187     
1           	56          	10          	0.3036      	0.5785      	0.02209     
1           	57          	9.95        	0.2952      	0.563       	0.02132     
1           	58          	9.95        	0.2934      	0.5591      	0.02128     
1           	59          	9.95        	0.2918      	0.5564      	0.02073     
1           	60          	9.95        	0.2865      	0.5459      	0.02064     
1           	61          	10          	0.2819      	0.5371      	0.02048     
1           	62          	10          	0.279       	0.5308      	0.02112     
1           	63          	10          	0.2824      	0.5369      	0.02159     
1           	64          	10          	0.2765      	0.525       	0.02196     
1           	65          	10          	0.2761      	0.5236      	0.0221      
1           	66          	10          	0.2752      	0.522       	0.02187     
1           	67          	10          	0.2717      	0.516       	0.02098     
1           	68          	10          	0.269       	0.5111      	0.02098     
1           	69          	10          	0.2675      	0.5082      	0.02086     
1           	70          	10          	0.2624      	0.4991      	0.0201      
1           	71          	10          	0.259       	0.4923      	0.01993     
1           	72          	10          	0.2594      	0.4929      	0.02012     
1           	73          	10          	0.256       	0.4856      	0.02051     
1           	74          	10          	0.2553      	0.4836      	0.02064     
1           	75          	10          	0.255       	0.4833      	0.02033     
1           	76          	10          	0.2545      	0.4814      	0.0209      
1           	77          	10          	0.2508      	0.4745      	0.0206      
1           	78          	10          	0.2507      	0.4727      	0.02202     
1           	79          	10          	0.2458      	0.4631      	0.02209     
1           	80          	10          	0.2438      	0.4573      	0.02376     
1           	81          	10          	0.2407      	0.4515      	0.02321     
1           	82          	10          	0.2396      	0.4504      	0.02247     
1           	83          	10          	0.243       	0.4569      	0.02279     
1           	84          	10          	0.2403      	0.4504      	0.02365     
1           	85          	10          	0.2406      	0.4504      	0.02423     
1           	86          	10          	0.2377      	0.444       	0.02507     
1           	87          	10          	0.2379      	0.4449      	0.02442     
1           	88          	10          	0.2399      	0.4472      	0.026       
1           	89          	10          	0.2403      	0.4475      	0.02663     
1           	90          	10          	0.2368      	0.4405      	0.02652     
1           	91          	10          	0.2386      	0.4425      	0.0281      
1           	92          	10          	0.2379      	0.4414      	0.02783     
1           	93          	10          	0.2321      	0.4297      	0.02783     
1           	94          	10          	0.2319      	0.4297      	0.02753     
1           	95          	10          	0.229       	0.4239      	0.02715     
1           	96          	10          	0.2287      	0.423       	0.02755     
1           	97          	10          	0.223       	0.4141      	0.02502     
1           	98          	10          	0.2201      	0.4088      	0.0245      
1           	99          	10          	0.2216      	0.4112      	0.02524     
1           	100         	10          	0.2214      	0.4115      	0.02482     
1           	101         	10          	0.2203      	0.4089      	0.02513     
1           	102         	10          	0.2194      	0.4051      	0.02728     
1           	103         	10          	0.2148      	0.395       	0.02811     
1           	104         	10          	0.2144      	0.3952      	0.02699     
1           	105         	10          	0.2118      	0.3894      	0.02759     
1           	106         	10          	0.2123      	0.3887      	0.02896     
1           	107         	10          	0.2113      	0.3877      	0.02849     
1           	108         	10          	0.2079      	0.38        	0.02947     
1           	109         	10          	0.202       	0.368       	0.03003     
1           	110         	10          	0.2003      	0.3653      	0.02969     
1           	111         	10          	0.1943      	0.3541      	0.02908     
1           	112         	10          	0.1903      	0.3458      	0.02915     
1           	113         	10          	0.1876      	0.3408      	0.02892     
1           	114         	10          	0.1832      	0.3314      	0.02982     
1           	115         	10          	0.1751      	0.3161      	0.02938     
1           	116         	10          	0.1767      	0.3187      	0.02977     
1           	117         	10          	0.1706      	0.3073      	0.02944     
