generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
116         	1           	10          	0.04845     	0.08169     	0.01462     
117         	1           	10          	0.04804     	0.08184     	0.01362     
118         	1           	10          	0.04848     	0.08244     	0.01389     
119         	1           	10          	0.04916     	0.08358     	0.0141      
120         	1           	10          	0.04778     	0.08126     	0.01367     
121         	1           	10          	0.04842     	0.08218     	0.01401     
122         	1           	10          	0.04653     	0.07824     	0.01423     
123         	1           	10          	0.0468      	0.07837     	0.01463     
124         	1           	10          	0.04567     	0.07564     	0.01513     
125         	1           	10          	0.04558     	0.07562     	0.01502     
126         	1           	10          	0.0449      	0.07371     	0.01558     
127         	1           	10          	0.04345     	0.07184     	0.01456     
128         	1           	10          	0.04215     	0.06988     	0.01392     
129         	1           	10          	0.04138     	0.06904     	0.01327     
130         	1           	10          	0.04114     	0.06771     	0.01415     
131         	1           	10          	0.03929     	0.06438     	0.0138      
132         	1           	10          	0.03804     	0.06233     	0.01337     
133         	1           	10          	0.03801     	0.06294     	0.01271     
134         	1           	10          	0.03658     	0.06025     	0.01254     
135         	1           	10          	0.03694     	0.0606      	0.01292     
136         	1           	10          	0.03686     	0.05989     	0.01348     
137         	1           	10          	0.03782     	0.06136     	0.01393     
138         	1           	10          	0.03682     	0.05989     	0.01341     
139         	1           	10          	0.03641     	0.05998     	0.01248     
140         	1           	10          	0.03751     	0.06151     	0.0132      
141         	1           	10          	0.03858     	0.06288     	0.01395     
142         	1           	10          	0.03806     	0.06239     	0.01338     
143         	1           	10          	0.03631     	0.05874     	0.01355     
144         	1           	10          	0.03534     	0.05738     	0.01299     
145         	1           	10          	0.03396     	0.05472     	0.01293     
146         	1           	10          	0.03461     	0.05548     	0.01348     
147         	1           	10          	0.03469     	0.05563     	0.01349     
148         	1           	10          	0.03391     	0.05405     	0.01351     
149         	1           	10          	0.03263     	0.05241     	0.01257     
150         	1           	10          	0.03241     	0.05217     	0.01239     
151         	1           	10          	0.03137     	0.05028     	0.0122      
152         	1           	10          	0.03161     	0.05014     	0.01281     
153         	1           	10          	0.03074     	0.04792     	0.0133      
154         	1           	10          	0.03088     	0.04818     	0.01333     
155         	1           	10          	0.03073     	0.04728     	0.01392     
156         	1           	10          	0.02999     	0.04416     	0.01561     
157         	1           	10          	0.02973     	0.04429     	0.01495     
158         	1           	10          	0.02825     	0.04199     	0.01431     
159         	1           	10          	0.02726     	0.04096     	0.01335     
160         	1           	10          	0.0268      	0.03931     	0.01411     
161         	1           	10          	0.02498     	0.03621     	0.01356     
162         	1           	10          	0.02503     	0.03695     	0.01288     
163         	1           	10          	0.02523     	0.03714     	0.01308     
164         	1           	10          	0.02632     	0.03855     	0.01387     
165         	1           	10          	0.02679     	0.03958     	0.01378     
166         	1           	10          	0.02699     	0.03872     	0.01506     
167         	1           	10          	0.02719     	0.03864     	0.01553     
168         	1           	10          	0.02769     	0.03862     	0.01656     
169         	1           	10          	0.02858     	0.03886     	0.01811     
170         	1           	10          	0.02762     	0.0373      	0.01775     
171         	1           	10          	0.02689     	0.03664     	0.01695     
172         	1           	10          	0.02668     	0.03594     	0.01726     
173         	1           	10          	0.02692     	0.03553     	0.01815     
174         	1           	10          	0.02662     	0.03607     	0.017       
175         	1           	10          	0.02719     	0.03636     	0.01785     
176         	1           	10          	0.02756     	0.03733     	0.01763     
177         	1           	10          	0.02739     	0.0373      	0.01732     
178         	1           	10          	0.02696     	0.03663     	0.0171      
179         	1           	10          	0.02679     	0.03677     	0.01662     
180         	1           	10          	0.02674     	0.03695     	0.01634     
181         	1           	10          	0.02759     	0.03769     	0.01731     
182         	1           	10          	0.02748     	0.0373      	0.01746     
183         	1           	10          	0.02707     	0.03739     	0.01655     
184         	1           	10          	0.02775     	0.03881     	0.01649     
185         	1           	10          	0.02675     	0.03693     	0.01638     
186         	1           	10          	0.02679     	0.03527     	0.01814     
187         	1           	10          	0.0272      	0.03633     	0.0179      
188         	1           	10          	0.02654     	0.0356      	0.01732     
189         	1           	10          	0.02582     	0.03415     	0.01735     
190         	1           	10          	0.02621     	0.03533     	0.01695     
191         	1           	10          	0.02666     	0.03561     	0.01758     
192         	1           	10          	0.0264      	0.0347      	0.01798     
193         	1           	10          	0.0248      	0.0321      	0.0174      
194         	1           	10          	0.02338     	0.03014     	0.01652     
195         	1           	10          	0.02349     	0.02847     	0.01842     
196         	1           	10          	0.02312     	0.02693     	0.01925     
197         	1           	10          	0.02334     	0.02746     	0.01916     
198         	1           	10          	0.02278     	0.02722     	0.01828     
199         	1           	10          	0.02224     	0.02679     	0.01761     
200         	1           	10          	0.02244     	0.02704     	0.01776     
201         	1           	10          	0.02249     	0.02722     	0.01768     
202         	1           	10          	0.02295     	0.02823     	0.01759     
203         	1           	10          	0.02218     	0.02672     	0.01757     
204         	1           	10          	0.02267     	0.0267      	0.01859     
205         	1           	10          	0.02179     	0.02585     	0.01766     
206         	1           	10          	0.02194     	0.02496     	0.01888     
207         	1           	10          	0.02167     	0.024       	0.0193      
208         	1           	10          	0.02213     	0.02409     	0.02015     
209         	1           	10          	0.0214      	0.02297     	0.01981     
210         	1           	10          	0.02169     	0.02258     	0.02078     
211         	1           	10          	0.0226      	0.02367     	0.02151     
212         	1           	10          	0.02207     	0.0224      	0.02173     
213         	1           	10          	0.022       	0.0214      	0.02261     
214         	1           	10          	0.02165     	0.02083     	0.0225      
215         	1           	9.95        	0.02189     	0.02134     	0.02244     
216         	1           	9.95        	0.02113     	0.01972     	0.02256     
217         	1           	10          	0.02094     	0.01925     	0.02265     
218         	1           	10          	0.02127     	0.02015     	0.02242     
219         	1           	10          	0.02129     	0.02075     	0.02183     
220         	1           	10          	0.02202     	0.02118     	0.02286     
221         	1           	9.95        	0.02224     	0.02238     	0.02209     
222         	1           	10          	0.02137     	0.02148     	0.02125     
223         	1           	10          	0.02084     	0.02002     	0.02168     
224         	1           	10          	0.02058     	0.01955     	0.02163     
225         	1           	10          	0.0206      	0.01948     	0.02174     
226         	1           	9.95        	0.02046     	0.02009     	0.02085     
227         	1           	9.95        	0.02039     	0.02008     	0.02072     
228         	1           	10          	0.02        	0.01895     	0.02107     
229         	1           	9.95        	0.02064     	0.01891     	0.02241     
230         	1           	9.95        	0.02095     	0.01891     	0.02304     
231         	1           	9.95        	0.02036     	0.01915     	0.02159     
232         	1           	9.95        	0.02038     	0.01929     	0.02148     
233         	1           	10          	0.02077     	0.01993     	0.02164     
234         	1           	10          	0.02062     	0.01986     	0.0214      
235         	1           	9.95        	0.02166     	0.02106     	0.02227     
236         	1           	9.95        	0.02238     	0.02152     	0.02326     
237         	1           	9.95        	0.02293     	0.02216     	0.02372     
238         	1           	9.95        	0.02242     	0.02101     	0.02386     
239         	1           	9.95        	0.02224     	0.02086     	0.02365     
240         	1           	9.95        	0.02309     	0.02073     	0.02551     
241         	1           	10          	0.02298     	0.02123     	0.02477     
242         	1           	9.95        	0.02261     	0.02099     	0.02426     
243         	1           	9.95        	0.02395     	0.02264     	0.02529     
244         	1           	9.95        	0.0254      	0.02458     	0.02623     
245         	1           	9.95        	0.02513     	0.02445     	0.02582     
246         	1           	9.95        	0.02475     	0.02435     	0.02515     
247         	1           	9.95        	0.02418     	0.02424     	0.02413     
248         	1           	10          	0.02435     	0.02372     	0.025       
249         	1           	10          	0.02555     	0.02495     	0.02616     
250         	1           	9.95        	0.02566     	0.0248      	0.02655     
251         	1           	10          	0.02609     	0.02502     	0.02717     
252         	1           	10          	0.02612     	0.02487     	0.0274      
253         	1           	9.95        	0.0261      	0.02492     	0.02732     
254         	1           	9.95        	0.02547     	0.02485     	0.0261      
255         	1           	10          	0.02492     	0.02509     	0.02475     
256         	1           	10          	0.02375     	0.02442     	0.02305     
257         	1           	9.95        	0.02364     	0.02521     	0.02203     
258         	1           	9.9         	0.02422     	0.02551     	0.02289     
259         	1           	9.95        	0.02332     	0.0237      	0.02292     
