generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	1           	5.5         	0.5055      	1           	-9.19e-05   
2           	1           	5.9         	0.5047      	0.998       	0.0003015   
3           	1           	6.3         	0.5035      	0.9951      	0.000678    
4           	1           	6.65        	0.5033      	0.9938      	0.001386    
5           	1           	6.85        	0.5021      	0.9911      	0.0019      
6           	1           	7.05        	0.5009      	0.9884      	0.002644    
7           	1           	7.15        	0.5007      	0.9871      	0.00327     
8           	1           	6.95        	0.5006      	0.9877      	0.003404    
9           	1           	7.3         	0.499       	0.9845      	0.003722    
10          	1           	7.35        	0.4987      	0.9831      	0.004309    
11          	1           	7.25        	0.4978      	0.9806      	0.004588    
12          	1           	7.35        	0.4978      	0.9799      	0.004903    
13          	1           	7.7         	0.4946      	0.974       	0.004607    
14          	1           	7.65        	0.494       	0.9724      	0.005239    
15          	1           	7.6         	0.4957      	0.9751      	0.005761    
16          	1           	7.45        	0.496       	0.9751      	0.005858    
17          	1           	7.6         	0.4953      	0.9741      	0.005721    
18          	1           	7.65        	0.4951      	0.9729      	0.005851    
19          	1           	7.75        	0.4953      	0.9725      	0.00646     
20          	1           	7.9         	0.4947      	0.9707      	0.007599    
21          	1           	7.85        	0.4951      	0.9699      	0.008503    
22          	1           	7.95        	0.4932      	0.9655      	0.008925    
23          	1           	7.85        	0.4933      	0.9643      	0.01073     
24          	1           	7.8         	0.4938      	0.9643      	0.01116     
25          	1           	7.8         	0.4936      	0.9629      	0.01182     
26          	1           	7.75        	0.4953      	0.9645      	0.01289     
27          	1           	7.85        	0.4946      	0.9623      	0.01345     
28          	1           	7.9         	0.4942      	0.9597      	0.01436     
29          	1           	8.2         	0.4931      	0.9569      	0.01545     
30          	1           	8.2         	0.4936      	0.957       	0.0161      
31          	1           	8.3         	0.4925      	0.9547      	0.01636     
32          	1           	8.1         	0.4912      	0.953       	0.01581     
33          	1           	8.45        	0.4901      	0.9495      	0.01751     
34          	1           	8.6         	0.4899      	0.9479      	0.01864     
35          	1           	8.7         	0.4856      	0.9399      	0.01846     
36          	1           	8.7         	0.4863      	0.9405      	0.01919     
37          	1           	8.55        	0.4878      	0.9426      	0.02006     
38          	1           	8.55        	0.4859      	0.9381      	0.0215      
39          	1           	8.5         	0.4848      	0.9365      	0.02105     
40          	1           	8.55        	0.4832      	0.9344      	0.02028     
41          	1           	8.45        	0.4837      	0.9346      	0.02157     
42          	1           	8.65        	0.4837      	0.9341      	0.02221     
43          	1           	8.6         	0.4805      	0.9281      	0.02158     
44          	1           	8.45        	0.4789      	0.9249      	0.02267     
45          	1           	8.5         	0.4795      	0.9257      	0.02321     
46          	1           	8.55        	0.4783      	0.9234      	0.02321     
47          	1           	8.5         	0.4753      	0.9171      	0.02325     
48          	1           	8.55        	0.473       	0.9124      	0.02378     
49          	1           	8.5         	0.4715      	0.9091      	0.02373     
50          	1           	8.25        	0.4731      	0.9119      	0.02382     
51          	1           	8.25        	0.4724      	0.9093      	0.02475     
52          	1           	8.4         	0.4724      	0.9085      	0.02519     
53          	1           	8.35        	0.4726      	0.9072      	0.02699     
54          	1           	8.2         	0.474       	0.91        	0.02675     
55          	1           	8.2         	0.4714      	0.9068      	0.02448     
56          	1           	8.25        	0.4676      	0.8995      	0.02462     
57          	1           	8.4         	0.4689      	0.9003      	0.02624     
58          	1           	8.55        	0.4691      	0.9008      	0.02626     
59          	1           	8.4         	0.467       	0.897       	0.02634     
60          	1           	8.45        	0.4667      	0.8964      	0.02648     
61          	1           	8.5         	0.4635      	0.8895      	0.02741     
62          	1           	8.55        	0.4618      	0.886       	0.02741     
63          	1           	8.65        	0.4617      	0.8866      	0.02697     
64          	1           	8.65        	0.4589      	0.8813      	0.02694     
65          	1           	8.75        	0.4596      	0.8819      	0.02765     
66          	1           	9           	0.4571      	0.8766      	0.02813     
67          	1           	8.9         	0.4582      	0.8788      	0.0278      
68          	1           	8.95        	0.4547      	0.8717      	0.02826     
69          	1           	9.1         	0.4512      	0.8647      	0.02829     
70          	1           	8.95        	0.4492      	0.8613      	0.02719     
71          	1           	9           	0.4485      	0.86        	0.02697     
72          	1           	8.95        	0.4474      	0.8585      	0.02637     
73          	1           	8.9         	0.447       	0.8576      	0.02691     
74          	1           	9.05        	0.4444      	0.8523      	0.0272      
75          	1           	9.15        	0.4458      	0.8549      	0.02739     
76          	1           	9.2         	0.4457      	0.8553      	0.02684     
77          	1           	8.9         	0.4452      	0.8537      	0.02788     
78          	1           	8.85        	0.4453      	0.8532      	0.0287      
