replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	713         	8.75        	0.251       	0.3445      	0.1539      
1           	714         	8.65        	0.248       	0.3412      	0.1512      
1           	715         	8.65        	0.2491      	0.3451      	0.1495      
1           	716         	8.65        	0.2443      	0.3373      	0.1478      
1           	717         	8.65        	0.2433      	0.3348      	0.1481      
1           	718         	8.8         	0.248       	0.3407      	0.1514      
1           	719         	9           	0.2445      	0.3323      	0.1532      
1           	720         	8.75        	0.247       	0.336       	0.1545      
1           	721         	8.6         	0.2448      	0.3343      	0.1516      
1           	722         	8.75        	0.2488      	0.343       	0.1505      
1           	723         	8.75        	0.2466      	0.3392      	0.1501      
1           	724         	8.85        	0.2456      	0.3375      	0.1498      
1           	725         	8.7         	0.2442      	0.3351      	0.1495      
1           	726         	8.75        	0.2424      	0.3351      	0.146       
1           	727         	8.65        	0.2381      	0.3275      	0.1452      
1           	728         	8.7         	0.2385      	0.3281      	0.1453      
1           	729         	8.75        	0.2409      	0.3344      	0.1436      
1           	730         	8.75        	0.2385      	0.3283      	0.1452      
1           	731         	8.6         	0.2395      	0.3265      	0.149       
1           	732         	8.7         	0.2422      	0.3315      	0.1495      
1           	733         	8.6         	0.2459      	0.3358      	0.1525      
1           	734         	8.6         	0.2454      	0.3356      	0.1516      
1           	735         	8.5         	0.2444      	0.3376      	0.1475      
1           	736         	8.4         	0.2448      	0.3344      	0.1517      
1           	737         	8.65        	0.2424      	0.3339      	0.1472      
1           	738         	8.65        	0.2428      	0.3304      	0.1519      
1           	739         	8.6         	0.2426      	0.3311      	0.1506      
1           	740         	8.6         	0.2468      	0.3358      	0.1543      
1           	741         	8.65        	0.2473      	0.3402      	0.1507      
1           	742         	8.55        	0.2477      	0.3395      	0.1525      
1           	743         	8.7         	0.2452      	0.3319      	0.1553      
1           	744         	8.55        	0.2429      	0.3278      	0.1547      
1           	745         	8.5         	0.2456      	0.3293      	0.1586      
1           	746         	8.4         	0.2447      	0.328       	0.1582      
1           	747         	8.4         	0.2408      	0.3199      	0.1584      
1           	748         	8.45        	0.2405      	0.3203      	0.1576      
1           	749         	8.35        	0.2398      	0.3193      	0.1572      
1           	750         	8.25        	0.2373      	0.3137      	0.158       
1           	751         	8.35        	0.2393      	0.312       	0.1638      
1           	752         	8.5         	0.238       	0.3122      	0.1608      
1           	753         	8.45        	0.2407      	0.3176      	0.1608      
1           	754         	8.45        	0.2395      	0.317       	0.1591      
1           	755         	8.6         	0.2424      	0.3237      	0.1578      
1           	756         	8.4         	0.2421      	0.3218      	0.1591      
1           	757         	8.5         	0.2414      	0.3216      	0.158       
1           	758         	8.5         	0.2422      	0.3226      	0.1586      
1           	759         	8.45        	0.2407      	0.3209      	0.1571      
1           	760         	8.6         	0.2401      	0.319       	0.1578      
1           	761         	8.6         	0.2392      	0.3183      	0.1569      
1           	762         	8.55        	0.2398      	0.3149      	0.1615      
1           	763         	8.9         	0.2359      	0.306       	0.1627      
1           	764         	8.75        	0.2343      	0.2988      	0.1668      
1           	765         	8.7         	0.2339      	0.2956      	0.1693      
1           	766         	8.8         	0.2326      	0.2917      	0.1708      
1           	767         	8.8         	0.2338      	0.2913      	0.1736      
1           	768         	8.7         	0.2338      	0.2923      	0.1725      
1           	769         	8.8         	0.2328      	0.2889      	0.174       
1           	770         	8.45        	0.2339      	0.2916      	0.1735      
1           	771         	8.5         	0.2326      	0.2903      	0.1722      
1           	772         	8.5         	0.233       	0.2925      	0.1708      
1           	773         	8.55        	0.2365      	0.2955      	0.1747      
1           	774         	8.4         	0.2359      	0.2916      	0.1777      
1           	775         	8.35        	0.2384      	0.2925      	0.1818      
1           	776         	8.4         	0.2426      	0.2977      	0.185       
1           	777         	8.35        	0.2424      	0.298       	0.1844      
1           	778         	8.45        	0.243       	0.2958      	0.1878      
