generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	1           	5.5         	0.5058      	1           	-8.022e-05  
2           	1           	10          	0.3972      	0.7843      	0.0006014   
3           	1           	10          	0.3203      	0.6321      	0.0006782   
4           	1           	10          	0.2509      	0.4946      	0.0008717   
5           	1           	10          	0.2023      	0.3977      	0.001614    
6           	1           	10          	0.1584      	0.3115      	0.001275    
7           	1           	10          	0.1229      	0.2417      	0.001022    
8           	1           	10          	0.09844     	0.1933      	0.001162    
9           	1           	10          	0.07927     	0.1555      	0.001146    
10          	1           	10          	0.06449     	0.1264      	0.001055    
11          	1           	10          	0.05247     	0.1025      	0.001236    
12          	1           	10          	0.04373     	0.08495     	0.001502    
13          	1           	10          	0.03474     	0.06709     	0.001577    
14          	1           	10          	0.02728     	0.05251     	0.001452    
15          	1           	10          	0.02154     	0.04118     	0.001406    
16          	1           	10          	0.01771     	0.03327     	0.00174     
17          	1           	10          	0.01475     	0.02729     	0.001884    
18          	1           	10          	0.01255     	0.02277     	0.002077    
19          	1           	10          	0.01005     	0.01789     	0.002012    
20          	1           	10          	0.00824     	0.01435     	0.001968    
21          	1           	10          	0.007283    	0.01206     	0.002378    
22          	1           	10          	0.005933    	0.00933     	0.002445    
23          	1           	10          	0.004937    	0.007112    	0.002702    
24          	1           	10          	0.004216    	0.005893    	0.002492    
25          	1           	10          	0.003816    	0.004879    	0.002724    
26          	1           	10          	0.003032    	0.003517    	0.002532    
27          	1           	10          	0.002628    	0.002955    	0.002291    
28          	1           	10          	0.00259     	0.002776    	0.002398    
29          	1           	10          	0.002627    	0.003274    	0.00196     
30          	1           	10          	0.002409    	0.003297    	0.001494    
31          	1           	10          	0.002372    	0.002962    	0.001763    
32          	1           	10          	0.002231    	0.002798    	0.001647    
33          	1           	10          	0.002277    	0.002808    	0.001731    
34          	1           	10          	0.002191    	0.002725    	0.001641    
35          	1           	10          	0.002225    	0.002647    	0.00179     
36          	1           	10          	0.002328    	0.002605    	0.002043    
37          	1           	10          	0.002201    	0.002361    	0.002036    
38          	1           	10          	0.001938    	0.001855    	0.002024    
39          	1           	10          	0.001992    	0.001864    	0.002124    
40          	1           	10          	0.002132    	0.001926    	0.002344    
41          	1           	10          	0.001974    	0.001765    	0.00219     
42          	1           	10          	0.001875    	0.001916    	0.001832    
43          	1           	10          	0.001787    	0.001986    	0.001584    
44          	1           	10          	0.002001    	0.002461    	0.001529    
45          	1           	10          	0.002315    	0.00251     	0.002115    
46          	1           	10          	0.002227    	0.002655    	0.001789    
47          	1           	10          	0.001996    	0.002527    	0.001452    
48          	1           	10          	0.002316    	0.002621    	0.002002    
49          	1           	10          	0.002342    	0.002119    	0.00257     
50          	1           	10          	0.002168    	0.002088    	0.002249    
51          	1           	10          	0.001941    	0.001677    	0.002212    
52          	1           	10          	0.001963    	0.001972    	0.001954    
53          	1           	10          	0.001916    	0.001975    	0.001855    
54          	1           	10          	0.001948    	0.00218     	0.00171     
55          	1           	10          	0.002092    	0.00222     	0.00196     
56          	1           	10          	0.00234     	0.002129    	0.002556    
57          	1           	10          	0.002266    	0.002216    	0.002318    
58          	1           	10          	0.00231     	0.002071    	0.002555    
59          	1           	10          	0.002003    	0.001956    	0.00205     
60          	1           	10          	0.001888    	0.001823    	0.001955    
61          	1           	10          	0.001857    	0.001912    	0.0018      
62          	1           	10          	0.001814    	0.001958    	0.001666    
63          	1           	10          	0.002044    	0.002071    	0.002017    
64          	1           	10          	0.002157    	0.002308    	0.002002    
65          	1           	10          	0.002166    	0.002571    	0.001751    
66          	1           	10          	0.001951    	0.001998    	0.001902    
67          	1           	10          	0.001832    	0.001731    	0.001936    
68          	1           	10          	0.002035    	0.002009    	0.002061    
69          	1           	10          	0.001782    	0.001564    	0.002007    
70          	1           	10          	0.001504    	0.001289    	0.001726    
71          	1           	10          	0.001809    	0.00178     	0.001839    
72          	1           	10          	0.001862    	0.001804    	0.001921    
73          	1           	10          	0.001746    	0.001541    	0.001957    
74          	1           	10          	0.001673    	0.001455    	0.001899    
75          	1           	10          	0.001381    	0.001149    	0.00162     
76          	1           	10          	0.001504    	0.001213    	0.001803    
77          	1           	10          	0.001806    	0.001586    	0.002033    
78          	1           	10          	0.001639    	0.001651    	0.001627    
79          	1           	10          	0.001714    	0.001538    	0.001894    
80          	1           	10          	0.001993    	0.001826    	0.002164    
81          	1           	10          	0.001945    	0.001975    	0.001915    
82          	1           	10          	0.001652    	0.001706    	0.001597    
83          	1           	10          	0.001722    	0.00163     	0.001816    
84          	1           	10          	0.001649    	0.001564    	0.001737    
85          	1           	10          	0.001621    	0.001381    	0.001868    
