replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	1           	5.5         	0.5055      	1           	1.984e-05   
1           	2           	5.9         	0.5047      	0.9982      	0.0004334   
1           	3           	6.1         	0.5043      	0.9968      	0.000856    
1           	4           	6.5         	0.5037      	0.9951      	0.001402    
1           	5           	6.7         	0.5027      	0.9926      	0.001534    
1           	6           	6.95        	0.5017      	0.9902      	0.002043    
1           	7           	6.95        	0.5012      	0.9888      	0.002151    
1           	8           	7.2         	0.5         	0.986       	0.002352    
1           	9           	7.25        	0.4992      	0.9841      	0.002549    
1           	10          	7           	0.5006      	0.986       	0.00301     
1           	11          	7.25        	0.4997      	0.9841      	0.003844    
1           	12          	7.45        	0.4978      	0.98        	0.004231    
1           	13          	7.55        	0.4975      	0.9789      	0.004578    
1           	14          	7.25        	0.4974      	0.9785      	0.005271    
1           	15          	7.45        	0.4969      	0.9771      	0.005763    
1           	16          	7.55        	0.497       	0.9762      	0.005956    
1           	17          	7.8         	0.4962      	0.9744      	0.005873    
1           	18          	8.05        	0.4953      	0.972       	0.006147    
1           	19          	7.85        	0.4959      	0.9715      	0.007244    
1           	20          	7.8         	0.4965      	0.9719      	0.007284    
1           	21          	7.5         	0.4957      	0.9689      	0.007562    
1           	22          	7.95        	0.4945      	0.9663      	0.007323    
1           	23          	8.1         	0.4919      	0.9611      	0.007265    
1           	24          	8.35        	0.4898      	0.9567      	0.007289    
1           	25          	8.5         	0.4873      	0.9512      	0.008505    
1           	26          	8.4         	0.4886      	0.9515      	0.009749    
1           	27          	8.4         	0.4895      	0.9508      	0.01099     
1           	28          	8.3         	0.49        	0.9521      	0.01088     
1           	29          	8.25        	0.4907      	0.953       	0.01086     
1           	30          	7.85        	0.4924      	0.9546      	0.01154     
1           	31          	8.1         	0.4927      	0.9555      	0.0114      
1           	32          	8.2         	0.4918      	0.9535      	0.0116      
1           	33          	8.45        	0.4921      	0.9541      	0.01094     
1           	34          	8.55        	0.4908      	0.9513      	0.01091     
1           	35          	8.6         	0.4891      	0.9475      	0.01141     
1           	36          	8.35        	0.4893      	0.9476      	0.01191     
1           	37          	8.2         	0.489       	0.946       	0.01313     
1           	38          	8.25        	0.4876      	0.9421      	0.01347     
1           	39          	8.15        	0.4873      	0.9412      	0.01374     
1           	40          	8.15        	0.4875      	0.9413      	0.01383     
1           	41          	8.25        	0.4848      	0.9375      	0.01368     
1           	42          	8.45        	0.4825      	0.934       	0.01321     
1           	43          	8.7         	0.482       	0.9333      	0.01307     
1           	44          	8.45        	0.4793      	0.9282      	0.0136      
1           	45          	8.3         	0.4783      	0.9255      	0.01419     
1           	46          	8.4         	0.4791      	0.9259      	0.01545     
1           	47          	8.4         	0.4785      	0.9233      	0.01645     
1           	48          	8.65        	0.4776      	0.9211      	0.0166      
