replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	152         	5           	0.2331      	0.2337      
1           	153         	5           	0.2335      	0.2334      
1           	154         	5           	0.2397      	0.2391      
1           	155         	5           	0.2415      	0.2402      
1           	156         	5           	0.2434      	0.246       
1           	157         	5           	0.2517      	0.2503      
1           	158         	5           	0.2545      	0.2506      
1           	159         	5           	0.2573      	0.2566      
1           	160         	5           	0.2582      	0.2585      
1           	161         	5           	0.2602      	0.2597      
1           	162         	5           	0.2562      	0.2573      
1           	163         	5           	0.2581      	0.2606      
1           	164         	5           	0.2626      	0.263       
1           	165         	5           	0.2713      	0.2667      
1           	166         	5           	0.2676      	0.2717      
1           	167         	5           	0.2783      	0.2769      
1           	168         	5           	0.2874      	0.2852      
1           	169         	5           	0.2931      	0.2921      
1           	170         	5           	0.293       	0.2947      
1           	171         	5           	0.3042      	0.3034      
1           	172         	5           	0.3057      	0.308       
1           	173         	5           	0.3056      	0.308       
1           	174         	5           	0.3049      	0.3054      
1           	175         	5           	0.312       	0.3077      
1           	176         	5           	0.2988      	0.3035      
1           	177         	5           	0.2981      	0.3032      
1           	178         	5           	0.3101      	0.3059      
1           	179         	5           	0.3075      	0.3094      
1           	180         	5           	0.3141      	0.3122      
1           	181         	5           	0.3168      	0.3165      
1           	182         	5           	0.3169      	0.3136      
1           	183         	6           	0.3108      	0.31        
1           	184         	6           	0.3084      	0.3053      
1           	185         	6           	0.2961      	0.298       
1           	186         	6           	0.2961      	0.2966      
1           	187         	6           	0.2955      	0.2965      
1           	188         	5           	0.2965      	0.2963      
1           	189         	5           	0.2971      	0.2996      
1           	190         	5           	0.3027      	0.2999      
1           	191         	5           	0.3059      	0.3047      
1           	192         	5           	0.3018      	0.3057      
1           	193         	5           	0.305       	0.3011      
1           	194         	5           	0.3104      	0.309       
1           	195         	5           	0.3091      	0.304       
1           	196         	6           	0.3049      	0.3093      
1           	197         	6           	0.3132      	0.3114      
1           	198         	6           	0.3136      	0.3131      
1           	199         	5           	0.317       	0.3175      
1           	200         	6           	0.3164      	0.314       
1           	201         	5           	0.3207      	0.3156      
1           	202         	5           	0.3238      	0.3234      
1           	203         	5           	0.3257      	0.3297      
1           	204         	6           	0.3403      	0.3376      
1           	205         	6           	0.3416      	0.3442      
1           	206         	6           	0.347       	0.3497      
1           	207         	6           	0.3486      	0.3494      
1           	208         	6           	0.3529      	0.3528      
1           	209         	6           	0.3495      	0.35        
1           	210         	6           	0.3603      	0.3567      
1           	211         	6           	0.3469      	0.3519      
1           	212         	6           	0.3522      	0.3526      
1           	213         	6           	0.3536      	0.3514      
1           	214         	6           	0.3487      	0.3536      
1           	215         	6           	0.3578      	0.3578      
1           	216         	6           	0.3597      	0.3573      
1           	217         	6           	0.3652      	0.3614      
1           	218         	6           	0.3644      	0.3597      
1           	219         	6           	0.3598      	0.3603      
1           	220         	6           	0.365       	0.3669      
1           	221         	6           	0.3677      	0.3681      
1           	222         	5           	0.3668      	0.3684      
1           	223         	5           	0.3736      	0.374       
1           	224         	5           	0.3705      	0.3739      
1           	225         	5           	0.3762      	0.3806      
1           	226         	5           	0.3877      	0.3867      
1           	227         	5           	0.3898      	0.3919      
1           	228         	5           	0.3913      	0.3918      
1           	229         	5           	0.3887      	0.3933      
1           	230         	5           	0.3949      	0.3905      
1           	231         	5           	0.3939      	0.3927      
1           	232         	5           	0.3982      	0.3962      
1           	233         	5           	0.4002      	0.3979      
1           	234         	5           	0.4043      	0.4027      
1           	235         	5           	0.4086      	0.4108      
1           	236         	5           	0.4176      	0.4159      
1           	237         	5           	0.4225      	0.4206      
1           	238         	5           	0.4164      	0.4147      
1           	239         	7           	0.4171      	0.4149      
1           	240         	6           	0.408       	0.4145      
