replicate   	generation  	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
3           	1           	255         	0.9961      	0.003458    	95.67       
3           	100         	200         	0.9921      	0.094       	90.45       
3           	200         	156         	0.986       	0.1655      	97.75       
3           	300         	114         	0.9824      	-0.7626     	95.39       
3           	400         	103         	0.9782      	-0.6282     	90.79       
3           	500         	92          	0.9722      	-0.1979     	95.97       
3           	600         	70          	0.9638      	-0.189      	87.9        
3           	700         	62          	0.9635      	-0.3201     	90.64       
3           	800         	59          	0.9624      	-0.2403     	93.7        
3           	900         	55          	0.9594      	-0.3086     	101.8       
3           	1000        	57          	0.9524      	-0.0264     	92.45       
3           	1100        	51          	0.9499      	0.1218      	77.07       
3           	1200        	51          	0.9444      	0.7762      	71.25       
3           	1300        	48          	0.9492      	0.8211      	76.38       
3           	1400        	48          	0.9487      	0.1535      	81.9        
3           	1500        	43          	0.9447      	2.256       	80.55       
3           	1600        	41          	0.9426      	1.064       	80.19       
3           	1700        	38          	0.9431      	0.9491      	71.31       
3           	1800        	42          	0.9372      	1.36        	74.26       
3           	1900        	43          	0.9276      	-0.07979    	71.44       
3           	2000        	34          	0.9362      	-2.082      	74.18       
3           	2100        	37          	0.9315      	-3.813      	71.26       
3           	2200        	48          	0.9297      	-2.977      	60.7        
3           	2300        	38          	0.923       	-2.413      	66.1        
3           	2400        	39          	0.9202      	-2.638      	65.79       
3           	2500        	34          	0.9087      	-3.368      	75.29       
3           	2600        	42          	0.9055      	-4.937      	69.88       
3           	2700        	46          	0.9044      	-5.263      	68.1        
3           	2800        	38          	0.8902      	-6.825      	67.72       
3           	2900        	36          	0.8992      	-5.925      	72.63       
3           	3000        	28          	0.9063      	-5.561      	63.98       
3           	3100        	36          	0.8914      	-6.897      	66.29       
3           	3200        	37          	0.8967      	-6.422      	71.81       
3           	3300        	34          	0.8675      	-7.908      	76.19       
3           	3400        	43          	0.8585      	-8.582      	80.39       
3           	3500        	37          	0.8611      	-8.015      	84.92       
3           	3600        	33          	0.8371      	-8.857      	84.76       
3           	3700        	39          	0.829       	-9.26       	80.4        
3           	3800        	31          	0.8509      	-8.686      	78.75       
3           	3900        	29          	0.8635      	-8.157      	73.95       
3           	4000        	38          	0.8658      	-6.984      	87.52       
3           	4100        	34          	0.8674      	-6.716      	87.06       
3           	4200        	38          	0.8565      	-8.014      	79.55       
3           	4300        	36          	0.8634      	-7.445      	79.68       
3           	4400        	35          	0.8841      	-5.522      	87.42       
3           	4500        	35          	0.8994      	-5.433      	77.64       
3           	4600        	38          	0.9099      	-4.804      	73.12       
3           	4700        	31          	0.9138      	-4.412      	68.17       
3           	4800        	39          	0.9138      	-2.84       	67.02       
3           	4900        	34          	0.9166      	-2.74       	65          
3           	5000        	37          	0.9058      	-2.843      	72.11       
4           	1           	255         	0.9961      	0.0598      	97.73       
4           	100         	200         	0.9912      	-0.791      	96.49       
4           	200         	144         	0.9862      	-1.186      	96.11       
4           	300         	117         	0.9818      	-1.577      	95.2        
4           	400         	93          	0.978       	-1.686      	93.6        
4           	500         	72          	0.9742      	-1.538      	90.98       
4           	600         	65          	0.9676      	-2.205      	85.36       
4           	700         	72          	0.9676      	-2.295      	85.64       
4           	800         	60          	0.9677      	-2.587      	84.59       
4           	900         	59          	0.9668      	-3.285      	78.79       
