generation  	adlt.nbInd  	q.adlt.a.freq_l1_a1	q.adlt.a.freq_l1_a2	q.adlt.a.freq_l2_a1	q.adlt.a.freq_l2_a2	alive.rpl   
481         	1000        	0.9735      	0.0265      	0.3733      	0.6267      	99          
482         	1000        	0.9735      	0.02647     	0.374       	0.626       	99          
483         	1000        	0.9735      	0.02652     	0.3743      	0.6257      	99          
484         	1000        	0.9736      	0.02642     	0.3731      	0.6269      	99          
485         	1000        	0.9738      	0.02615     	0.3724      	0.6276      	99          
486         	1000        	0.9742      	0.02583     	0.3729      	0.6271      	99          
487         	1000        	0.9743      	0.02572     	0.3716      	0.6284      	99          
488         	1000        	0.9743      	0.02574     	0.3721      	0.6279      	99          
489         	1000        	0.9747      	0.02529     	0.3708      	0.6292      	99          
490         	1000        	0.9745      	0.02549     	0.371       	0.629       	99          
491         	1000        	0.9747      	0.02525     	0.3707      	0.6293      	99          
492         	1000        	0.9749      	0.02506     	0.3697      	0.6303      	99          
493         	1000        	0.9752      	0.02481     	0.3706      	0.6294      	99          
494         	1000        	0.9752      	0.02484     	0.371       	0.629       	99          
495         	1000        	0.9748      	0.02524     	0.371       	0.629       	99          
496         	1000        	0.9749      	0.02515     	0.3699      	0.6301      	99          
497         	1000        	0.9745      	0.02546     	0.3703      	0.6297      	99          
498         	1000        	0.9746      	0.02541     	0.3703      	0.6297      	99          
499         	1000        	0.9744      	0.02556     	0.3696      	0.6304      	99          
500         	1000        	0.9745      	0.02554     	0.371       	0.629       	99          
