generation  	adlt.nbInd  	q.adlt.a.freq_l1_a1	q.adlt.a.freq_l1_a2	q.adlt.a.freq_l2_a1	q.adlt.a.freq_l2_a2	alive.rpl   
177         	1000        	0.9735      	0.02653     	0.3732      	0.6268      	99          
178         	1000        	0.9736      	0.02637     	0.3737      	0.6263      	99          
179         	1000        	0.9739      	0.02611     	0.3739      	0.6261      	99          
180         	1000        	0.9745      	0.02547     	0.3745      	0.6255      	99          
181         	1000        	0.9749      	0.02513     	0.3763      	0.6237      	99          
182         	1000        	0.975       	0.025       	0.3784      	0.6216      	99          
183         	1000        	0.9755      	0.02447     	0.3785      	0.6215      	99          
184         	1000        	0.9754      	0.02455     	0.3775      	0.6225      	99          
185         	1000        	0.9754      	0.02455     	0.3776      	0.6224      	99          
186         	1000        	0.9754      	0.02459     	0.3785      	0.6215      	99          
187         	1000        	0.9753      	0.02469     	0.3787      	0.6213      	99          
188         	1000        	0.9752      	0.0248      	0.3778      	0.6222      	99          
189         	1000        	0.9751      	0.02488     	0.3779      	0.6221      	99          
190         	1000        	0.9751      	0.02491     	0.3771      	0.6229      	99          
191         	1000        	0.975       	0.02498     	0.3768      	0.6232      	99          
192         	1000        	0.9752      	0.02481     	0.3773      	0.6227      	99          
193         	1000        	0.9749      	0.02508     	0.3773      	0.6227      	99          
194         	1000        	0.975       	0.02503     	0.3776      	0.6224      	99          
195         	1000        	0.9752      	0.02483     	0.3763      	0.6237      	99          
196         	1000        	0.9753      	0.02467     	0.3752      	0.6248      	99          
197         	1000        	0.9754      	0.02457     	0.3746      	0.6254      	99          
198         	1000        	0.9754      	0.02457     	0.3738      	0.6262      	99          
199         	1000        	0.9759      	0.02411     	0.3744      	0.6256      	99          
200         	1000        	0.9759      	0.02413     	0.3758      	0.6242      	99          
201         	1000        	0.9756      	0.02436     	0.3767      	0.6233      	99          
202         	1000        	0.9755      	0.02446     	0.3771      	0.6229      	99          
203         	1000        	0.9752      	0.02484     	0.3766      	0.6234      	99          
204         	1000        	0.9757      	0.02433     	0.3764      	0.6236      	99          
205         	1000        	0.9753      	0.02471     	0.376       	0.624       	99          
206         	1000        	0.9753      	0.02472     	0.3751      	0.6249      	99          
207         	1000        	0.9753      	0.02469     	0.3745      	0.6255      	99          
208         	1000        	0.9752      	0.02475     	0.3742      	0.6258      	99          
209         	1000        	0.9752      	0.02478     	0.3728      	0.6272      	99          
210         	1000        	0.9752      	0.02478     	0.3721      	0.6279      	99          
211         	1000        	0.9754      	0.02458     	0.3704      	0.6296      	99          
212         	1000        	0.9762      	0.02383     	0.3712      	0.6288      	99          
213         	1000        	0.976       	0.02404     	0.3719      	0.6281      	99          
214         	1000        	0.9758      	0.02418     	0.3709      	0.6291      	99          
215         	1000        	0.9758      	0.02418     	0.3712      	0.6288      	99          
216         	1000        	0.9759      	0.02409     	0.3704      	0.6296      	99          
217         	1000        	0.9759      	0.02412     	0.3696      	0.6304      	99          
218         	1000        	0.9758      	0.02424     	0.3697      	0.6303      	99          
219         	1000        	0.9757      	0.02427     	0.3692      	0.6308      	99          
220         	1000        	0.9758      	0.02415     	0.3681      	0.6319      	99          
221         	1000        	0.976       	0.02401     	0.3673      	0.6327      	99          
222         	1000        	0.9759      	0.02411     	0.3666      	0.6334      	99          
223         	1000        	0.9764      	0.02356     	0.3648      	0.6352      	99          
224         	1000        	0.9768      	0.02323     	0.3644      	0.6356      	99          
225         	1000        	0.9766      	0.02344     	0.3633      	0.6367      	99          
226         	1000        	0.9766      	0.02337     	0.3642      	0.6358      	99          
227         	1000        	0.9762      	0.02375     	0.3643      	0.6357      	99          
228         	1000        	0.976       	0.02395     	0.3636      	0.6364      	99          
229         	1000        	0.9762      	0.02377     	0.3644      	0.6356      	99          
230         	1000        	0.9758      	0.02423     	0.3651      	0.6349      	99          
231         	1000        	0.9754      	0.02464     	0.3666      	0.6334      	99          
232         	1000        	0.9756      	0.02445     	0.3663      	0.6337      	99          
233         	1000        	0.9753      	0.02469     	0.3672      	0.6328      	99          
234         	1000        	0.9747      	0.02534     	0.3659      	0.6341      	99          
235         	1000        	0.9742      	0.02581     	0.3662      	0.6338      	99          
236         	1000        	0.9742      	0.02576     	0.367       	0.633       	99          
237         	1000        	0.9738      	0.02616     	0.3673      	0.6327      	99          
238         	1000        	0.974       	0.02604     	0.3669      	0.6331      	99          
239         	1000        	0.9743      	0.02574     	0.3653      	0.6347      	99          
240         	1000        	0.9744      	0.02565     	0.3666      	0.6334      	99          
241         	1000        	0.9742      	0.02579     	0.3673      	0.6327      	99          
242         	1000        	0.9743      	0.02567     	0.3656      	0.6344      	99          
243         	1000        	0.9748      	0.02524     	0.3649      	0.6351      	99          
244         	1000        	0.9746      	0.02538     	0.3656      	0.6344      	99          
245         	1000        	0.9742      	0.02577     	0.3648      	0.6352      	99          
246         	1000        	0.9737      	0.02627     	0.3664      	0.6336      	99          
247         	1000        	0.9739      	0.02613     	0.3663      	0.6337      	99          
248         	1000        	0.9738      	0.02619     	0.3653      	0.6347      	99          
249         	1000        	0.9736      	0.02644     	0.3654      	0.6346      	99          
250         	1000        	0.9732      	0.02682     	0.3655      	0.6345      	99          
251         	1000        	0.9731      	0.02687     	0.3652      	0.6348      	99          
252         	1000        	0.9731      	0.02685     	0.364       	0.636       	99          
253         	1000        	0.9731      	0.02685     	0.3639      	0.6361      	99          
254         	1000        	0.973       	0.02702     	0.3634      	0.6366      	99          
255         	1000        	0.9729      	0.02713     	0.3628      	0.6372      	99          
256         	1000        	0.9724      	0.0276      	0.3628      	0.6372      	99          
257         	1000        	0.9719      	0.02807     	0.3626      	0.6374      	99          
258         	1000        	0.9719      	0.02812     	0.3636      	0.6364      	99          
259         	1000        	0.9716      	0.02844     	0.3635      	0.6365      	99          
260         	1000        	0.9716      	0.02838     	0.3637      	0.6363      	99          
261         	1000        	0.9711      	0.02895     	0.3631      	0.6369      	99          
262         	1000        	0.971       	0.02899     	0.3624      	0.6376      	99          
263         	1000        	0.9717      	0.02826     	0.364       	0.636       	99          
264         	1000        	0.972       	0.02796     	0.3648      	0.6352      	99          
265         	1000        	0.9725      	0.02752     	0.3651      	0.6349      	99          
266         	1000        	0.9724      	0.02756     	0.3654      	0.6346      	99          
267         	1000        	0.9722      	0.02778     	0.3658      	0.6342      	99          
268         	1000        	0.9717      	0.02825     	0.3676      	0.6324      	99          
269         	1000        	0.9718      	0.02819     	0.37        	0.63        	99          
270         	1000        	0.9717      	0.02826     	0.3694      	0.6306      	99          
271         	1000        	0.9713      	0.02866     	0.37        	0.63        	99          
272         	1000        	0.9712      	0.02878     	0.3705      	0.6295      	99          
273         	1000        	0.9711      	0.0289      	0.3713      	0.6287      	99          
274         	1000        	0.9712      	0.02876     	0.3725      	0.6275      	99          
275         	1000        	0.9711      	0.02888     	0.3717      	0.6283      	99          
276         	1000        	0.9712      	0.02882     	0.371       	0.629       	99          
277         	1000        	0.9713      	0.02872     	0.372       	0.628       	99          
278         	1000        	0.9715      	0.02852     	0.371       	0.629       	99          
279         	1000        	0.9715      	0.02847     	0.3723      	0.6277      	99          
280         	1000        	0.9718      	0.02818     	0.3725      	0.6275      	99          
281         	1000        	0.9719      	0.02808     	0.3724      	0.6276      	99          
282         	1000        	0.9721      	0.02794     	0.3717      	0.6283      	99          
283         	1000        	0.9716      	0.02835     	0.3718      	0.6282      	99          
284         	1000        	0.9716      	0.02844     	0.3727      	0.6273      	99          
285         	1000        	0.9719      	0.02809     	0.3725      	0.6275      	99          
286         	1000        	0.9723      	0.02772     	0.3713      	0.6287      	99          
287         	1000        	0.9721      	0.02785     	0.3718      	0.6282      	99          
288         	1000        	0.972       	0.02801     	0.3718      	0.6282      	99          
289         	1000        	0.9722      	0.02783     	0.3722      	0.6278      	99          
290         	1000        	0.9721      	0.02791     	0.3727      	0.6273      	99          
291         	1000        	0.9723      	0.02769     	0.3735      	0.6265      	99          
292         	1000        	0.9722      	0.02776     	0.3732      	0.6268      	99          
293         	1000        	0.972       	0.02796     	0.3751      	0.6249      	99          
294         	1000        	0.9722      	0.02782     	0.376       	0.624       	99          
295         	1000        	0.9721      	0.02792     	0.3754      	0.6246      	99          
296         	1000        	0.9726      	0.02739     	0.3749      	0.6251      	99          
297         	1000        	0.9727      	0.02729     	0.3738      	0.6262      	99          
298         	1000        	0.9728      	0.0272      	0.3731      	0.6269      	99          
299         	1000        	0.9732      	0.02684     	0.3745      	0.6255      	99          
300         	1000        	0.9731      	0.0269      	0.3737      	0.6263      	99          
301         	1000        	0.9729      	0.0271      	0.3746      	0.6254      	99          
302         	1000        	0.9726      	0.02741     	0.3747      	0.6253      	99          
303         	1000        	0.9727      	0.02733     	0.3737      	0.6263      	99          
304         	1000        	0.9725      	0.02746     	0.373       	0.627       	99          
305         	1000        	0.9723      	0.02772     	0.373       	0.627       	99          
306         	1000        	0.9718      	0.0282      	0.3717      	0.6283      	99          
307         	1000        	0.9715      	0.02853     	0.3731      	0.6269      	99          
308         	1000        	0.9715      	0.02854     	0.3725      	0.6275      	99          
309         	1000        	0.9712      	0.02881     	0.3732      	0.6268      	99          
310         	1000        	0.9712      	0.02875     	0.3762      	0.6238      	99          
311         	1000        	0.9709      	0.02909     	0.3772      	0.6228      	99          
312         	1000        	0.9707      	0.02931     	0.3768      	0.6232      	99          
313         	1000        	0.9709      	0.02911     	0.3767      	0.6233      	99          
314         	1000        	0.9712      	0.02878     	0.3781      	0.6219      	99          
315         	1000        	0.9714      	0.0286      	0.377       	0.623       	99          
316         	1000        	0.9709      	0.02913     	0.3774      	0.6226      	99          
317         	1000        	0.9709      	0.02911     	0.3777      	0.6223      	99          
318         	1000        	0.9713      	0.02867     	0.3795      	0.6205      	99          
319         	1000        	0.9709      	0.0291      	0.3786      	0.6214      	99          
320         	1000        	0.9709      	0.02914     	0.3789      	0.6211      	99          
321         	1000        	0.9707      	0.02933     	0.3792      	0.6208      	99          
322         	1000        	0.9704      	0.02964     	0.3799      	0.6201      	99          
323         	1000        	0.9704      	0.02956     	0.381       	0.619       	99          
324         	1000        	0.9713      	0.02871     	0.3804      	0.6196      	99          
325         	1000        	0.9709      	0.02906     	0.3797      	0.6203      	99          
326         	1000        	0.9706      	0.02935     	0.3799      	0.6201      	99          
327         	1000        	0.9706      	0.02935     	0.3813      	0.6187      	99          
328         	1000        	0.9705      	0.02946     	0.3819      	0.6181      	99          
329         	1000        	0.9708      	0.02918     	0.3813      	0.6187      	99          
330         	1000        	0.9712      	0.02881     	0.3808      	0.6192      	99          
