generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2	alive.rpl   
1           	5.5         	0.5055      	1           	1.984e-05   	1           
2           	10          	0.4051      	0.8013      	0.0003059   	1           
3           	10          	0.3206      	0.6335      	0.0006606   	1           
4           	10          	0.2503      	0.4947      	0.0006309   	1           
5           	10          	0.2007      	0.3962      	0.0008855   	1           
6           	10          	0.1563      	0.3082      	0.001057    	1           
7           	10          	0.126       	0.2477      	0.001558    	1           
8           	10          	0.09897     	0.1944      	0.001402    	1           
9           	10          	0.07696     	0.1511      	0.001148    	1           
10          	10          	0.06131     	0.1201      	0.001174    	1           
11          	10          	0.04761     	0.0927      	0.001481    	1           
12          	10          	0.03897     	0.07512     	0.001976    	1           
13          	10          	0.03112     	0.05942     	0.00213     	1           
14          	10          	0.02481     	0.04719     	0.001926    	1           
15          	10          	0.01899     	0.03601     	0.001572    	1           
16          	10          	0.01448     	0.02713     	0.00152     	1           
17          	10          	0.01128     	0.02124     	0.001106    	1           
18          	10          	0.009021    	0.01625     	0.001635    	1           
19          	10          	0.007039    	0.01241     	0.001548    	1           
20          	10          	0.006396    	0.01066     	0.002041    	1           
21          	10          	0.005602    	0.008994    	0.002142    	1           
22          	10          	0.004367    	0.006851    	0.001831    	1           
23          	10          	0.003676    	0.005613    	0.001698    	1           
24          	10          	0.003035    	0.004555    	0.001484    	1           
25          	10          	0.002728    	0.003907    	0.001525    	1           
26          	10          	0.002412    	0.003346    	0.001458    	1           
27          	10          	0.002097    	0.002801    	0.001379    	1           
28          	10          	0.002212    	0.002599    	0.001816    	1           
29          	10          	0.002052    	0.002222    	0.001879    	1           
30          	10          	0.00182     	0.001958    	0.00168     	1           
31          	10          	0.00193     	0.002231    	0.001623    	1           
32          	10          	0.001927    	0.002039    	0.001813    	1           
33          	10          	0.001731    	0.001726    	0.001736    	1           
34          	10          	0.001542    	0.001601    	0.001483    	1           
35          	10          	0.001945    	0.002021    	0.001867    	1           
36          	10          	0.001574    	0.001573    	0.001576    	1           
37          	10          	0.001643    	0.001481    	0.001808    	1           
38          	10          	0.001484    	0.00143     	0.001539    	1           
39          	10          	0.001387    	0.001031    	0.001749    	1           
40          	10          	0.00157     	0.00164     	0.001498    	1           
41          	10          	0.001884    	0.001934    	0.001834    	1           
42          	10          	0.001741    	0.001912    	0.001567    	1           
43          	10          	0.001715    	0.001862    	0.001566    	1           
44          	10          	0.001498    	0.001721    	0.001271    	1           
45          	10          	0.001434    	0.001997    	0.0008626   	1           
46          	10          	0.001344    	0.002001    	0.0006776   	1           
47          	10          	0.001351    	0.002031    	0.0006624   	1           
48          	10          	0.001265    	0.001959    	0.000561    	1           
49          	10          	0.001257    	0.001865    	0.0006392   	1           
50          	10          	0.001105    	0.001427    	0.000779    	1           
51          	10          	0.001123    	0.001233    	0.001011    	1           
52          	10          	0.001365    	0.001319    	0.001412    	1           
53          	10          	0.001185    	0.001166    	0.001205    	1           
54          	10          	0.001016    	0.001206    	0.0008237   	1           
55          	10          	0.001112    	0.001378    	0.0008421   	1           
56          	10          	0.001229    	0.001165    	0.001294    	1           
57          	10          	0.001301    	0.001197    	0.001407    	1           
58          	10          	0.001313    	0.001273    	0.001353    	1           
59          	10          	0.001188    	0.001444    	0.0009279   	1           
60          	10          	0.0009922   	0.00121     	0.0007712   	1           
