replicate   	generation  	q.adlt.nbAll	q.adlt.ho   	q.meanG     
1           	1           	148         	0.9873      	0.02363     
1           	2           	142         	0.988       	-0.01661    
1           	3           	142         	0.9855      	-0.02393    
1           	4           	140         	0.9867      	-0.03358    
1           	5           	138         	0.9844      	-0.07247    
1           	6           	134         	0.9844      	-0.05222    
1           	7           	131         	0.9852      	-0.07314    
1           	8           	131         	0.9849      	-0.04994    
1           	9           	129         	0.9833      	-0.04129    
1           	10          	128         	0.9874      	-0.05246    
