replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	329         	10          	0.02012     	0.02337     	0.01683     
1           	330         	10          	0.02068     	0.02374     	0.01757     
1           	331         	10          	0.02027     	0.02365     	0.01683     
1           	332         	10          	0.02086     	0.02405     	0.01763     
1           	333         	10          	0.02132     	0.02394     	0.01866     
1           	334         	10          	0.02141     	0.02372     	0.01906     
1           	335         	10          	0.02138     	0.02341     	0.01932     
1           	336         	10          	0.02253     	0.02458     	0.02045     
1           	337         	10          	0.02247     	0.02407     	0.02086     
1           	338         	10          	0.02212     	0.02383     	0.02037     
1           	339         	10          	0.02175     	0.02409     	0.01937     
1           	340         	10          	0.0228      	0.02576     	0.0198      
1           	341         	10          	0.02319     	0.02696     	0.01938     
1           	342         	9.95        	0.02316     	0.02597     	0.02032     
1           	343         	9.95        	0.02254     	0.02615     	0.01888     
1           	344         	10          	0.0226      	0.02707     	0.01807     
1           	345         	10          	0.02179     	0.0261      	0.01744     
1           	346         	10          	0.02205     	0.02637     	0.01768     
1           	347         	10          	0.02199     	0.02627     	0.01766     
1           	348         	10          	0.02113     	0.02567     	0.01653     
1           	349         	10          	0.02149     	0.02694     	0.01597     
1           	350         	10          	0.02095     	0.02618     	0.01565     
1           	351         	10          	0.0213      	0.02648     	0.01606     
1           	352         	10          	0.0226      	0.02779     	0.01736     
1           	353         	10          	0.02307     	0.0286      	0.01748     
1           	354         	10          	0.02293     	0.02871     	0.01708     
1           	355         	10          	0.02314     	0.02905     	0.01716     
1           	356         	10          	0.0234      	0.02838     	0.01836     
1           	357         	10          	0.02241     	0.0256      	0.01919     
1           	358         	10          	0.02114     	0.02472     	0.01752     
1           	359         	10          	0.02082     	0.0247      	0.0169      
1           	360         	10          	0.02085     	0.02379     	0.01787     
1           	361         	10          	0.02061     	0.02324     	0.01795     
1           	362         	10          	0.02135     	0.02286     	0.01981     
1           	363         	10          	0.02111     	0.02241     	0.01979     
1           	364         	10          	0.02066     	0.02182     	0.01948     
1           	365         	10          	0.01992     	0.02207     	0.01774     
1           	366         	10          	0.01962     	0.02227     	0.01694     
1           	367         	10          	0.01995     	0.02309     	0.01676     
1           	368         	10          	0.01971     	0.02299     	0.01638     
1           	369         	10          	0.0197      	0.02364     	0.01569     
1           	370         	10          	0.02048     	0.02475     	0.01614     
1           	371         	10          	0.01993     	0.02417     	0.01563     
1           	372         	10          	0.0201      	0.02365     	0.01648     
1           	373         	10          	0.02064     	0.02359     	0.01764     
1           	374         	10          	0.02065     	0.02355     	0.0177      
1           	375         	10          	0.02125     	0.02385     	0.01861     
1           	376         	10          	0.02136     	0.02409     	0.01858     
1           	377         	10          	0.02119     	0.02433     	0.01799     
1           	378         	10          	0.02051     	0.02362     	0.01734     
1           	379         	10          	0.02042     	0.0225      	0.01829     
1           	380         	10          	0.02069     	0.02277     	0.01857     
1           	381         	10          	0.02106     	0.02387     	0.0182      
1           	382         	10          	0.02157     	0.02401     	0.0191      
1           	383         	10          	0.02194     	0.02451     	0.01932     
