generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	1           	5.5         	0.5058      	1           	2.571e-05   
2           	1           	9.95        	0.4461      	0.8812      	0.000722    
3           	1           	10          	0.3985      	0.787       	0.0006978   
4           	1           	10          	0.3563      	0.7026      	0.001075    
5           	1           	10          	0.3151      	0.6207      	0.001577    
6           	1           	10          	0.2835      	0.5584      	0.001624    
7           	1           	10          	0.256       	0.5036      	0.001961    
8           	1           	10          	0.2331      	0.4582      	0.002261    
9           	1           	10          	0.2067      	0.4062      	0.001931    
10          	1           	10          	0.1848      	0.3623      	0.002591    
11          	1           	10          	0.1616      	0.3162      	0.00279     
12          	1           	10          	0.1438      	0.2804      	0.003208    
13          	1           	10          	0.1285      	0.2495      	0.003727    
14          	1           	10          	0.1179      	0.2291      	0.003494    
15          	1           	10          	0.1039      	0.2013      	0.003506    
16          	1           	10          	0.09231     	0.1786      	0.003464    
17          	1           	10          	0.08353     	0.1615      	0.003262    
18          	1           	10          	0.07397     	0.1426      	0.003339    
19          	1           	10          	0.06536     	0.1252      	0.003764    
20          	1           	10          	0.05882     	0.1126      	0.00344     
21          	1           	10          	0.05457     	0.1039      	0.003891    
22          	1           	10          	0.04971     	0.09438     	0.003781    
23          	1           	10          	0.04603     	0.08703     	0.003864    
24          	1           	10          	0.04112     	0.07779     	0.003422    
25          	1           	10          	0.03766     	0.07041     	0.003951    
26          	1           	10          	0.03468     	0.06474     	0.003769    
27          	1           	10          	0.03122     	0.05767     	0.004005    
28          	1           	10          	0.02712     	0.04976     	0.003795    
29          	1           	10          	0.02551     	0.04651     	0.003924    
30          	1           	10          	0.02221     	0.04029     	0.003597    
31          	1           	10          	0.01971     	0.03537     	0.003621    
32          	1           	10          	0.01857     	0.033       	0.003752    
33          	1           	10          	0.01646     	0.02902     	0.00355     
34          	1           	10          	0.0153      	0.02679     	0.003509    
35          	1           	10          	0.01496     	0.02553     	0.004108    
36          	1           	10          	0.01523     	0.02625     	0.003922    
37          	1           	10          	0.01322     	0.02239     	0.003828    
38          	1           	10          	0.01197     	0.02022     	0.003517    
39          	1           	10          	0.01139     	0.01862     	0.003976    
40          	1           	10          	0.01013     	0.01635     	0.003753    
41          	1           	10          	0.009247    	0.01501     	0.003334    
42          	1           	10          	0.008483    	0.01354     	0.003294    
43          	1           	10          	0.007653    	0.01166     	0.003542    
44          	1           	10          	0.007066    	0.01        	0.004057    
45          	1           	10          	0.006871    	0.009608    	0.004067    
46          	1           	10          	0.00649     	0.009282    	0.003626    
47          	1           	10          	0.006168    	0.008643    	0.003626    
48          	1           	10          	0.005607    	0.007554    	0.003607    
49          	1           	10          	0.005356    	0.007066    	0.0036      
50          	1           	10          	0.005409    	0.006608    	0.004178    
51          	1           	10          	0.005141    	0.005855    	0.004408    
52          	1           	10          	0.005177    	0.006018    	0.004313    
53          	1           	10          	0.005445    	0.006615    	0.004244    
54          	1           	10          	0.005195    	0.006258    	0.004103    
55          	1           	10          	0.005414    	0.006838    	0.003948    
56          	1           	10          	0.005348    	0.006752    	0.003899    
57          	1           	10          	0.005428    	0.007035    	0.00377     
58          	1           	10          	0.005922    	0.00729     	0.00451     
59          	1           	10          	0.006376    	0.008406    	0.004283    
60          	1           	10          	0.006168    	0.008081    	0.004194    
61          	1           	10          	0.005882    	0.007955    	0.003746    
62          	1           	10          	0.005542    	0.007409    	0.003617    
63          	1           	10          	0.005468    	0.007308    	0.003574    
64          	1           	10          	0.005605    	0.007783    	0.003364    
65          	1           	10          	0.005856    	0.007729    	0.003929    
66          	1           	10          	0.005687    	0.00775     	0.003562    
67          	1           	10          	0.005307    	0.006778    	0.00379     
68          	1           	10          	0.005245    	0.006477    	0.003976    
69          	1           	10          	0.005471    	0.006489    	0.004423    
70          	1           	10          	0.005208    	0.006206    	0.004182    
71          	1           	10          	0.005719    	0.007361    	0.004031    
72          	1           	10          	0.005152    	0.006687    	0.003576    
73          	1           	10          	0.00521     	0.006532    	0.003852    
74          	1           	10          	0.004998    	0.005908    	0.004065    
75          	1           	10          	0.00468     	0.005451    	0.003889    
76          	1           	10          	0.004181    	0.004743    	0.003604    
77          	1           	10          	0.004052    	0.004687    	0.003402    
78          	1           	10          	0.004142    	0.00499     	0.003274    
79          	1           	10          	0.003781    	0.004693    	0.002847    
80          	1           	10          	0.003944    	0.00459     	0.003283    
81          	1           	10          	0.004252    	0.004565    	0.003931    
82          	1           	10          	0.004559    	0.005357    	0.003744    
83          	1           	10          	0.00479     	0.005458    	0.004106    
84          	1           	10          	0.004647    	0.006159    	0.003099    
85          	1           	10          	0.004668    	0.005825    	0.003484    
86          	1           	10          	0.004519    	0.005169    	0.003854    
87          	1           	10          	0.004557    	0.005465    	0.003628    
88          	1           	10          	0.004492    	0.00513     	0.003839    
89          	1           	10          	0.004195    	0.004902    	0.003472    
90          	1           	10          	0.003688    	0.004392    	0.002969    
91          	1           	10          	0.003558    	0.004148    	0.002955    
92          	1           	10          	0.004054    	0.004419    	0.003682    
93          	1           	10          	0.004485    	0.005002    	0.003958    
94          	1           	10          	0.004312    	0.004861    	0.003752    
95          	1           	10          	0.004084    	0.004596    	0.003562    
96          	1           	10          	0.003711    	0.003703    	0.003719    
97          	1           	10          	0.003825    	0.004035    	0.003612    
98          	1           	10          	0.003609    	0.00362     	0.003598    
99          	1           	10          	0.003645    	0.003464    	0.00383     
100         	1           	10          	0.003594    	0.003536    	0.003654    
101         	1           	10          	0.003572    	0.003798    	0.003342    
