replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	1281        	11          	0.7188      	0.7212      
1           	1282        	11          	0.7237      	0.7216      
1           	1283        	11          	0.7268      	0.7258      
1           	1284        	11          	0.7299      	0.728       
1           	1285        	11          	0.7275      	0.7258      
1           	1286        	11          	0.7222      	0.7209      
1           	1287        	11          	0.7215      	0.7202      
1           	1288        	11          	0.7218      	0.7157      
1           	1289        	11          	0.7283      	0.7236      
1           	1290        	11          	0.7229      	0.7242      
1           	1291        	11          	0.7199      	0.7225      
1           	1292        	11          	0.7224      	0.7213      
1           	1293        	11          	0.7201      	0.7259      
1           	1294        	11          	0.7336      	0.7296      
1           	1295        	11          	0.7259      	0.7321      
1           	1296        	11          	0.7279      	0.7297      
1           	1297        	11          	0.7306      	0.728       
1           	1298        	11          	0.7334      	0.7311      
1           	1299        	11          	0.7266      	0.7288      
1           	1300        	11          	0.7256      	0.7303      
1           	1301        	11          	0.7193      	0.7264      
1           	1302        	11          	0.7275      	0.7333      
1           	1303        	11          	0.7364      	0.7372      
1           	1304        	11          	0.7368      	0.7395      
1           	1305        	11          	0.7328      	0.7361      
1           	1306        	11          	0.7363      	0.7351      
1           	1307        	11          	0.7352      	0.7344      
1           	1308        	11          	0.7292      	0.7331      
1           	1309        	11          	0.7286      	0.7305      
1           	1310        	11          	0.7333      	0.7337      
1           	1311        	11          	0.7238      	0.7281      
1           	1312        	11          	0.7241      	0.7267      
1           	1313        	11          	0.728       	0.7257      
1           	1314        	11          	0.7204      	0.7247      
1           	1315        	11          	0.7261      	0.729       
1           	1316        	11          	0.7295      	0.7265      
1           	1317        	11          	0.7273      	0.7255      
1           	1318        	11          	0.7202      	0.7209      
1           	1319        	11          	0.7152      	0.7179      
1           	1320        	11          	0.71        	0.7121      
1           	1321        	11          	0.7148      	0.7143      
1           	1322        	11          	0.7176      	0.7139      
1           	1323        	11          	0.7167      	0.7154      
1           	1324        	11          	0.7144      	0.7174      
1           	1325        	11          	0.7117      	0.7128      
1           	1326        	11          	0.7125      	0.7096      
1           	1327        	11          	0.6979      	0.7024      
1           	1328        	11          	0.6953      	0.6983      
1           	1329        	11          	0.6982      	0.6956      
1           	1330        	11          	0.6983      	0.6966      
1           	1331        	11          	0.693       	0.6942      
1           	1332        	11          	0.6904      	0.6902      
1           	1333        	11          	0.6975      	0.6953      
1           	1334        	11          	0.6863      	0.6906      
1           	1335        	11          	0.6979      	0.6932      
1           	1336        	11          	0.6961      	0.6913      
1           	1337        	11          	0.6982      	0.6965      
1           	1338        	11          	0.697       	0.6952      
1           	1339        	11          	0.6972      	0.6952      
1           	1340        	11          	0.6927      	0.6951      
1           	1341        	11          	0.7015      	0.7007      
1           	1342        	11          	0.7052      	0.7059      
1           	1343        	11          	0.7077      	0.7076      
1           	1344        	11          	0.7097      	0.7076      
1           	1345        	11          	0.7039      	0.7045      
1           	1346        	11          	0.6993      	0.7013      
1           	1347        	11          	0.6959      	0.7014      
1           	1348        	11          	0.6992      	0.7056      
1           	1349        	11          	0.7054      	0.7067      
1           	1350        	11          	0.702       	0.7026      
1           	1351        	11          	0.7041      	0.703       
1           	1352        	11          	0.7056      	0.7008      
1           	1353        	11          	0.7034      	0.6973      
1           	1354        	11          	0.6972      	0.6975      
1           	1355        	11          	0.7053      	0.702       
1           	1356        	11          	0.7006      	0.7009      
1           	1357        	11          	0.6938      	0.6988      
1           	1358        	11          	0.7022      	0.7016      
1           	1359        	11          	0.7047      	0.7054      
1           	1360        	11          	0.7059      	0.7029      
1           	1361        	11          	0.7022      	0.7036      
1           	1362        	11          	0.704       	0.6983      
1           	1363        	11          	0.703       	0.6952      
1           	1364        	11          	0.69        	0.6925      
1           	1365        	11          	0.6884      	0.6928      
1           	1366        	11          	0.6988      	0.7011      
1           	1367        	11          	0.7042      	0.7027      
1           	1368        	11          	0.7115      	0.7092      
1           	1369        	11          	0.7091      	0.7063      
1           	1370        	11          	0.7057      	0.708       
1           	1371        	11          	0.7113      	0.7101      
1           	1372        	11          	0.7049      	0.7096      
1           	1373        	11          	0.7129      	0.7126      
1           	1374        	11          	0.7058      	0.7115      
1           	1375        	11          	0.7117      	0.7148      
1           	1376        	11          	0.7096      	0.7089      
1           	1377        	11          	0.7134      	0.7073      
1           	1378        	11          	0.711       	0.709       
1           	1379        	11          	0.7032      	0.7016      
1           	1380        	11          	0.7001      	0.702       
1           	1381        	11          	0.7021      	0.7015      
1           	1382        	11          	0.7065      	0.7016      
1           	1383        	11          	0.6977      	0.6999      
1           	1384        	11          	0.702       	0.7021      
1           	1385        	11          	0.7039      	0.7007      
1           	1386        	11          	0.697       	0.7011      
1           	1387        	11          	0.7043      	0.7002      
1           	1388        	11          	0.7036      	0.7026      
1           	1389        	11          	0.7039      	0.7068      
1           	1390        	11          	0.7142      	0.7141      
1           	1391        	11          	0.7183      	0.7153      
1           	1392        	11          	0.724       	0.7208      
1           	1393        	11          	0.7216      	0.7187      
1           	1394        	11          	0.7198      	0.7201      
1           	1395        	11          	0.7271      	0.7237      
1           	1396        	11          	0.7252      	0.7272      
1           	1397        	11          	0.7171      	0.723       
1           	1398        	11          	0.722       	0.7223      
1           	1399        	11          	0.7202      	0.7224      
1           	1400        	11          	0.7213      	0.7257      
1           	1401        	11          	0.7204      	0.7252      
1           	1402        	11          	0.7281      	0.7282      
1           	1403        	11          	0.7273      	0.7304      
1           	1404        	11          	0.7313      	0.7344      
1           	1405        	11          	0.7306      	0.7356      
1           	1406        	11          	0.7423      	0.737       
1           	1407        	11          	0.7336      	0.7379      
1           	1408        	11          	0.7316      	0.7338      
1           	1409        	11          	0.7289      	0.7274      
1           	1410        	11          	0.729       	0.7253      
1           	1411        	11          	0.7274      	0.7285      
1           	1412        	11          	0.7332      	0.7291      
1           	1413        	11          	0.7259      	0.7267      
1           	1414        	11          	0.7263      	0.7272      
1           	1415        	11          	0.7236      	0.7293      
1           	1416        	11          	0.7299      	0.7333      
1           	1417        	11          	0.7345      	0.732       
1           	1418        	11          	0.7229      	0.7312      
1           	1419        	11          	0.7319      	0.7347      
1           	1420        	11          	0.7363      	0.7346      
1           	1421        	11          	0.7263      	0.7325      
1           	1422        	11          	0.7272      	0.7311      
1           	1423        	11          	0.7362      	0.7333      
1           	1424        	11          	0.7356      	0.7349      
1           	1425        	11          	0.7352      	0.7376      
1           	1426        	11          	0.7363      	0.7345      
1           	1427        	11          	0.73        	0.7319      
1           	1428        	11          	0.7328      	0.7306      
1           	1429        	11          	0.7354      	0.7338      
1           	1430        	11          	0.7312      	0.7307      
1           	1431        	11          	0.7323      	0.7291      
1           	1432        	11          	0.7341      	0.7316      
1           	1433        	11          	0.7253      	0.7299      
1           	1434        	11          	0.7358      	0.7344      
1           	1435        	11          	0.7266      	0.7362      
1           	1436        	11          	0.7415      	0.7368      
1           	1437        	11          	0.7422      	0.7403      
1           	1438        	11          	0.7348      	0.7417      
1           	1439        	11          	0.7399      	0.7421      
1           	1440        	11          	0.7407      	0.7383      
1           	1441        	11          	0.7425      	0.7421      
1           	1442        	11          	0.7387      	0.7387      
1           	1443        	11          	0.7362      	0.74        
1           	1444        	11          	0.7422      	0.7442      
1           	1445        	11          	0.7438      	0.7426      
1           	1446        	11          	0.743       	0.7436      
1           	1447        	11          	0.7409      	0.7425      
1           	1448        	11          	0.7435      	0.7427      
1           	1449        	11          	0.7352      	0.7411      
1           	1450        	11          	0.7355      	0.7415      
1           	1451        	11          	0.7468      	0.7477      
1           	1452        	11          	0.7445      	0.7449      
1           	1453        	11          	0.7464      	0.7461      
1           	1454        	11          	0.7518      	0.7481      
1           	1455        	11          	0.7441      	0.7443      
1           	1456        	11          	0.7432      	0.7409      
1           	1457        	11          	0.7322      	0.7346      
1           	1458        	11          	0.7318      	0.7362      
1           	1459        	11          	0.737       	0.734       
1           	1460        	11          	0.7418      	0.7404      
1           	1461        	11          	0.7364      	0.7389      
1           	1462        	11          	0.7482      	0.7434      
1           	1463        	11          	0.7432      	0.7454      
1           	1464        	11          	0.743       	0.7451      
1           	1465        	11          	0.7393      	0.7393      
1           	1466        	11          	0.7445      	0.7406      
1           	1467        	11          	0.7412      	0.7377      
1           	1468        	11          	0.7397      	0.74        
1           	1469        	11          	0.7376      	0.7424      
1           	1470        	11          	0.745       	0.7412      
1           	1471        	11          	0.7471      	0.7441      
1           	1472        	11          	0.7454      	0.7421      
1           	1473        	11          	0.7438      	0.7407      
1           	1474        	11          	0.7335      	0.738       
1           	1475        	11          	0.7379      	0.7408      
1           	1476        	11          	0.7423      	0.7387      
1           	1477        	11          	0.7374      	0.736       
1           	1478        	11          	0.7319      	0.7368      
1           	1479        	11          	0.7394      	0.7397      
1           	1480        	11          	0.746       	0.7423      
1           	1481        	11          	0.7435      	0.7429      
1           	1482        	11          	0.7514      	0.7491      
1           	1483        	11          	0.7424      	0.7475      
1           	1484        	11          	0.7528      	0.7466      
1           	1485        	11          	0.7565      	0.7505      
1           	1486        	11          	0.7502      	0.7471      
1           	1487        	11          	0.7467      	0.7472      
1           	1488        	11          	0.749       	0.7458      
1           	1489        	11          	0.7498      	0.7496      
1           	1490        	11          	0.7421      	0.7476      
1           	1491        	11          	0.7497      	0.7481      
1           	1492        	11          	0.7464      	0.7498      
1           	1493        	11          	0.7387      	0.7455      
1           	1494        	11          	0.7424      	0.7497      
1           	1495        	11          	0.7506      	0.745       
1           	1496        	11          	0.7534      	0.7532      
1           	1497        	11          	0.7523      	0.7537      
1           	1498        	11          	0.7555      	0.7568      
1           	1499        	11          	0.752       	0.7546      
1           	1500        	11          	0.7562      	0.7536      
1           	1501        	11          	0.7543      	0.7564      
1           	1502        	11          	0.7562      	0.7578      
1           	1503        	11          	0.7611      	0.7566      
1           	1504        	11          	0.7527      	0.7559      
1           	1505        	11          	0.7612      	0.7591      
1           	1506        	11          	0.7502      	0.7542      
1           	1507        	11          	0.7499      	0.7529      
1           	1508        	11          	0.7541      	0.7547      
1           	1509        	11          	0.7559      	0.7564      
1           	1510        	11          	0.7629      	0.7595      
1           	1511        	11          	0.7669      	0.7625      
1           	1512        	11          	0.7601      	0.7626      
1           	1513        	11          	0.7563      	0.7617      
1           	1514        	11          	0.7624      	0.7614      
1           	1515        	11          	0.7567      	0.7579      
1           	1516        	11          	0.7643      	0.7646      
1           	1517        	11          	0.7631      	0.7602      
1           	1518        	11          	0.7624      	0.7587      
1           	1519        	11          	0.7563      	0.7635      
1           	1520        	11          	0.7593      	0.7599      
1           	1521        	11          	0.7586      	0.7575      
1           	1522        	11          	0.7643      	0.7592      
1           	1523        	11          	0.7606      	0.7588      
1           	1524        	11          	0.7581      	0.7621      
1           	1525        	11          	0.767       	0.765       
1           	1526        	11          	0.7583      	0.7626      
1           	1527        	11          	0.764       	0.7642      
1           	1528        	11          	0.7675      	0.7674      
1           	1529        	11          	0.7634      	0.764       
1           	1530        	11          	0.7626      	0.7629      
1           	1531        	11          	0.767       	0.7639      
1           	1532        	11          	0.7723      	0.7695      
1           	1533        	11          	0.7708      	0.7693      
1           	1534        	11          	0.7689      	0.7679      
1           	1535        	11          	0.7704      	0.7721      
1           	1536        	11          	0.7697      	0.7743      
1           	1537        	11          	0.7715      	0.7742      
1           	1538        	11          	0.78        	0.7757      
1           	1539        	11          	0.7789      	0.7772      
1           	1540        	11          	0.7812      	0.7804      
1           	1541        	11          	0.7766      	0.7786      
1           	1542        	11          	0.7794      	0.7786      
1           	1543        	11          	0.7725      	0.7782      
1           	1544        	11          	0.7794      	0.7779      
1           	1545        	11          	0.7725      	0.7757      
1           	1546        	11          	0.7787      	0.7757      
1           	1547        	11          	0.7741      	0.7747      
1           	1548        	11          	0.7708      	0.7731      
1           	1549        	11          	0.7734      	0.7757      
1           	1550        	11          	0.7792      	0.7756      
1           	1551        	11          	0.777       	0.777       
1           	1552        	11          	0.7705      	0.7786      
1           	1553        	11          	0.7758      	0.7785      
1           	1554        	11          	0.7794      	0.7808      
1           	1555        	11          	0.7871      	0.7824      
1           	1556        	11          	0.7835      	0.7817      
1           	1557        	11          	0.779       	0.7797      
1           	1558        	11          	0.7814      	0.7797      
1           	1559        	11          	0.7727      	0.7779      
1           	1560        	11          	0.7779      	0.778       
1           	1561        	11          	0.7835      	0.7778      
1           	1562        	11          	0.7861      	0.7816      
1           	1563        	11          	0.7764      	0.7796      
1           	1564        	11          	0.7841      	0.7798      
1           	1565        	11          	0.7847      	0.7798      
1           	1566        	11          	0.7859      	0.7816      
1           	1567        	11          	0.7831      	0.7818      
1           	1568        	11          	0.7821      	0.7818      
1           	1569        	11          	0.7765      	0.7802      
1           	1570        	11          	0.7779      	0.7763      
1           	1571        	11          	0.7811      	0.7832      
1           	1572        	11          	0.7871      	0.783       
