generation  	adlt.nbPops 	adlt.nbInd  	emigrants   	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6	alive.rpl   
54          	1.227       	2.039e+05   	0.3451      	4.569e+04   	49.47       	3.066e+04   	3.284e+04   	1.504e+04   	2.672e+04   	15          
55          	0.7289      	2.076e+05   	0.2707      	4.533e+04   	82.25       	2.863e+04   	3.127e+04   	2.007e+04   	2.684e+04   	15          
56          	0.9156      	1.957e+05   	0.2051      	5.087e+04   	56.22       	2.739e+04   	3.042e+04   	2.511e+04   	2.688e+04   	15          
57          	0.7556      	2.006e+05   	0.4964      	5.077e+04   	48.36       	2.554e+04   	2.822e+04   	3.001e+04   	2.77e+04    	15          
58          	0.7556      	2.063e+05   	0.3986      	5.093e+04   	54.52       	2.356e+04   	2.648e+04   	3.427e+04   	2.866e+04   	15          
59          	0.8267      	2.162e+05   	0.4185      	5.146e+04   	46.13       	2.217e+04   	2.464e+04   	3.743e+04   	3.012e+04   	15          
60          	0.7733      	2.176e+05   	0.1942      	5.145e+04   	49.26       	2.004e+04   	2.24e+04    	3.957e+04   	3.062e+04   	15          
61          	0.7822      	2.888e+05   	0.3584      	5.119e+04   	1.46e+04    	1.765e+04   	3.077e+04   	4.022e+04   	3.155e+04   	15          
62          	0.4889      	2.715e+05   	0.4821      	5.478e+04   	1.465e+04   	1.467e+04   	2.869e+04   	3.953e+04   	3.256e+04   	15          
63          	0.7556      	2.775e+05   	0.3779      	5.403e+04   	1.463e+04   	1.148e+04   	2.65e+04    	3.864e+04   	3.383e+04   	15          
64          	0.4889      	2.581e+05   	0.4335      	5.357e+04   	2.727e+04   	8362        	2.409e+04   	3.729e+04   	3.487e+04   	15          
65          	0.8622      	2.745e+05   	0.229       	5.363e+04   	2.658e+04   	1.838e+04   	3.146e+04   	3.531e+04   	3.735e+04   	15          
66          	0.7733      	2.745e+05   	0.3978      	5.286e+04   	2.616e+04   	1.663e+04   	2.966e+04   	3.231e+04   	3.97e+04    	15          
67          	0.5156      	2.824e+05   	0.3542      	5.219e+04   	3.583e+04   	1.532e+04   	2.795e+04   	2.979e+04   	3.988e+04   	15          
68          	0.5156      	2.718e+05   	0.8019      	5.067e+04   	3.575e+04   	1.449e+04   	2.6e+04     	2.72e+04    	4.149e+04   	15          
69          	0.5067      	2.635e+05   	0.3336      	4.968e+04   	3.485e+04   	1.386e+04   	2.541e+04   	2.441e+04   	4.203e+04   	15          
70          	0.4267      	1.778e+05   	0.6921      	5.334e+04   	3.424e+04   	1.335e+04   	3.436e+04   	3.043e+04   	4.409e+04   	15          
71          	0.6489      	1.611e+05   	0.4429      	5.356e+04   	3.287e+04   	1.284e+04   	3.311e+04   	2.921e+04   	4.374e+04   	15          
72          	0.6489      	1.467e+05   	0.1972      	5.382e+04   	3.098e+04   	1.187e+04   	3.202e+04   	2.807e+04   	4.383e+04   	15          
73          	0.5156      	1.341e+05   	0.7121      	5.408e+04   	2.953e+04   	1.054e+04   	3.013e+04   	2.706e+04   	4.391e+04   	15          
74          	0.7733      	1.193e+05   	0.3482      	5.395e+04   	2.746e+04   	9094        	2.769e+04   	2.658e+04   	4.35e+04    	15          
75          	0.2222      	1.092e+05   	0.2149      	5.386e+04   	2.591e+04   	7368        	2.46e+04    	2.644e+04   	4.198e+04   	15          
76          	0.24        	8.049e+04   	0.2241      	5.467e+04   	2.415e+04   	5620        	2.193e+04   	3.569e+04   	3.991e+04   	15          
77          	0.5156      	1.056e+05   	0.5418      	5.475e+04   	2.242e+04   	3894        	1.891e+04   	5.064e+04   	3.694e+04   	15          
78          	0.3289      	1.066e+05   	0.131       	5.706e+04   	2.105e+04   	2397        	1.607e+04   	4.979e+04   	3.36e+04    	15          
79          	0.5156      	1.07e+05    	0.357       	5.777e+04   	1.963e+04   	1500        	1.295e+04   	4.82e+04    	3.027e+04   	15          
80          	0.5156      	1.095e+05   	0.3718      	5.779e+04   	1.794e+04   	821.2       	1.002e+04   	4.695e+04   	2.713e+04   	15          
81          	0.3733      	1.198e+05   	0.3362      	5.789e+04   	1.671e+04   	397.4       	1.958e+04   	4.403e+04   	2.423e+04   	15          
82          	0.3289      	1.295e+05   	0.4529      	5.694e+04   	1.577e+04   	177.2       	1.793e+04   	4.091e+04   	2.139e+04   	15          
83          	0.3733      	1.356e+05   	0.4307      	5.706e+04   	1.527e+04   	87.8        	1.59e+04    	3.909e+04   	1.918e+04   	15          
84          	0.5156      	1.82e+05    	0.3837      	5.67e+04    	1.472e+04   	71.4        	2.583e+04   	3.524e+04   	1.716e+04   	15          
85          	0.3822      	1.939e+05   	0.2583      	5.625e+04   	1.455e+04   	89.58       	3.494e+04   	3.167e+04   	1.61e+04    	15          
86          	0.1956      	1.937e+05   	0.4072      	5.477e+04   	1.44e+04    	70.52       	3.624e+04   	2.837e+04   	1.493e+04   	15          
87          	0.5156      	2.099e+05   	0.284       	5.421e+04   	1.463e+04   	1.451e+04   	4.458e+04   	2.477e+04   	1.46e+04    	15          
88          	0.3733      	2.058e+05   	0.6074      	5.343e+04   	1.463e+04   	1.454e+04   	4.411e+04   	2.138e+04   	1.424e+04   	15          
89          	0.2222      	1.772e+05   	0.2272      	5.2e+04     	1.469e+04   	2.67e+04    	4.267e+04   	1.784e+04   	1.388e+04   	15          
90          	0.3556      	1.664e+05   	0.2108      	5.156e+04   	1.457e+04   	2.677e+04   	4.114e+04   	1.43e+04    	1.35e+04    	15          
91          	0.2489      	1.759e+05   	0.2023      	5.368e+04   	2.694e+04   	2.65e+04    	3.823e+04   	1.149e+04   	2.571e+04   	15          
92          	0.2489      	1.476e+05   	0.3248      	5.495e+04   	2.647e+04   	2.612e+04   	3.527e+04   	2.04e+04    	2.483e+04   	15          
93          	0.3733      	1.413e+05   	0.2495      	5.56e+04    	2.648e+04   	2.519e+04   	3.147e+04   	1.862e+04   	2.395e+04   	15          
94          	0.3822      	1.396e+05   	0.4841      	5.628e+04   	2.608e+04   	3.499e+04   	2.691e+04   	1.683e+04   	2.218e+04   	15          
95          	0.2222      	1.297e+05   	0.3818      	5.671e+04   	2.55e+04    	3.337e+04   	2.225e+04   	1.577e+04   	2.055e+04   	15          
96          	0.7289      	1.86e+05    	0.3194      	5.721e+04   	3.544e+04   	3.426e+04   	1.743e+04   	2.666e+04   	1.892e+04   	15          
97          	0.5156      	1.545e+05   	0.2527      	5.711e+04   	3.464e+04   	3.23e+04    	1.272e+04   	3.607e+04   	1.726e+04   	15          
98          	0.3733      	1.917e+05   	0.4912      	5.731e+04   	3.279e+04   	3.032e+04   	8693        	4.338e+04   	2.803e+04   	15          
99          	0.5067      	1.895e+05   	0.3879      	5.736e+04   	3.236e+04   	2.839e+04   	5508        	4.347e+04   	2.702e+04   	15          
100         	0.3822      	1.858e+05   	0.4417      	5.716e+04   	3.104e+04   	2.559e+04   	3212        	4.164e+04   	2.581e+04   	15          
101         	0.5156      	2.132e+05   	0.6541      	5.656e+04   	3.856e+04   	2.318e+04   	1775        	4.055e+04   	2.523e+04   	15          
102         	0.5956      	2.061e+05   	0.5177      	5.503e+04   	4.493e+04   	2.055e+04   	963.9       	3.786e+04   	2.421e+04   	15          
103         	0.6222      	1.981e+05   	0.5948      	5.522e+04   	4.501e+04   	1.778e+04   	458.1       	3.475e+04   	2.253e+04   	15          
104         	0.4889      	2.007e+05   	0.213       	5.354e+04   	4.418e+04   	1.478e+04   	1.444e+04   	3.114e+04   	2.078e+04   	15          
105         	0.6933      	2.295e+05   	0.5584      	5.391e+04   	4.446e+04   	1.194e+04   	1.434e+04   	2.752e+04   	3.811e+04   	15          
106         	0.6933      	2.259e+05   	0.5233      	5.019e+04   	5.017e+04   	9214        	1.408e+04   	2.377e+04   	3.562e+04   	15          
107         	0.6489      	2.134e+05   	0.8483      	5.008e+04   	5.012e+04   	6571        	1.403e+04   	2.866e+04   	3.251e+04   	15          
108         	0.7289      	2.017e+05   	0.2608      	5.071e+04   	4.936e+04   	4289        	1.376e+04   	2.489e+04   	2.97e+04    	15          
109         	0.7289      	2.279e+05   	0.8787      	5.093e+04   	4.984e+04   	1.624e+04   	1.327e+04   	2.159e+04   	2.635e+04   	15          
110         	0.8889      	2.256e+05   	0.6323      	5.219e+04   	4.965e+04   	1.518e+04   	1.251e+04   	1.822e+04   	2.479e+04   	15          
111         	0.7289      	2.266e+05   	0.363       	5.232e+04   	4.798e+04   	1.475e+04   	1.129e+04   	2.602e+04   	2.295e+04   	15          
112         	0.96        	2.248e+05   	0.6257      	5.301e+04   	4.725e+04   	1.458e+04   	9748        	2.432e+04   	2.073e+04   	15          
113         	0.5156      	1.852e+05   	0.3348      	5.373e+04   	5.123e+04   	2.684e+04   	8270        	2.307e+04   	1.789e+04   	15          
114         	0.6222      	1.871e+05   	0.3936      	5.435e+04   	5.114e+04   	2.661e+04   	6449        	2.176e+04   	1.558e+04   	15          
115         	0.7289      	1.831e+05   	0.7008      	5.377e+04   	5.102e+04   	2.639e+04   	4619        	2.047e+04   	1.279e+04   	15          
116         	0.8622      	1.789e+05   	0.6565      	5.345e+04   	5.032e+04   	2.587e+04   	3157        	1.882e+04   	9871        	15          
117         	0.7556      	2.218e+05   	0.2692      	5.381e+04   	5.077e+04   	2.553e+04   	1876        	2.801e+04   	7182        	15          
118         	0.7822      	1.775e+05   	0.4954      	5.353e+04   	5.474e+04   	3.51e+04    	1009        	2.652e+04   	4851        	15          
119         	0.8267      	1.756e+05   	0.4223      	5.227e+04   	5.495e+04   	3.42e+04    	1.475e+04   	2.504e+04   	3066        	15          
120         	0.9156      	1.805e+05   	0.286       	5.314e+04   	5.463e+04   	3.3e+04     	2.673e+04   	3.353e+04   	1668        	15          
121         	0.7822      	1.851e+05   	0.3629      	5.363e+04   	5.459e+04   	3.136e+04   	2.666e+04   	3.233e+04   	821.1       	15          
122         	0.7289      	2.52e+05    	0.5039      	5.353e+04   	5.422e+04   	2.963e+04   	3.685e+04   	3.023e+04   	397         	15          
123         	0.8622      	2.807e+05   	0.2416      	5.399e+04   	5.407e+04   	3.685e+04   	3.607e+04   	2.854e+04   	179.7       	15          
124         	0.8622      	2.857e+05   	0.7855      	5.46e+04    	5.295e+04   	3.561e+04   	3.512e+04   	2.598e+04   	74.52       	15          
125         	0.6222      	3.426e+05   	0.5149      	5.422e+04   	5.036e+04   	3.401e+04   	3.401e+04   	2.336e+04   	1.48e+04    	15          
126         	0.7556      	3.724e+05   	0.5812      	5.414e+04   	4.834e+04   	4.072e+04   	3.172e+04   	2.071e+04   	1.47e+04    	15          
