replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	1380        	9           	0.7184      	0.7199      
1           	1381        	9           	0.7112      	0.7115      
1           	1382        	9           	0.7165      	0.7153      
1           	1383        	9           	0.7109      	0.7158      
1           	1384        	9           	0.7142      	0.7188      
1           	1385        	9           	0.7272      	0.722       
1           	1386        	9           	0.7328      	0.7205      
1           	1387        	9           	0.7171      	0.7204      
1           	1388        	9           	0.7157      	0.7181      
1           	1389        	9           	0.7139      	0.7186      
1           	1390        	9           	0.7148      	0.7212      
1           	1391        	9           	0.7189      	0.7243      
1           	1392        	9           	0.7175      	0.723       
1           	1393        	9           	0.7253      	0.7209      
1           	1394        	9           	0.7202      	0.7197      
1           	1395        	9           	0.729       	0.7212      
1           	1396        	9           	0.7168      	0.7204      
1           	1397        	9           	0.7207      	0.72        
1           	1398        	9           	0.7152      	0.7198      
1           	1399        	9           	0.7238      	0.721       
1           	1400        	9           	0.722       	0.7207      
1           	1401        	9           	0.7235      	0.7177      
1           	1402        	9           	0.7201      	0.7158      
1           	1403        	9           	0.7157      	0.7154      
1           	1404        	9           	0.7221      	0.7168      
1           	1405        	9           	0.7136      	0.7188      
1           	1406        	9           	0.7208      	0.7187      
1           	1407        	9           	0.7207      	0.7235      
1           	1408        	9           	0.7242      	0.7278      
1           	1409        	9           	0.7334      	0.7283      
1           	1410        	9           	0.7226      	0.7281      
1           	1411        	9           	0.7296      	0.7281      
1           	1412        	9           	0.7294      	0.7319      
1           	1413        	9           	0.7352      	0.7384      
1           	1414        	9           	0.7417      	0.7402      
1           	1415        	9           	0.7472      	0.7413      
1           	1416        	9           	0.7395      	0.7384      
1           	1417        	9           	0.7336      	0.737       
1           	1418        	9           	0.7391      	0.7367      
1           	1419        	9           	0.7372      	0.7364      
1           	1420        	9           	0.7382      	0.7373      
1           	1421        	9           	0.7379      	0.7354      
1           	1422        	9           	0.7335      	0.7359      
1           	1423        	9           	0.7375      	0.7373      
1           	1424        	9           	0.7366      	0.736       
1           	1425        	9           	0.7321      	0.7354      
1           	1426        	9           	0.7352      	0.7345      
1           	1427        	9           	0.7335      	0.7339      
1           	1428        	9           	0.7306      	0.7302      
1           	1429        	9           	0.7247      	0.7281      
1           	1430        	9           	0.7325      	0.7329      
1           	1431        	9           	0.7478      	0.7367      
1           	1432        	9           	0.7241      	0.733       
1           	1433        	9           	0.7291      	0.7316      
1           	1434        	9           	0.7278      	0.7314      
1           	1435        	9           	0.7338      	0.7333      
1           	1436        	9           	0.7354      	0.7322      
1           	1437        	9           	0.7355      	0.731       
1           	1438        	9           	0.7338      	0.7313      
1           	1439        	9           	0.7277      	0.7336      
1           	1440        	9           	0.7292      	0.7341      
1           	1441        	9           	0.7346      	0.7355      
1           	1442        	9           	0.7352      	0.7392      
1           	1443        	9           	0.7382      	0.7412      
1           	1444        	9           	0.7469      	0.741       
1           	1445        	9           	0.7392      	0.7398      
1           	1446        	9           	0.745       	0.739       
1           	1447        	9           	0.7384      	0.7389      
1           	1448        	9           	0.7434      	0.7413      
1           	1449        	9           	0.7297      	0.7398      
1           	1450        	9           	0.7489      	0.7419      
1           	1451        	9           	0.7387      	0.7405      
1           	1452        	9           	0.7427      	0.7417      
1           	1453        	9           	0.7365      	0.7387      
1           	1454        	9           	0.7477      	0.7399      
1           	1455        	9           	0.7341      	0.7367      
1           	1456        	9           	0.7358      	0.7388      
1           	1457        	9           	0.7388      	0.7391      
1           	1458        	9           	0.7346      	0.7396      
1           	1459        	9           	0.7376      	0.7394      
1           	1460        	9           	0.7329      	0.7385      
1           	1461        	9           	0.7326      	0.7302      
1           	1462        	9           	0.7249      	0.7288      
1           	1463        	9           	0.7331      	0.7285      
1           	1464        	9           	0.7253      	0.7269      
1           	1465        	9           	0.7251      	0.7289      
1           	1466        	9           	0.7334      	0.7305      
