generation  	alive.rpl   	q.adlt.nbAll	q.adlt.ho   	q.meanG     
1           	1           	157         	0.9879      	-0.008986   
2           	1           	110         	0.9817      	0.02331     
3           	1           	84          	0.9773      	0.02836     
4           	1           	74          	0.9706      	0.004261    
5           	1           	60          	0.9632      	-0.009071   
6           	1           	54          	0.9571      	0.01344     
7           	1           	47          	0.948       	0.006813    
8           	1           	42          	0.9472      	-0.004706   
9           	1           	36          	0.9426      	-0.005461   
10          	1           	35          	0.935       	-0.005008   
